algo    eMcon   Mcon    snd_act procs   layers  units   cons    weights cycles  con_trav        secs    nibble  sndcn   fstprjn
0       85.729  85.729  5       0       5       25      25      5000    10000   5e+07   0.583233        0       0       0
0       78.3914 78.3914 5       1       5       25      25      5000    10000   5e+07   0.637825        0       0       0
0       88.3344 88.3344 5       2       5       25      25      5000    10000   5e+07   0.566031        0       0       0
0       86.7062 86.7062 5       4       5       25      25      5000    10000   5e+07   0.57666 0       0       0
0       249.515 249.515 5       0       5       100     100     80000   2000    1.6e+08 0.641245        0       0       0
0       244.077 244.077 5       1       5       100     100     80000   2000    1.6e+08 0.65553 0       0       0
0       344.517 344.517 5       2       5       100     100     80000   2000    1.6e+08 0.464418        0       0       0
0       399.545 399.545 5       4       5       100     100     80000   2000    1.6e+08 0.400456        0       0       0
0       499.448 499.448 5       0       5       625     625     3.125e+06       100     3.125e+08       0.625691        0       0       0
0       485.875 485.875 5       1       5       625     625     3.125e+06       100     3.125e+08       0.643169        0       0       0
0       677.425 677.425 5       2       5       625     625     3.125e+06       100     3.125e+08       0.461306        0       0       0
0       1097.78 1097.78 5       4       5       625     625     3.125e+06       100     3.125e+08       0.284666        0       0       0
0       397.922 397.922 5       0       5       1024    1024    8.38861e+06     50      4.1943e+08      1.05405 0       0       0
0       538.601 538.601 5       1       5       1024    1024    8.38861e+06     50      4.1943e+08      0.77874 0       0       0
0       812.078 812.078 5       2       5       1024    1024    8.38861e+06     50      4.1943e+08      0.51649 0       0       0
0       1038.29 1038.29 5       4       5       1024    1024    8.38861e+06     50      4.1943e+08      0.403961        0       0       0
2       121.137 6.11486 5       0       5       25      25      5000    10000   2.52395e+06     0.412757        0       0       0
2       98.1206 4.95303 5       1       5       25      25      5000    10000   2.52395e+06     0.509577        0       0       0
2       95.6186 4.82673 5       2       5       25      25      5000    10000   2.52395e+06     0.522911        0       0       0
2       104.879 5.29417 5       4       5       25      25      5000    10000   2.52395e+06     0.476741        0       0       0
2       452.037 22.7522 5       0       5       100     100     80000   2000    8.0532e+06      0.353953        0       0       0
2       358.439 18.0411 5       1       5       100     100     80000   2000    8.0532e+06      0.44638 0       0       0
2       464.409 23.3749 5       2       5       100     100     80000   2000    8.0532e+06      0.344524        0       0       0
2       633.112 31.8661 5       4       5       100     100     80000   2000    8.0532e+06      0.25272 0       0       0
2       899.366 54.0519 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.347467        0       0       0
2       837.066 50.3076 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.373328        0       0       0
2       1146.93 68.9304 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.272467        0       0       0
2       1585.03 95.2604 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.197157        0       0       0
2       1109.3  76.3514 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.378102        0       0       0
2       1045.85 71.9842 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.401041        0       0       0
2       1447.44 99.6249 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.289773        0       0       0
2       1241.57 85.4548 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.337823        0       0       0
3       109.092 5.50688 5       0       5       25      25      5000    10000   2.52395e+06     0.458327        0       0       0
3       94.529  4.77173 5       1       5       25      25      5000    10000   2.52395e+06     0.528938        0       0       0
3       80.4395 4.06051 5       2       5       25      25      5000    10000   2.52395e+06     0.621585        0       0       0
3       78.8335 3.97944 5       4       5       25      25      5000    10000   2.52395e+06     0.634248        0       0       0
3       374.988 18.8741 5       0       5       100     100     80000   2000    8.0532e+06      0.42668 0       0       0
3       323.212 16.2681 5       1       5       100     100     80000   2000    8.0532e+06      0.495031        0       0       0
3       400.16  20.1411 5       2       5       100     100     80000   2000    8.0532e+06      0.39984 0       0       0
3       545.078 27.4351 5       4       5       100     100     80000   2000    8.0532e+06      0.293536        0       0       0
3       907.778 54.5575 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.344247        0       0       0
3       830.916 49.938  5       1       5       625     625     3.125e+06       100     1.87812e+07     0.376091        0       0       0
3       1116.04 67.0742 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.280007        0       0       0
3       1209.91 72.7158 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.258283        0       0       0
3       1129.69 77.7547 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.371278        0       0       0
3       1032.54 71.0677 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.406213        0       0       0
3       1467.89 101.032 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.285736        0       0       0
3       1902.27 130.93  5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.220489        0       0       0
0       74.425  74.425  5       0       5       25      25      5000    10000   5e+07   0.671817        0       1       0
0       70.7991 70.7991 5       1       5       25      25      5000    10000   5e+07   0.706224        0       1       0
0       80.6759 80.6759 5       2       5       25      25      5000    10000   5e+07   0.619764        0       1       0
0       84.7928 84.7928 5       4       5       25      25      5000    10000   5e+07   0.589673        0       1       0
0       159.725 159.725 5       0       5       100     100     80000   2000    1.6e+08 1.00172 0       1       0
0       160.369 160.369 5       1       5       100     100     80000   2000    1.6e+08 0.997697        0       1       0
0       225.523 225.523 5       2       5       100     100     80000   2000    1.6e+08 0.709462        0       1       0
0       229.739 229.739 5       4       5       100     100     80000   2000    1.6e+08 0.696444        0       1       0
0       68.3457 68.3457 5       0       5       625     625     3.125e+06       100     3.125e+08       4.57234 0       1       0
0       70.7021 70.7021 5       1       5       625     625     3.125e+06       100     3.125e+08       4.41995 0       1       0
0       95.7909 95.7909 5       2       5       625     625     3.125e+06       100     3.125e+08       3.26231 0       1       0
0       120.874 120.874 5       4       5       625     625     3.125e+06       100     3.125e+08       2.58533 0       1       0
0       41.2174 41.2174 5       0       5       1024    1024    8.38861e+06     50      4.1943e+08      10.1761 0       1       0
0       41.369  41.369  5       1       5       1024    1024    8.38861e+06     50      4.1943e+08      10.1387 0       1       0
0       52.5493 52.5493 5       2       5       1024    1024    8.38861e+06     50      4.1943e+08      7.98166 0       1       0
0       77.7274 77.7274 5       4       5       1024    1024    8.38861e+06     50      4.1943e+08      5.39617 0       1       0
2       99.2296 5.00901 5       0       5       25      25      5000    10000   2.52395e+06     0.503882        0       1       0
2       96.4242 4.8674  5       1       5       25      25      5000    10000   2.52395e+06     0.518542        0       1       0
2       96.6617 4.87939 5       2       5       25      25      5000    10000   2.52395e+06     0.517268        0       1       0
2       96.8735 4.89008 5       4       5       25      25      5000    10000   2.52395e+06     0.516137        0       1       0
2       394.154 19.8387 5       0       5       100     100     80000   2000    8.0532e+06      0.405933        0       1       0
2       343.809 17.3048 5       1       5       100     100     80000   2000    8.0532e+06      0.465375        0       1       0
2       495.804 24.9551 5       2       5       100     100     80000   2000    8.0532e+06      0.322708        0       1       0
2       882.068 44.3967 5       4       5       100     100     80000   2000    8.0532e+06      0.181392        0       1       0
2       2024.42 121.668 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.154365        0       1       0
2       1874.14 112.636 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.166743        0       1       0
2       2047.53 123.056 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.152623        0       1       0
2       3020.9  181.556 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.103446        0       1       0
2       2771.88 190.784 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.151316        0       1       0
2       2566.23 176.629 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.163442        0       1       0
2       2662.44 183.251 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.157536        0       1       0
2       3260.73 224.43  5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.128631        0       1       0
3       108.242 5.46396 5       0       5       25      25      5000    10000   2.52395e+06     0.461927        0       1       0
3       93.4347 4.71649 5       1       5       25      25      5000    10000   2.52395e+06     0.535133        0       1       0
3       76.0869 3.84079 5       2       5       25      25      5000    10000   2.52395e+06     0.657143        0       1       0
3       68.1997 3.44265 5       4       5       25      25      5000    10000   2.52395e+06     0.733141        0       1       0
3       462.557 23.2817 5       0       5       100     100     80000   2000    8.0532e+06      0.345903        0       1       0
3       331.799 16.7003 5       1       5       100     100     80000   2000    8.0532e+06      0.48222 0       1       0
3       455.574 22.9302 5       2       5       100     100     80000   2000    8.0532e+06      0.351205        0       1       0
