algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	67.41	67.41	5	0	5	25	25	5	5000	25000	0.371	0	0	5	50
0	67.62	67.62	5	1	5	25	25	5	5000	25000	0.37	0	0	5	50
0	67.42	67.42	5	2	5	25	25	5	5000	25000	0.371	0	0	5	50
0	76.62	76.62	5	4	5	25	25	5	5000	25000	0.326	0	0	5	50
0	226.2	226.2	5	0	5	100	100	80	1000	80000	0.354	0	0	5	50
0	233.2	233.2	5	1	5	100	100	80	1000	80000	0.343	0	0	5	50
0	270.7	270.7	5	2	5	100	100	80	1000	80000	0.296	0	0	5	50
0	426.6	426.6	5	4	5	100	100	80	1000	80000	0.188	0	0	5	50
0	312.3	312.3	5	0	5	625	625	3125	100	312500	1	0	0	5	50
0	305	305	5	1	5	625	625	3125	100	312500	1.02	0	0	5	50
0	352.1	352.1	5	2	5	625	625	3125	100	312500	0.887	0	0	5	50
0	398.4	398.4	5	4	5	625	625	3125	100	312500	0.784	0	0	5	50
0	275.8	275.8	5	0	5	1000	1000	8000	50	400000	1.45	0	0	5	50
0	273.1	273.1	5	1	5	1000	1000	8000	50	400000	1.46	0	0	5	50
0	357.5	357.5	5	2	5	1000	1000	8000	50	400000	1.12	0	0	5	50
0	430.2	430.2	5	4	5	1000	1000	8000	50	400000	0.93	0	0	5	50
2	112.2	5.656	5	0	5	25	25	5	5000	1260.6	0.223	0	0	5	50
2	101.4	5.115	5	1	5	25	25	5	5000	1260.6	0.246	0	0	5	50
2	79.24	3.995	5	2	5	25	25	5	5000	1260.6	0.316	0	0	5	50
2	67.61	3.409	5	4	5	25	25	5	5000	1260.6	0.37	0	0	5	50
2	372.3	18.9	5	0	5	100	100	80	1000	4061.2	0.215	0	0	5	50
2	255.9	12.99	5	1	5	100	100	80	1000	4061.2	0.313	0	0	5	50
2	347	17.61	5	2	5	100	100	80	1000	4061.2	0.231	0	0	5	50
2	622.7	31.61	5	4	5	100	100	80	1000	4061.2	0.128	0	0	5	50
2	426	25.83	5	0	5	625	625	3125	100	18947.5	0.734	0	0	5	50
2	404.3	24.51	5	1	5	625	625	3125	100	18947.5	0.773	0	0	5	50
2	494.9	30.01	5	2	5	625	625	3125	100	18947.5	0.631	0	0	5	50
2	571.6	34.66	5	4	5	625	625	3125	100	18947.5	0.547	0	0	5	50
2	419.7	29.16	5	0	5	1000	1000	8000	50	27788	0.953	0	0	5	50
2	408.6	28.38	5	1	5	1000	1000	8000	50	27788	0.979	0	0	5	50
2	484.9	33.69	5	2	5	1000	1000	8000	50	27788	0.825	0	0	5	50
2	544.5	37.83	5	4	5	1000	1000	8000	50	27788	0.735	0	0	5	50
3	112.1	5.651	5	0	5	25	25	5	5000	1260.6	0.223	0	0	5	50
3	100.6	5.072	5	1	5	25	25	5	5000	1260.6	0.249	0	0	5	50
3	75.03	3.783	5	2	5	25	25	5	5000	1260.6	0.333	0	0	5	50
3	60.98	3.075	5	4	5	25	25	5	5000	1260.6	0.41	0	0	5	50
3	372.6	18.91	5	0	5	100	100	80	1000	4061.2	0.215	0	0	5	50
3	341.4	17.33	5	1	5	100	100	80	1000	4061.2	0.234	0	0	5	50
3	352.3	17.89	5	2	5	100	100	80	1000	4061.2	0.227	0	0	5	50
3	468.4	23.78	5	4	5	100	100	80	1000	4061.2	0.171	0	0	5	50
3	422.2	25.6	5	0	5	625	625	3125	100	18947.5	0.74	0	0	5	50
3	408.9	24.79	5	1	5	625	625	3125	100	18947.5	0.764	0	0	5	50
3	500.6	30.35	5	2	5	625	625	3125	100	18947.5	0.624	0	0	5	50
3	586.8	35.58	5	4	5	625	625	3125	100	18947.5	0.533	0	0	5	50
3	419.9	29.17	5	0	5	1000	1000	8000	50	27788	0.953	0	0	5	50
3	408.5	28.38	5	1	5	1000	1000	8000	50	27788	0.979	0	0	5	50
3	499.7	34.71	5	2	5	1000	1000	8000	50	27788	0.8	0	0	5	50
3	579.1	40.23	5	4	5	1000	1000	8000	50	27788	0.691	0	0	5	50
