algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	68.84	68.84	5	0	5	25	25	5	5000	25000	0.363	0	0	5	50
0	84.35	84.35	5	1	5	25	25	5	5000	25000	0.296	0	0	5	50
0	69.89	69.89	5	2	5	25	25	5	5000	25000	0.358	0	0	5	50
0	73.41	73.41	5	4	5	25	25	5	5000	25000	0.341	0	0	5	50
0	208.9	208.9	5	0	5	100	100	80	1000	80000	0.383	0	0	5	50
0	229.3	229.3	5	1	5	100	100	80	1000	80000	0.349	0	0	5	50
0	260.5	260.5	5	2	5	100	100	80	1000	80000	0.307	0	0	5	50
0	320	320	5	4	5	100	100	80	1000	80000	0.25	0	0	5	50
0	301.4	301.4	5	0	5	625	625	3125	100	312500	1.04	0	0	5	50
0	298.9	298.9	5	1	5	625	625	3125	100	312500	1.05	0	0	5	50
0	345.9	345.9	5	2	5	625	625	3125	100	312500	0.903	0	0	5	50
0	415.1	415.1	5	4	5	625	625	3125	100	312500	0.753	0	0	5	50
0	255	255	5	0	5	1000	1000	8000	50	400000	1.57	0	0	5	50
0	252.8	252.8	5	1	5	1000	1000	8000	50	400000	1.58	0	0	5	50
0	342.5	342.5	5	2	5	1000	1000	8000	50	400000	1.17	0	0	5	50
0	412.3	412.3	5	4	5	1000	1000	8000	50	400000	0.97	0	0	5	50
2	111.6	5.627	5	0	5	25	25	5	5000	1260.6	0.224	0	0	5	50
2	100.9	5.085	5	1	5	25	25	5	5000	1260.6	0.248	0	0	5	50
2	94.36	4.758	5	2	5	25	25	5	5000	1260.6	0.265	0	0	5	50
2	89.01	4.488	5	4	5	25	25	5	5000	1260.6	0.281	0	0	5	50
2	310.3	15.75	5	0	5	100	100	80	1000	4061.2	0.258	0	0	5	50
2	261.5	13.27	5	1	5	100	100	80	1000	4061.2	0.306	0	0	5	50
2	417.6	21.2	5	2	5	100	100	80	1000	4061.2	0.192	0	0	5	50
2	413.3	20.98	5	4	5	100	100	80	1000	4061.2	0.194	0	0	5	50
2	418.1	25.35	5	0	5	625	625	3125	100	18947.5	0.747	0	0	5	50
2	404.7	24.54	5	1	5	625	625	3125	100	18947.5	0.772	0	0	5	50
2	496.8	30.12	5	2	5	625	625	3125	100	18947.5	0.629	0	0	5	50
2	553.5	33.56	5	4	5	625	625	3125	100	18947.5	0.565	0	0	5	50
2	400.9	27.85	5	0	5	1000	1000	8000	50	27788	0.998	0	0	5	50
2	393.2	27.31	5	1	5	1000	1000	8000	50	27788	1.02	0	0	5	50
2	473.9	32.92	5	2	5	1000	1000	8000	50	27788	0.844	0	0	5	50
2	547.9	38.06	5	4	5	1000	1000	8000	50	27788	0.73	0	0	5	50
3	91.86	4.632	5	0	5	25	25	5	5000	1260.6	0.272	0	0	5	50
3	100.1	5.045	5	1	5	25	25	5	5000	1260.6	0.25	0	0	5	50
3	77.1	3.888	5	2	5	25	25	5	5000	1260.6	0.324	0	0	5	50
3	85.5	4.311	5	4	5	25	25	5	5000	1260.6	0.292	0	0	5	50
3	363.1	18.43	5	0	5	100	100	80	1000	4061.2	0.22	0	0	5	50
3	284.9	14.47	5	1	5	100	100	80	1000	4061.2	0.281	0	0	5	50
3	308.2	15.64	5	2	5	100	100	80	1000	4061.2	0.26	0	0	5	50
3	412.2	20.93	5	4	5	100	100	80	1000	4061.2	0.194	0	0	5	50
3	413.3	25.06	5	0	5	625	625	3125	100	18947.5	0.756	0	0	5	50
3	402.8	24.42	5	1	5	625	625	3125	100	18947.5	0.776	0	0	5	50
3	490.1	29.72	5	2	5	625	625	3125	100	18947.5	0.638	0	0	5	50
3	572.9	34.73	5	4	5	625	625	3125	100	18947.5	0.546	0	0	5	50
3	326.8	22.7	5	0	5	1000	1000	8000	50	27788	1.22	0	0	5	50
3	393.2	27.32	5	1	5	1000	1000	8000	50	27788	1.02	0	0	5	50
3	484.4	33.65	5	2	5	1000	1000	8000	50	27788	0.826	0	0	5	50
3	569.7	39.58	5	4	5	1000	1000	8000	50	27788	0.702	0	0	5	50
