algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	78.53	78.53	5	0	5	25	25	5	5000	25000	0.318	0	0	0	50
0	87.73	87.73	5	1	5	25	25	5	5000	25000	0.285	0	0	0	50
0	78.68	78.68	5	2	5	25	25	5	5000	25000	0.318	0	0	0	50
0	67.6	67.6	5	4	5	25	25	5	5000	25000	0.37	0	0	0	50
0	261.7	261.7	5	0	5	100	100	80	1000	80000	0.306	0	0	0	50
0	251.3	251.3	5	1	5	100	100	80	1000	80000	0.318	0	0	0	50
0	284.9	284.9	5	2	5	100	100	80	1000	80000	0.281	0	0	0	50
0	437	437	5	4	5	100	100	80	1000	80000	0.183	0	0	0	50
0	423.6	423.6	5	0	5	625	625	3125	100	312500	0.738	0	0	0	50
0	405.3	405.3	5	1	5	625	625	3125	100	312500	0.771	0	0	0	50
0	513.6	513.6	5	2	5	625	625	3125	100	312500	0.608	0	0	0	50
0	631.7	631.7	5	4	5	625	625	3125	100	312500	0.495	0	0	0	50
0	271.8	271.8	5	0	5	1000	1000	8000	50	400000	1.47	0	0	0	50
0	270.1	270.1	5	1	5	1000	1000	8000	50	400000	1.48	0	0	0	50
0	449.3	449.3	5	2	5	1000	1000	8000	50	400000	0.89	0	0	0	50
0	649.1	649.1	5	4	5	1000	1000	8000	50	400000	0.616	0	0	0	50
2	109.9	5.543	5	0	5	25	25	5	5000	1260.6	0.227	0	0	0	50
2	90.88	4.582	5	1	5	25	25	5	5000	1260.6	0.275	0	0	0	50
2	82.22	4.146	5	2	5	25	25	5	5000	1260.6	0.304	0	0	0	50
2	97.63	4.923	5	4	5	25	25	5	5000	1260.6	0.256	0	0	0	50
2	304.9	15.48	5	0	5	100	100	80	1000	4061.2	0.262	0	0	0	50
2	271.9	13.8	5	1	5	100	100	80	1000	4061.2	0.294	0	0	0	50
2	411.5	20.89	5	2	5	100	100	80	1000	4061.2	0.194	0	0	0	50
2	534	27.11	5	4	5	100	100	80	1000	4061.2	0.15	0	0	0	50
2	674.8	40.91	5	0	5	625	625	3125	100	18947.5	0.463	0	0	0	50
2	652	39.53	5	1	5	625	625	3125	100	18947.5	0.479	0	0	0	50
2	867	52.57	5	2	5	625	625	3125	100	18947.5	0.36	0	0	0	50
2	1129	68.43	5	4	5	625	625	3125	100	18947.5	0.277	0	0	0	50
2	647.5	44.98	5	0	5	1000	1000	8000	50	27788	0.618	0	0	0	50
2	634.1	44.05	5	1	5	1000	1000	8000	50	27788	0.631	0	0	0	50
2	806.6	56.03	5	2	5	1000	1000	8000	50	27788	0.496	0	0	0	50
2	1047	72.73	5	4	5	1000	1000	8000	50	27788	0.382	0	0	0	50
3	116.2	5.857	5	0	5	25	25	5	5000	1260.6	0.215	0	0	0	50
3	78.68	3.967	5	1	5	25	25	5	5000	1260.6	0.318	0	0	0	50
3	80.05	4.037	5	2	5	25	25	5	5000	1260.6	0.312	0	0	0	50
3	67.61	3.409	5	4	5	25	25	5	5000	1260.6	0.37	0	0	0	50
3	326	16.55	5	0	5	100	100	80	1000	4061.2	0.245	0	0	0	50
3	380	19.29	5	1	5	100	100	80	1000	4061.2	0.211	0	0	0	50
3	430.1	21.83	5	2	5	100	100	80	1000	4061.2	0.186	0	0	0	50
3	496.9	25.23	5	4	5	100	100	80	1000	4061.2	0.161	0	0	0	50
3	647.2	39.24	5	0	5	625	625	3125	100	18947.5	0.483	0	0	0	50
3	621.5	37.68	5	1	5	625	625	3125	100	18947.5	0.503	0	0	0	50
3	879	53.3	5	2	5	625	625	3125	100	18947.5	0.356	0	0	0	50
3	1120	67.91	5	4	5	625	625	3125	100	18947.5	0.279	0	0	0	50
3	499.5	34.7	5	0	5	1000	1000	8000	50	27788	0.801	0	0	0	50
3	488.6	33.94	5	1	5	1000	1000	8000	50	27788	0.819	0	0	0	50
3	798.7	55.49	5	2	5	1000	1000	8000	50	27788	0.501	0	0	0	50
3	1106	76.87	5	4	5	1000	1000	8000	50	27788	0.362	0	0	0	50
