algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	82.18	82.18	5	0	5	25	25	5	5000	25000	0.304	0	0	0	0
0	76.5	76.5	5	1	5	25	25	5	5000	25000	0.327	0	0	0	0
0	79.1	79.1	5	2	5	25	25	5	5000	25000	0.316	0	0	0	0
0	89.37	89.37	5	4	5	25	25	5	5000	25000	0.28	0	0	0	0
0	240	240	5	0	5	100	100	80	1000	80000	0.333	0	0	0	0
0	203.4	203.4	5	1	5	100	100	80	1000	80000	0.393	0	0	0	0
0	306.3	306.3	5	2	5	100	100	80	1000	80000	0.261	0	0	0	0
0	413.9	413.9	5	4	5	100	100	80	1000	80000	0.193	0	0	0	0
0	506.9	506.9	5	0	5	625	625	3125	100	312500	0.617	0	0	0	0
0	498.3	498.3	5	1	5	625	625	3125	100	312500	0.627	0	0	0	0
0	574.4	574.4	5	2	5	625	625	3125	100	312500	0.544	0	0	0	0
0	621.7	621.7	5	4	5	625	625	3125	100	312500	0.503	0	0	0	0
0	384.5	384.5	5	0	5	1000	1000	8000	50	400000	1.04	0	0	0	0
0	379.5	379.5	5	1	5	1000	1000	8000	50	400000	1.05	0	0	0	0
0	612.1	612.1	5	2	5	1000	1000	8000	50	400000	0.653	0	0	0	0
0	777.2	777.2	5	4	5	1000	1000	8000	50	400000	0.515	0	0	0	0
2	87.51	4.413	5	0	5	25	25	5	5000	1260.6	0.286	0	0	0	0
2	81.81	4.125	5	1	5	25	25	5	5000	1260.6	0.306	0	0	0	0
2	89.63	4.52	5	2	5	25	25	5	5000	1260.6	0.279	0	0	0	0
2	102.3	5.159	5	4	5	25	25	5	5000	1260.6	0.244	0	0	0	0
2	350	17.77	5	0	5	100	100	80	1000	4061.2	0.229	0	0	0	0
2	291.7	14.81	5	1	5	100	100	80	1000	4061.2	0.274	0	0	0	0
2	441	22.39	5	2	5	100	100	80	1000	4061.2	0.181	0	0	0	0
2	624.6	31.71	5	4	5	100	100	80	1000	4061.2	0.128	0	0	0	0
2	872.8	52.92	5	0	5	625	625	3125	100	18947.5	0.358	0	0	0	0
2	853.2	51.73	5	1	5	625	625	3125	100	18947.5	0.366	0	0	0	0
2	1096	66.48	5	2	5	625	625	3125	100	18947.5	0.285	0	0	0	0
2	1439	87.28	5	4	5	625	625	3125	100	18947.5	0.217	0	0	0	0
2	1001	69.51	5	0	5	1000	1000	8000	50	27788	0.4	0	0	0	0
2	954.4	66.3	5	1	5	1000	1000	8000	50	27788	0.419	0	0	0	0
2	1146	79.61	5	2	5	1000	1000	8000	50	27788	0.349	0	0	0	0
2	1396	96.97	5	4	5	1000	1000	8000	50	27788	0.287	0	0	0	0
3	121.3	6.116	5	0	5	25	25	5	5000	1260.6	0.206	0	0	0	0
3	108.1	5.451	5	1	5	25	25	5	5000	1260.6	0.231	0	0	0	0
3	87.42	4.408	5	2	5	25	25	5	5000	1260.6	0.286	0	0	0	0
3	86.71	4.372	5	4	5	25	25	5	5000	1260.6	0.288	0	0	0	0
3	397.9	20.2	5	0	5	100	100	80	1000	4061.2	0.201	0	0	0	0
3	313.3	15.91	5	1	5	100	100	80	1000	4061.2	0.255	0	0	0	0
3	460.8	23.39	5	2	5	100	100	80	1000	4061.2	0.174	0	0	0	0
3	552.3	28.04	5	4	5	100	100	80	1000	4061.2	0.145	0	0	0	0
3	916.2	55.55	5	0	5	625	625	3125	100	18947.5	0.341	0	0	0	0
3	875.5	53.08	5	1	5	625	625	3125	100	18947.5	0.357	0	0	0	0
3	1149	69.65	5	2	5	625	625	3125	100	18947.5	0.272	0	0	0	0
3	1598	96.88	5	4	5	625	625	3125	100	18947.5	0.196	0	0	0	0
3	1001	69.55	5	0	5	1000	1000	8000	50	27788	0.4	0	0	0	0
3	955	66.34	5	1	5	1000	1000	8000	50	27788	0.419	0	0	0	0
3	1230	85.47	5	2	5	1000	1000	8000	50	27788	0.325	0	0	0	0
3	1533	106.5	5	4	5	1000	1000	8000	50	27788	0.261	0	0	0	0
