algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	81.53	81.53	5	0	5	25	25	5	5000	25000	0.307	1	0	0	0
0	94.86	94.86	5	1	5	25	25	5	5000	25000	0.264	1	0	0	0
0	92.71	92.71	5	2	5	25	25	5	5000	25000	0.27	1	0	0	0
0	97.13	97.13	5	4	5	25	25	5	5000	25000	0.257	1	0	0	0
0	241.8	241.8	5	0	5	100	100	80	1000	80000	0.331	1	0	0	0
0	276.1	276.1	5	1	5	100	100	80	1000	80000	0.29	1	0	0	0
0	309.6	309.6	5	2	5	100	100	80	1000	80000	0.258	1	0	0	0
0	466.5	466.5	5	4	5	100	100	80	1000	80000	0.171	1	0	0	0
0	481.9	481.9	5	0	5	625	625	3125	100	312500	0.648	1	0	0	0
0	492.4	492.4	5	1	5	625	625	3125	100	312500	0.635	1	0	0	0
0	687.5	687.5	5	2	5	625	625	3125	100	312500	0.455	1	0	0	0
0	757.1	757.1	5	4	5	625	625	3125	100	312500	0.413	1	0	0	0
0	534.5	534.5	5	0	5	1000	1000	8000	50	400000	0.748	1	0	0	0
0	531.6	531.6	5	1	5	1000	1000	8000	50	400000	0.752	1	0	0	0
0	755.8	755.8	5	2	5	1000	1000	8000	50	400000	0.529	1	0	0	0
0	688.8	688.8	5	4	5	1000	1000	8000	50	400000	0.581	1	0	0	0
2	121.5	6.124	5	0	5	25	25	5	5000	1260.6	0.206	1	0	0	0
2	118.2	5.962	5	1	5	25	25	5	5000	1260.6	0.211	1	0	0	0
2	104.9	5.289	5	2	5	25	25	5	5000	1260.75	0.238	1	0	0	0
2	107	5.395	5	4	5	25	25	5	5000	1260.95	0.234	1	0	0	0
2	461.2	23.41	5	0	5	100	100	80	1000	4061.2	0.173	1	0	0	0
2	308.7	15.67	5	1	5	100	100	80	1000	4061.2	0.259	1	0	0	0
2	575.4	29.21	5	2	5	100	100	80	1000	4061.2	0.139	1	0	0	0
2	820	41.63	5	4	5	100	100	80	1000	4061.2	0.0976	1	0	0	0
2	916.2	55.55	5	0	5	625	625	3125	100	18947.5	0.341	1	0	0	0
2	935.2	56.7	5	1	5	625	625	3125	100	18947.5	0.334	1	0	0	0
2	1214	73.63	5	2	5	625	625	3125	100	18947.5	0.257	1	0	0	0
2	1508	91.45	5	4	5	625	625	3125	100	18947.5	0.207	1	0	0	0
2	998.9	69.39	5	0	5	1000	1000	8000	50	27788	0.4	1	0	0	0
2	995.3	69.14	5	1	5	1000	1000	8000	50	27788	0.402	1	0	0	0
2	1210	84.09	5	2	5	1000	1000	8000	50	27788	0.33	1	0	0	0
2	1497	104	5	4	5	1000	1000	8000	50	27788	0.267	1	0	0	0
3	121.5	6.125	5	0	5	25	25	5	5000	1260.6	0.206	1	0	0	0
3	93.41	4.71	5	1	5	25	25	5	5000	1260.6	0.268	1	0	0	0
3	109.9	5.544	5	2	5	25	25	5	5000	1260.6	0.227	1	0	0	0
3	96.35	4.86	5	4	5	25	25	5	5000	1260.95	0.259	1	0	0	0
3	346.5	17.59	5	0	5	100	100	80	1000	4061.2	0.231	1	0	0	0
3	453.7	23.03	5	1	5	100	100	80	1000	4061.2	0.176	1	0	0	0
3	598.1	30.36	5	2	5	100	100	80	1000	4061.2	0.134	1	0	0	0
3	870.3	44.18	5	4	5	100	100	80	1000	4061	0.0919	1	0	0	0
3	913.8	55.4	5	0	5	625	625	3125	100	18947.5	0.342	1	0	0	0
3	919.2	55.73	5	1	5	625	625	3125	100	18947.5	0.34	1	0	0	0
3	1263	76.6	5	2	5	625	625	3125	100	18947.5	0.247	1	0	0	0
3	1686	102.3	5	4	5	625	625	3125	100	18947.5	0.185	1	0	0	0
3	997.5	69.29	5	0	5	1000	1000	8000	50	27788	0.401	1	0	0	0
3	995.7	69.17	5	1	5	1000	1000	8000	50	27788	0.402	1	0	0	0
3	1303	90.53	5	2	5	1000	1000	8000	50	27788	0.307	1	0	0	0
3	1663	115.5	5	4	5	1000	1000	8000	50	27788	0.241	1	0	0	0
