algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	59.25	59.25	5	0	5	25	25	5	5000	25000	0.422	0	0	5	50
0	57.86	57.86	5	1	5	25	25	5	5000	25000	0.432	0	0	5	50
0	44.26	44.26	5	2	5	25	25	5	5000	25000	0.565	0	0	5	50
0	73.82	73.82	5	0	5	100	100	80	1000	80000	1.08	0	0	5	50
0	73.35	73.35	5	1	5	100	100	80	1000	80000	1.09	0	0	5	50
0	117.2	117.2	5	2	5	100	100	80	1000	80000	0.683	0	0	5	50
0	73.84	73.84	5	0	5	625	625	3125	100	312500	4.23	0	0	5	50
0	71.23	71.23	5	1	5	625	625	3125	100	312500	4.39	0	0	5	50
0	118.8	118.8	5	2	5	625	625	3125	100	312500	2.63	0	0	5	50
0	57.91	57.91	5	0	5	1000	1000	8000	50	400000	6.91	0	0	5	50
0	50.12	50.12	5	1	5	1000	1000	8000	50	400000	7.98	0	0	5	50
0	68.14	68.14	5	2	5	1000	1000	8000	50	400000	5.87	0	0	5	50
2	80.3	4.03	5	0	5	25	25	5	5000	1254.6	0.311	0	0	5	50
2	65.6	3.292	5	1	5	25	25	5	5000	1254.6	0.381	0	0	5	50
2	29.93	1.502	5	2	5	25	25	5	5000	1254.6	0.835	0	0	5	50
2	93.34	4.755	5	0	5	100	100	80	1000	4075.2	0.857	0	0	5	50
2	92.85	4.73	5	1	5	100	100	80	1000	4075.2	0.862	0	0	5	50
2	104.1	5.303	5	2	5	100	100	80	1000	4075.2	0.768	0	0	5	50
2	65.99	3.913	5	0	5	625	625	3125	100	18533.8	4.74	0	0	5	50
2	63.31	3.755	5	1	5	625	625	3125	100	18533.8	4.94	0	0	5	50
2	121.1	7.182	5	2	5	625	625	3125	100	18533.8	2.58	0	0	5	50
2	77.05	5.358	5	0	5	1000	1000	8000	50	27814	5.19	0	0	5	50
2	57.61	4.006	5	1	5	1000	1000	8000	50	27814	6.94	0	0	5	50
2	71.32	4.959	5	2	5	1000	1000	8000	50	27814	5.61	0	0	5	50
3	60.66	3.044	5	0	5	25	25	5	5000	1254.6	0.412	0	0	5	50
3	57.17	2.869	5	1	5	25	25	5	5000	1254.6	0.437	0	0	5	50
3	26.22	1.316	5	2	5	25	25	5	5000	1254.6	0.953	0	0	5	50
3	74.12	3.776	5	0	5	100	100	80	1000	4075.2	1.08	0	0	5	50
3	73.27	3.733	5	1	5	100	100	80	1000	4075.2	1.09	0	0	5	50
3	100.5	5.119	5	2	5	100	100	80	1000	4075.2	0.796	0	0	5	50
3	61.5	3.647	5	0	5	625	625	3125	100	18533.8	5.08	0	0	5	50
3	61.85	3.668	5	1	5	625	625	3125	100	18533.8	5.05	0	0	5	50
3	82.41	4.887	5	2	5	625	625	3125	100	18533.8	3.79	0	0	5	50
3	57.55	4.001	5	0	5	1000	1000	8000	50	27814	6.95	0	0	5	50
3	57.38	3.99	5	1	5	1000	1000	8000	50	27814	6.97	0	0	5	50
3	70.17	4.879	5	2	5	1000	1000	8000	50	27814	5.7	0	0	5	50
0	73.26	73.26	5	0	5	25	25	5	5000	25000	0.341	0	0	0	50
0	71.41	71.41	5	1	5	25	25	5	5000	25000	0.35	0	0	0	50
0	48.55	48.55	5	2	5	25	25	5	5000	25000	0.515	0	0	0	50
0	95.9	95.9	5	0	5	100	100	80	1000	80000	0.834	0	0	0	50
0	95.22	95.22	5	1	5	100	100	80	1000	80000	0.84	0	0	0	50
0	143.5	143.5	5	2	5	100	100	80	1000	80000	0.558	0	0	0	50
0	97.59	97.59	5	0	5	625	625	3125	100	312500	3.2	0	0	0	50
0	97.67	97.67	5	1	5	625	625	3125	100	312500	3.2	0	0	0	50
0	175.7	175.7	5	2	5	625	625	3125	100	312500	1.78	0	0	0	50
0	93.53	93.53	5	0	5	1000	1000	8000	50	400000	4.28	0	0	0	50
0	86.4	86.4	5	1	5	1000	1000	8000	50	400000	4.63	0	0	0	50
0	152.6	152.6	5	2	5	1000	1000	8000	50	400000	2.62	0	0	0	50
2	166.2	8.34	5	0	5	25	25	5	5000	1254.6	0.15	0	0	0	50
2	153.3	7.694	5	1	5	25	25	5	5000	1254.6	0.163	0	0	0	50
2	55.15	2.768	5	2	5	25	25	5	5000	1254.6	0.453	0	0	0	50
2	240.4	12.25	5	0	5	100	100	80	1000	4075.2	0.333	0	0	0	50
2	234.7	11.96	5	1	5	100	100	80	1000	4075.2	0.341	0	0	0	50
2	291.4	14.85	5	2	5	100	100	80	1000	4075.2	0.275	0	0	0	50
2	145.7	8.642	5	0	5	625	625	3125	100	18533.8	2.14	0	0	0	50
2	145.2	8.613	5	1	5	625	625	3125	100	18533.8	2.15	0	0	0	50
2	235.4	13.96	5	2	5	625	625	3125	100	18533.8	1.33	0	0	0	50
2	122.8	8.536	5	0	5	1000	1000	8000	50	27814	3.26	0	0	0	50
2	122.6	8.528	5	1	5	1000	1000	8000	50	27814	3.26	0	0	0	50
2	194.4	13.52	5	2	5	1000	1000	8000	50	27814	2.06	0	0	0	50
3	118.3	5.935	5	0	5	25	25	5	5000	1254.6	0.211	0	0	0	50
3	123.1	6.178	5	1	5	25	25	5	5000	1254.6	0.203	0	0	0	50
3	44.17	2.217	5	2	5	25	25	5	5000	1254.6	0.566	0	0	0	50
3	191.6	9.762	5	0	5	100	100	80	1000	4075.2	0.417	0	0	0	50
3	187.8	9.567	5	1	5	100	100	80	1000	4075.2	0.426	0	0	0	50
3	217.4	11.08	5	2	5	100	100	80	1000	4075.2	0.368	0	0	0	50
3	126.6	7.51	5	0	5	625	625	3125	100	18533.8	2.47	0	0	0	50
3	129.4	7.672	5	1	5	625	625	3125	100	18533.8	2.42	0	0	0	50
3	240.2	14.25	5	2	5	625	625	3125	100	18533.8	1.3	0	0	0	50
3	130.5	9.072	5	0	5	1000	1000	8000	50	27814	3.07	0	0	0	50
3	130.6	9.084	5	1	5	1000	1000	8000	50	27814	3.06	0	0	0	50
3	215.7	15	5	2	5	1000	1000	8000	50	27814	1.85	0	0	0	50
0	79.93	79.93	5	0	5	25	25	5	5000	25000	0.313	0	0	0	0
0	74.75	74.75	5	1	5	25	25	5	5000	25000	0.334	0	0	0	0
0	46.29	46.29	5	2	5	25	25	5	5000	25000	0.54	0	0	0	0
0	97.22	97.22	5	0	5	100	100	80	1000	80000	0.823	0	0	0	0
0	95.55	95.55	5	1	5	100	100	80	1000	80000	0.837	0	0	0	0
0	152.8	152.8	5	2	5	100	100	80	1000	80000	0.524	0	0	0	0
0	96.62	96.62	5	0	5	625	625	3125	100	312500	3.23	0	0	0	0
0	89.4	89.4	5	1	5	625	625	3125	100	312500	3.5	0	0	0	0
0	139.9	139.9	5	2	5	625	625	3125	100	312500	2.23	0	0	0	0
0	84.99	84.99	5	0	5	1000	1000	8000	50	400000	4.71	0	0	0	0
0	77.47	77.47	5	1	5	1000	1000	8000	50	400000	5.16	0	0	0	0
0	123	123	5	2	5	1000	1000	8000	50	400000	3.25	0	0	0	0
2	169.1	8.486	5	0	5	25	25	5	5000	1254.6	0.148	0	0	0	0
2	138.3	6.941	5	1	5	25	25	5	5000	1254.6	0.181	0	0	0	0
2	38.73	1.943	5	2	5	25	25	5	5000	1254.6	0.646	0	0	0	0
2	309.7	15.77	5	0	5	100	100	80	1000	4075.2	0.258	0	0	0	0
2	367.8	18.74	5	1	5	100	100	80	1000	4075.2	0.217	0	0	0	0
2	238.3	12.14	5	2	5	100	100	80	1000	4075.2	0.336	0	0	0	0
2	202.6	12.02	5	0	5	625	625	3125	100	18533.8	1.54	0	0	0	0
2	184.8	10.96	5	1	5	625	625	3125	100	18533.8	1.69	0	0	0	0
2	285.4	16.93	5	2	5	625	625	3125	100	18533.8	1.09	0	0	0	0
2	183	12.72	5	0	5	1000	1000	8000	50	27814	2.19	0	0	0	0
2	174.8	12.16	5	1	5	1000	1000	8000	50	27814	2.29	0	0	0	0
2	263.6	18.33	5	2	5	1000	1000	8000	50	27814	1.52	0	0	0	0
3	181.5	9.107	5	0	5	25	25	5	5000	1254.6	0.138	0	0	0	0
3	139.2	6.986	5	1	5	25	25	5	5000	1254.6	0.18	0	0	0	0
3	34.17	1.715	5	2	5	25	25	5	5000	1254.6	0.732	0	0	0	0
3	393.4	20.04	5	0	5	100	100	80	1000	4075.2	0.203	0	0	0	0
3	319.2	16.26	5	1	5	100	100	80	1000	4075.2	0.251	0	0	0	0
3	230.1	11.72	5	2	5	100	100	80	1000	4075.2	0.348	0	0	0	0
3	191.6	11.36	5	0	5	625	625	3125	100	18533.8	1.63	0	0	0	0
3	213.3	12.65	5	1	5	625	625	3125	100	18533.8	1.47	0	0	0	0
3	282.4	16.75	5	2	5	625	625	3125	100	18533.8	1.11	0	0	0	0
3	176.2	12.25	5	0	5	1000	1000	8000	50	27814	2.27	0	0	0	0
3	177.2	12.32	5	1	5	1000	1000	8000	50	27814	2.26	0	0	0	0
3	270.6	18.81	5	2	5	1000	1000	8000	50	27814	1.48	0	0	0	0
