algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	59.17	59.17	5	0	5	25	25	5	5000	25000	0.422	0	0	5	50
0	57.86	57.86	5	1	5	25	25	5	5000	25000	0.432	0	0	5	50
0	43.6	43.6	5	2	5	25	25	5	5000	25000	0.573	0	0	5	50
0	73.5	73.5	5	0	5	100	100	80	1000	80000	1.09	0	0	5	50
0	73.52	73.52	5	1	5	100	100	80	1000	80000	1.09	0	0	5	50
0	122	122	5	2	5	100	100	80	1000	80000	0.656	0	0	5	50
0	74.01	74.01	5	0	5	625	625	3125	100	312500	4.22	0	0	5	50
0	73.81	73.81	5	1	5	625	625	3125	100	312500	4.23	0	0	5	50
0	137.3	137.3	5	2	5	625	625	3125	100	312500	2.28	0	0	5	50
0	68.35	68.35	5	0	5	1000	1000	8000	50	400000	5.85	0	0	5	50
0	68.25	68.25	5	1	5	1000	1000	8000	50	400000	5.86	0	0	5	50
0	129.6	129.6	5	2	5	1000	1000	8000	50	400000	3.09	0	0	5	50
2	120.3	6.037	5	0	5	25	25	5	5000	1254.6	0.208	0	0	5	50
2	115	5.771	5	1	5	25	25	5	5000	1254.6	0.217	0	0	5	50
2	56.9	2.856	5	2	5	25	25	5	5000	1254.6	0.439	0	0	5	50
2	145.3	7.403	5	0	5	100	100	80	1000	4075.2	0.55	0	0	5	50
2	144.1	7.342	5	1	5	100	100	80	1000	4075.2	0.555	0	0	5	50
2	202.3	10.3	5	2	5	100	100	80	1000	4075.2	0.395	0	0	5	50
2	107.3	6.365	5	0	5	625	625	3125	100	18533.8	2.91	0	0	5	50
2	107.2	6.357	5	1	5	625	625	3125	100	18533.8	2.92	0	0	5	50
2	181.9	10.79	5	2	5	625	625	3125	100	18533.8	1.72	0	0	5	50
2	100.4	6.982	5	0	5	1000	1000	8000	50	27814	3.98	0	0	5	50
2	99.96	6.951	5	1	5	1000	1000	8000	50	27814	4	0	0	5	50
2	172.2	11.97	5	2	5	1000	1000	8000	50	27814	2.32	0	0	5	50
3	120.3	6.036	5	0	5	25	25	5	5000	1254.6	0.208	0	0	5	50
3	115.2	5.779	5	1	5	25	25	5	5000	1254.6	0.217	0	0	5	50
3	53.51	2.685	5	2	5	25	25	5	5000	1254.6	0.467	0	0	5	50
3	145.5	7.41	5	0	5	100	100	80	1000	4075.2	0.55	0	0	5	50
3	143.4	7.303	5	1	5	100	100	80	1000	4075.2	0.558	0	0	5	50
3	196	9.983	5	2	5	100	100	80	1000	4075.2	0.408	0	0	5	50
3	107.7	6.385	5	0	5	625	625	3125	100	18533.8	2.9	0	0	5	50
3	107.3	6.367	5	1	5	625	625	3125	100	18533.8	2.91	0	0	5	50
3	191.4	11.35	5	2	5	625	625	3125	100	18533.8	1.63	0	0	5	50
3	100.6	6.992	5	0	5	1000	1000	8000	50	27814	3.98	0	0	5	50
3	100	6.956	5	1	5	1000	1000	8000	50	27814	4	0	0	5	50
3	176.3	12.26	5	2	5	1000	1000	8000	50	27814	2.27	0	0	5	50
0	73.27	73.27	5	0	5	25	25	5	5000	25000	0.341	0	0	0	50
0	71.51	71.51	5	1	5	25	25	5	5000	25000	0.35	0	0	0	50
0	51.16	51.16	5	2	5	25	25	5	5000	25000	0.489	0	0	0	50
0	96.14	96.14	5	0	5	100	100	80	1000	80000	0.832	0	0	0	50
0	95.29	95.29	5	1	5	100	100	80	1000	80000	0.84	0	0	0	50
0	154.2	154.2	5	2	5	100	100	80	1000	80000	0.519	0	0	0	50
0	98.01	98.01	5	0	5	625	625	3125	100	312500	3.19	0	0	0	50
0	97.72	97.72	5	1	5	625	625	3125	100	312500	3.2	0	0	0	50
0	183.9	183.9	5	2	5	625	625	3125	100	312500	1.7	0	0	0	50
0	93.75	93.75	5	0	5	1000	1000	8000	50	400000	4.27	0	0	0	50
0	93.58	93.58	5	1	5	1000	1000	8000	50	400000	4.27	0	0	0	50
0	174.9	174.9	5	2	5	1000	1000	8000	50	400000	2.29	0	0	0	50
2	195.8	9.825	5	0	5	25	25	5	5000	1254.6	0.128	0	0	0	50
2	184.4	9.255	5	1	5	25	25	5	5000	1254.6	0.136	0	0	0	50
2	66.39	3.332	5	2	5	25	25	5	5000	1254.6	0.377	0	0	0	50
2	286.3	14.58	5	0	5	100	100	80	1000	4075.2	0.279	0	0	0	50
2	280.7	14.3	5	1	5	100	100	80	1000	4075.2	0.285	0	0	0	50
2	339.4	17.29	5	2	5	100	100	80	1000	4075.2	0.236	0	0	0	50
2	163.1	9.673	5	0	5	625	625	3125	100	18533.8	1.92	0	0	0	50
2	162.3	9.626	5	1	5	625	625	3125	100	18533.8	1.93	0	0	0	50
2	271.8	16.12	5	2	5	625	625	3125	100	18533.8	1.15	0	0	0	50
2	147.5	10.26	5	0	5	1000	1000	8000	50	27814	2.71	0	0	0	50
2	147.1	10.23	5	1	5	1000	1000	8000	50	27814	2.72	0	0	0	50
2	250	17.39	5	2	5	1000	1000	8000	50	27814	1.6	0	0	0	50
3	197.6	9.915	5	0	5	25	25	5	5000	1254.6	0.127	0	0	0	50
3	184.7	9.269	5	1	5	25	25	5	5000	1254.6	0.135	0	0	0	50
3	64.64	3.244	5	2	5	25	25	5	5000	1254.6	0.387	0	0	0	50
3	285.1	14.52	5	0	5	100	100	80	1000	4075.2	0.281	0	0	0	50
3	279.9	14.26	5	1	5	100	100	80	1000	4075.2	0.286	0	0	0	50
3	321.7	16.39	5	2	5	100	100	80	1000	4075.2	0.249	0	0	0	50
3	162.8	9.658	5	0	5	625	625	3125	100	18533.8	1.92	0	0	0	50
3	162.2	9.62	5	1	5	625	625	3125	100	18533.8	1.93	0	0	0	50
3	293.2	17.39	5	2	5	625	625	3125	100	18533.8	1.07	0	0	0	50
3	148	10.29	5	0	5	1000	1000	8000	50	27814	2.7	0	0	0	50
3	147.3	10.24	5	1	5	1000	1000	8000	50	27814	2.72	0	0	0	50
3	264.6	18.4	5	2	5	1000	1000	8000	50	27814	1.51	0	0	0	50
0	84.37	84.37	5	0	5	25	25	5	5000	25000	0.296	0	0	0	0
0	81.61	81.61	5	1	5	25	25	5	5000	25000	0.306	0	0	0	0
0	53.44	53.44	5	2	5	25	25	5	5000	25000	0.468	0	0	0	0
0	116.5	116.5	5	0	5	100	100	80	1000	80000	0.687	0	0	0	0
0	115.4	115.4	5	1	5	100	100	80	1000	80000	0.693	0	0	0	0
0	181.3	181.3	5	2	5	100	100	80	1000	80000	0.441	0	0	0	0
0	124.5	124.5	5	0	5	625	625	3125	100	312500	2.51	0	0	0	0
0	124.4	124.4	5	1	5	625	625	3125	100	312500	2.51	0	0	0	0
0	234.9	234.9	5	2	5	625	625	3125	100	312500	1.33	0	0	0	0
0	125.7	125.7	5	0	5	1000	1000	8000	50	400000	3.18	0	0	0	0
0	125.6	125.6	5	1	5	1000	1000	8000	50	400000	3.18	0	0	0	0
0	243	243	5	2	5	1000	1000	8000	50	400000	1.65	0	0	0	0
2	308.4	15.48	5	0	5	25	25	5	5000	1254.6	0.0811	0	0	0	0
2	277.6	13.93	5	1	5	25	25	5	5000	1254.6	0.09	0	0	0	0
2	72.78	3.652	5	2	5	25	25	5	5000	1254.6	0.343	0	0	0	0
2	624.7	31.82	5	0	5	100	100	80	1000	4075.2	0.128	0	0	0	0
2	593.2	30.22	5	1	5	100	100	80	1000	4075.2	0.135	0	0	0	0
2	517.1	26.34	5	2	5	100	100	80	1000	4075.2	0.155	0	0	0	0
2	247.4	14.67	5	0	5	625	625	3125	100	18533.8	1.26	0	0	0	0
2	246.9	14.65	5	1	5	625	625	3125	100	18533.8	1.27	0	0	0	0
