algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	61.89	61.89	5	0	5	25	25	5	5000	25000	0.404	0	0	5	50
0	60.35	60.35	5	1	5	25	25	5	5000	25000	0.414	0	0	5	50
0	44.94	44.94	5	2	5	25	25	5	5000	25000	0.556	0	0	5	50
0	77.21	77.21	5	0	5	100	100	80	1000	80000	1.04	0	0	5	50
0	76.92	76.92	5	1	5	100	100	80	1000	80000	1.04	0	0	5	50
0	128.8	128.8	5	2	5	100	100	80	1000	80000	0.621	0	0	5	50
0	69.22	69.22	5	0	5	625	625	3125	100	312500	4.51	0	0	5	50
0	69.01	69.01	5	1	5	625	625	3125	100	312500	4.53	0	0	5	50
0	129.8	129.8	5	2	5	625	625	3125	100	312500	2.41	0	0	5	50
0	69.56	69.56	5	0	5	1000	1000	8000	50	400000	5.75	0	0	5	50
0	69.39	69.39	5	1	5	1000	1000	8000	50	400000	5.76	0	0	5	50
0	126.9	126.9	5	2	5	1000	1000	8000	50	400000	3.15	0	0	5	50
2	128.7	6.46	5	0	5	25	25	5	5000	1254.6	0.194	0	0	5	50
2	122.4	6.142	5	1	5	25	25	5	5000	1254.6	0.204	0	0	5	50
2	54.89	2.755	5	2	5	25	25	5	5000	1254.6	0.455	0	0	5	50
2	149.8	7.631	5	0	5	100	100	80	1000	4075.2	0.534	0	0	5	50
2	143.2	7.293	5	1	5	100	100	80	1000	4075.2	0.559	0	0	5	50
2	195.3	9.947	5	2	5	100	100	80	1000	4075.2	0.41	0	0	5	50
2	116.2	6.893	5	0	5	625	625	3125	100	18533.8	2.69	0	0	5	50
2	116.1	6.886	5	1	5	625	625	3125	100	18533.8	2.69	0	0	5	50
2	192.2	11.4	5	2	5	625	625	3125	100	18533.8	1.63	0	0	5	50
2	111.6	7.76	5	0	5	1000	1000	8000	50	27814	3.58	0	0	5	50
2	111.9	7.782	5	1	5	1000	1000	8000	50	27814	3.57	0	0	5	50
2	179	12.45	5	2	5	1000	1000	8000	50	27814	2.23	0	0	5	50
3	128.3	6.439	5	0	5	25	25	5	5000	1254.6	0.195	0	0	5	50
3	113.5	5.695	5	1	5	25	25	5	5000	1254.6	0.22	0	0	5	50
3	52.53	2.636	5	2	5	25	25	5	5000	1254.6	0.476	0	0	5	50
3	149.7	7.624	5	0	5	100	100	80	1000	4075.2	0.535	0	0	5	50
3	143.4	7.304	5	1	5	100	100	80	1000	4075.2	0.558	0	0	5	50
3	193.4	9.853	5	2	5	100	100	80	1000	4075.2	0.414	0	0	5	50
3	116	6.879	5	0	5	625	625	3125	100	18533.8	2.69	0	0	5	50
3	112.9	6.696	5	1	5	625	625	3125	100	18533.8	2.77	0	0	5	50
3	201.8	11.97	5	2	5	625	625	3125	100	18533.8	1.55	0	0	5	50
3	111.5	7.752	5	0	5	1000	1000	8000	50	27814	3.59	0	0	5	50
3	108.1	7.519	5	1	5	1000	1000	8000	50	27814	3.7	0	0	5	50
3	183.9	12.79	5	2	5	1000	1000	8000	50	27814	2.17	0	0	5	50
0	77.57	77.57	5	0	5	25	25	5	5000	25000	0.322	0	0	0	50
