algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	75.08	75.08	5	0	5	25	25	5	5000	25000	0.333	0	0	5	50
0	77.43	77.43	5	1	5	25	25	5	5000	25000	0.323	0	0	5	50
0	76.13	76.13	5	2	5	25	25	5	5000	25000	0.328	0	0	5	50
0	74.03	74.03	5	4	5	25	25	5	5000	25000	0.338	0	0	5	50
0	224.6	224.6	5	0	5	100	100	80	1000	80000	0.356	0	0	5	50
0	202.6	202.6	5	1	5	100	100	80	1000	80000	0.395	0	0	5	50
0	278	278	5	2	5	100	100	80	1000	80000	0.288	0	0	5	50
0	288.5	288.5	5	4	5	100	100	80	1000	80000	0.277	0	0	5	50
0	209.3	209.3	5	0	5	625	625	3125	100	312500	1.49	0	0	5	50
0	209.1	209.1	5	1	5	625	625	3125	100	312500	1.49	0	0	5	50
0	301.2	301.2	5	2	5	625	625	3125	100	312500	1.04	0	0	5	50
0	330.2	330.2	5	4	5	625	625	3125	100	312500	0.946	0	0	5	50
0	210.9	210.9	5	0	5	1000	1000	8000	50	400000	1.9	0	0	5	50
0	210.7	210.7	5	1	5	1000	1000	8000	50	400000	1.9	0	0	5	50
0	310.3	310.3	5	2	5	1000	1000	8000	50	400000	1.29	0	0	5	50
0	337.5	337.5	5	4	5	1000	1000	8000	50	400000	1.19	0	0	5	50
2	113.8	5.738	5	0	5	25	25	5	5000	1260.6	0.22	0	0	5	50
2	78.39	3.953	5	1	5	25	25	5	5000	1260.6	0.319	0	0	5	50
2	85.06	4.289	5	2	5	25	25	5	5000	1260.6	0.294	0	0	5	50
2	92.36	4.657	5	4	5	25	25	5	5000	1260.6	0.271	0	0	5	50
2	350.7	17.8	5	0	5	100	100	80	1000	4061.2	0.228	0	0	5	50
2	343.5	17.44	5	1	5	100	100	80	1000	4061.2	0.233	0	0	5	50
2	348.8	17.71	5	2	5	100	100	80	1000	4061.2	0.229	0	0	5	50
2	558.6	28.36	5	4	5	100	100	80	1000	4061.2	0.143	0	0	5	50
2	360.1	21.84	5	0	5	625	625	3125	100	18947.5	0.868	0	0	5	50
2	357.4	21.67	5	1	5	625	625	3125	100	18947.5	0.874	0	0	5	50
2	311.6	18.9	5	2	5	625	625	3125	100	18947.5	1	0	0	5	50
2	362.9	22.01	5	4	5	625	625	3125	100	18947.5	0.861	0	0	5	50
2	348.8	24.23	5	0	5	1000	1000	8000	50	27788	1.15	0	0	5	50
2	347.7	24.16	5	1	5	1000	1000	8000	50	27788	1.15	0	0	5	50
2	288.1	20.02	5	2	5	1000	1000	8000	50	27788	1.39	0	0	5	50
2	338.4	23.51	5	4	5	1000	1000	8000	50	27788	1.18	0	0	5	50
3	113.8	5.74	5	0	5	25	25	5	5000	1260.6	0.22	0	0	5	50
3	86.08	4.341	5	1	5	25	25	5	5000	1260.6	0.29	0	0	5	50
3	83.78	4.225	5	2	5	25	25	5	5000	1260.6	0.298	0	0	5	50
3	79.88	4.028	5	4	5	25	25	5	5000	1260.6	0.313	0	0	5	50
3	276.1	14.01	5	0	5	100	100	80	1000	4061.2	0.29	0	0	5	50
3	262	13.3	5	1	5	100	100	80	1000	4061.2	0.305	0	0	5	50
3	354.7	18.01	5	2	5	100	100	80	1000	4061.2	0.226	0	0	5	50
3	599.2	30.42	5	4	5	100	100	80	1000	4061.2	0.134	0	0	5	50
3	294	17.82	5	0	5	625	625	3125	100	18947.5	1.06	0	0	5	50
3	299.9	18.18	5	1	5	625	625	3125	100	18947.5	1.04	0	0	5	50
3	388.6	23.56	5	2	5	625	625	3125	100	18947.5	0.804	0	0	5	50
3	482.6	29.26	5	4	5	625	625	3125	100	18947.5	0.648	0	0	5	50
3	349.2	24.26	5	0	5	1000	1000	8000	50	27788	1.15	0	0	5	50
3	295.8	20.55	5	1	5	1000	1000	8000	50	27788	1.35	0	0	5	50
3	384.7	26.73	5	2	5	1000	1000	8000	50	27788	1.04	0	0	5	50
3	479.9	33.34	5	4	5	1000	1000	8000	50	27788	0.834	0	0	5	50
0	73.62	73.62	5	0	5	25	25	5	5000	25000	0.34	0	0	0	50
0	94.09	94.09	5	1	5	25	25	5	5000	25000	0.266	0	0	0	50
0	77.95	77.95	5	2	5	25	25	5	5000	25000	0.321	0	0	0	50
0	88.3	88.3	5	4	5	25	25	5	5000	25000	0.283	0	0	0	50
0	244.5	244.5	5	0	5	100	100	80	1000	80000	0.327	0	0	0	50
0	207.7	207.7	5	1	5	100	100	80	1000	80000	0.385	0	0	0	50
0	338.9	338.9	5	2	5	100	100	80	1000	80000	0.236	0	0	0	50
0	601.5	601.5	5	4	5	100	100	80	1000	80000	0.133	0	0	0	50
0	269.7	269.7	5	0	5	625	625	3125	100	312500	1.16	0	0	0	50
0	270.2	270.2	5	1	5	625	625	3125	100	312500	1.16	0	0	0	50
0	414.1	414.1	5	2	5	625	625	3125	100	312500	0.755	0	0	0	50
0	484	484	5	4	5	625	625	3125	100	312500	0.646	0	0	0	50
0	189.6	189.6	5	0	5	1000	1000	8000	50	400000	2.11	0	0	0	50
0	189.4	189.4	5	1	5	1000	1000	8000	50	400000	2.11	0	0	0	50
0	342.2	342.2	5	2	5	1000	1000	8000	50	400000	1.17	0	0	0	50
0	501.6	501.6	5	4	5	1000	1000	8000	50	400000	0.798	0	0	0	50
