algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	74.95	74.95	5	0	5	25	25	5	5000	25000	0.334	0	0	5	50	send
0	86.17	86.17	5	1	5	25	25	5	5000	25000	0.29	0	0	5	50	send
0	76.41	76.41	5	2	5	25	25	5	5000	25000	0.327	0	0	5	50	send
0	79.6	79.6	5	4	5	25	25	5	5000	25000	0.314	0	0	5	50	send
0	140.1	140.1	5	0	5	100	100	80	1000	80000	0.571	0	0	5	50	send
0	167.2	167.2	5	1	5	100	100	80	1000	80000	0.478	0	0	5	50	send
0	229.1	229.1	5	2	5	100	100	80	1000	80000	0.349	0	0	5	50	send
0	310.1	310.1	5	4	5	100	100	80	1000	80000	0.258	0	0	5	50	send
0	75.4	75.4	5	0	5	625	625	3125	100	312500	4.14	0	0	5	50	send
0	102.4	102.4	5	1	5	625	625	3125	100	312500	3.05	0	0	5	50	send
0	146.4	146.4	5	2	5	625	625	3125	100	312500	2.14	0	0	5	50	send
0	187.7	187.7	5	4	5	625	625	3125	100	312500	1.66	0	0	5	50	send
0	68.97	68.97	5	0	5	1000	1000	8000	50	400000	5.8	0	0	5	50	send
0	68.99	68.99	5	1	5	1000	1000	8000	50	400000	5.8	0	0	5	50	send
0	118.6	118.6	5	2	5	1000	1000	8000	50	400000	3.37	0	0	5	50	send
0	195.1	195.1	5	4	5	1000	1000	8000	50	400000	2.05	0	0	5	50	send
2	114.6	5.779	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
2	81.25	4.097	5	1	5	25	25	5	5000	1260.6	0.308	0	0	5	50	send
2	82.43	4.156	5	2	5	25	25	5	5000	1260.6	0.303	0	0	5	50	send
2	94.28	4.754	5	4	5	25	25	5	5000	1260.6	0.265	0	0	5	50	send
2	297.5	15.1	5	0	5	100	100	80	1000	4061.2	0.269	0	0	5	50	send
2	281.3	14.28	5	1	5	100	100	80	1000	4061.2	0.284	0	0	5	50	send
2	325.3	16.51	5	2	5	100	100	80	1000	4061.2	0.246	0	0	5	50	send
2	460.8	23.39	5	4	5	100	100	80	1000	4061.2	0.174	0	0	5	50	send
2	471.2	28.57	5	0	5	625	625	3125	100	18947.5	0.663	0	0	5	50	send
2	470.1	28.5	5	1	5	625	625	3125	100	18947.5	0.665	0	0	5	50	send
2	334.5	20.28	5	2	5	625	625	3125	100	18947.5	0.934	0	0	5	50	send
2	463.2	28.08	5	4	5	625	625	3125	100	18947.5	0.675	0	0	5	50	send
2	355.4	24.69	5	0	5	1000	1000	8000	50	27788	1.13	0	0	5	50	send
2	438.7	30.48	5	1	5	1000	1000	8000	50	27788	0.912	0	0	5	50	send
2	318.1	22.1	5	2	5	1000	1000	8000	50	27788	1.26	0	0	5	50	send
2	412.2	28.63	5	4	5	1000	1000	8000	50	27788	0.97	0	0	5	50	send
3	114.5	5.774	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
3	109.1	5.502	5	1	5	25	25	5	5000	1260.6	0.229	0	0	5	50	send
3	84.02	4.236	5	2	5	25	25	5	5000	1260.6	0.298	0	0	5	50	send
3	78.59	3.963	5	4	5	25	25	5	5000	1260.6	0.318	0	0	5	50	send
3	283.7	14.4	5	0	5	100	100	80	1000	4061.2	0.282	0	0	5	50	send
3	252	12.79	5	1	5	100	100	80	1000	4061.2	0.317	0	0	5	50	send
3	351.5	17.84	5	2	5	100	100	80	1000	4061.2	0.228	0	0	5	50	send
3	574.3	29.15	5	4	5	100	100	80	1000	4061.2	0.139	0	0	5	50	send
3	470.8	28.54	5	0	5	625	625	3125	100	18947.5	0.664	0	0	5	50	send
3	466.2	28.27	5	1	5	625	625	3125	100	18947.5	0.67	0	0	5	50	send
3	468.3	28.39	5	2	5	625	625	3125	100	18947.5	0.667	0	0	5	50	send
3	570.1	34.56	5	4	5	625	625	3125	100	18947.5	0.548	0	0	5	50	send
3	464.7	32.29	5	0	5	1000	1000	8000	50	27788	0.861	0	0	5	50	send
3	461.2	32.04	5	1	5	1000	1000	8000	50	27788	0.867	0	0	5	50	send
3	483.7	33.6	5	2	5	1000	1000	8000	50	27788	0.827	0	0	5	50	send
3	542.4	37.68	5	4	5	1000	1000	8000	50	27788	0.737	0	0	5	50	send
0	71.85	71.85	5	0	5	25	25	5	5000	25000	0.348	0	0	0	50	send
0	89.73	89.73	5	1	5	25	25	5	5000	25000	0.279	0	0	0	50	send
0	80.68	80.68	5	2	5	25	25	5	5000	25000	0.31	0	0	0	50	send
0	62.95	62.95	5	4	5	25	25	5	5000	25000	0.397	0	0	0	50	send
0	216.4	216.4	5	0	5	100	100	80	1000	80000	0.37	0	0	0	50	send
0	217.4	217.4	5	1	5	100	100	80	1000	80000	0.368	0	0	0	50	send
0	243	243	5	2	5	100	100	80	1000	80000	0.329	0	0	0	50	send
0	447.4	447.4	5	4	5	100	100	80	1000	80000	0.179	0	0	0	50	send
0	115	115	5	0	5	625	625	3125	100	312500	2.72	0	0	0	50	send
0	82.96	82.96	5	1	5	625	625	3125	100	312500	3.77	0	0	0	50	send
0	142.9	142.9	5	2	5	625	625	3125	100	312500	2.19	0	0	0	50	send
0	226.9	226.9	5	4	5	625	625	3125	100	312500	1.38	0	0	0	50	send
0	75.02	75.02	5	0	5	1000	1000	8000	50	400000	5.33	0	0	0	50	send
0	75.05	75.05	5	1	5	1000	1000	8000	50	400000	5.33	0	0	0	50	send
0	138.9	138.9	5	2	5	1000	1000	8000	50	400000	2.88	0	0	0	50	send
0	244.3	244.3	5	4	5	1000	1000	8000	50	400000	1.64	0	0	0	50	send
2	121.4	6.124	5	0	5	25	25	5	5000	1260.6	0.206	0	0	0	50	send
2	119	6	5	1	5	25	25	5	5000	1260.6	0.21	0	0	0	50	send
2	96.46	4.864	5	2	5	25	25	5	5000	1260.6	0.259	0	0	0	50	send
2	71.25	3.593	5	4	5	25	25	5	5000	1260.6	0.351	0	0	0	50	send
2	418.5	21.24	5	0	5	100	100	80	1000	4061.2	0.191	0	0	0	50	send
2	331.8	16.84	5	1	5	100	100	80	1000	4061.2	0.241	0	0	0	50	send
2	365.5	18.55	5	2	5	100	100	80	1000	4061.2	0.219	0	0	0	50	send
2	493.5	25.05	5	4	5	100	100	80	1000	4061.2	0.162	0	0	0	50	send
2	940.6	57.03	5	0	5	625	625	3125	100	18947.5	0.332	0	0	0	50	send
2	936.6	56.79	5	1	5	625	625	3125	100	18947.5	0.334	0	0	0	50	send
2	493.3	29.91	5	2	5	625	625	3125	100	18947.5	0.634	0	0	0	50	send
2	797.4	48.35	5	4	5	625	625	3125	100	18947.5	0.392	0	0	0	50	send
2	890.2	61.84	5	0	5	1000	1000	8000	50	27788	0.449	0	0	0	50	send
2	887.6	61.66	5	1	5	1000	1000	8000	50	27788	0.451	0	0	0	50	send
2	461.1	32.03	5	2	5	1000	1000	8000	50	27788	0.867	0	0	0	50	send
2	653.3	45.38	5	4	5	1000	1000	8000	50	27788	0.612	0	0	0	50	send
3	121.6	6.13	5	0	5	25	25	5	5000	1260.6	0.206	0	0	0	50	send
3	115.7	5.832	5	1	5	25	25	5	5000	1260.6	0.216	0	0	0	50	send
3	125.9	6.349	5	2	5	25	25	5	5000	1260.6	0.199	0	0	0	50	send
3	94.2	4.75	5	4	5	25	25	5	5000	1260.6	0.265	0	0	0	50	send
3	303.9	15.43	5	0	5	100	100	80	1000	4061.2	0.263	0	0	0	50	send
3	282.1	14.32	5	1	5	100	100	80	1000	4061.2	0.284	0	0	0	50	send
3	402.9	20.45	5	2	5	100	100	80	1000	4061.2	0.199	0	0	0	50	send
3	450.4	22.86	5	4	5	100	100	80	1000	4061.2	0.178	0	0	0	50	send
3	940.6	57.03	5	0	5	625	625	3125	100	18947.5	0.332	0	0	0	50	send
3	926.7	56.19	5	1	5	625	625	3125	100	18947.5	0.337	0	0	0	50	send
3	905	54.87	5	2	5	625	625	3125	100	18947.5	0.345	0	0	0	50	send
3	1156	70.1	5	4	5	625	625	3125	100	18947.5	0.27	0	0	0	50	send
3	890.6	61.87	5	0	5	1000	1000	8000	50	27788	0.449	0	0	0	50	send
3	878.1	61	5	1	5	1000	1000	8000	50	27788	0.456	0	0	0	50	send
3	1187	82.44	5	2	5	1000	1000	8000	50	27788	0.337	0	0	0	50	send
3	1502	104.3	5	4	5	1000	1000	8000	50	27788	0.266	0	0	0	50	send
0	74.67	74.67	5	0	5	25	25	5	5000	25000	0.335	0	0	0	0	send
0	91.03	91.03	5	1	5	25	25	5	5000	25000	0.275	0	0	0	0	send
0	98.61	98.61	5	2	5	25	25	5	5000	25000	0.254	0	0	0	0	send
0	91.3	91.3	5	4	5	25	25	5	5000	25000	0.274	0	0	0	0	send
0	176.8	176.8	5	0	5	100	100	80	1000	80000	0.453	0	0	0	0	send
0	201.4	201.4	5	1	5	100	100	80	1000	80000	0.397	0	0	0	0	send
0	367.9	367.9	5	2	5	100	100	80	1000	80000	0.217	0	0	0	0	send
0	356.3	356.3	5	4	5	100	100	80	1000	80000	0.225	0	0	0	0	send
0	87.74	87.74	5	0	5	625	625	3125	100	312500	3.56	0	0	0	0	send
0	120.9	120.9	5	1	5	625	625	3125	100	312500	2.59	0	0	0	0	send
0	191.1	191.1	5	2	5	625	625	3125	100	312500	1.64	0	0	0	0	send
0	260.5	260.5	5	4	5	625	625	3125	100	312500	1.2	0	0	0	0	send
0	80.91	80.91	5	0	5	1000	1000	8000	50	400000	4.94	0	0	0	0	send
0	112.7	112.7	5	1	5	1000	1000	8000	50	400000	3.55	0	0	0	0	send
0	189.2	189.2	5	2	5	1000	1000	8000	50	400000	2.11	0	0	0	0	send
0	270.3	270.3	5	4	5	1000	1000	8000	50	400000	1.48	0	0	0	0	send
2	95.7	4.825	5	0	5	25	25	5	5000	1260.6	0.261	0	0	0	0	send
2	100.6	5.073	5	1	5	25	25	5	5000	1260.6	0.248	0	0	0	0	send
2	94.96	4.788	5	2	5	25	25	5	5000	1260.6	0.263	0	0	0	0	send
2	59.61	3.006	5	4	5	25	25	5	5000	1260.6	0.419	0	0	0	0	send
2	392.3	19.91	5	0	5	100	100	80	1000	4061.2	0.204	0	0	0	0	send
2	334.2	16.96	5	1	5	100	100	80	1000	4061.2	0.239	0	0	0	0	send
2	459.9	23.35	5	2	5	100	100	80	1000	4061.2	0.174	0	0	0	0	send
2	456.4	23.17	5	4	5	100	100	80	1000	4061.2	0.175	0	0	0	0	send
2	1809	109.7	5	0	5	625	625	3125	100	18947.5	0.173	0	0	0	0	send
2	1792	108.7	5	1	5	625	625	3125	100	18947.5	0.174	0	0	0	0	send
2	819	49.66	5	2	5	625	625	3125	100	18947.5	0.382	0	0	0	0	send
2	1023	62.02	5	4	5	625	625	3125	100	18947.5	0.306	0	0	0	0	send
2	2152	149.5	5	0	5	1000	1000	8000	50	27788	0.186	0	0	0	0	send
2	2133	148.2	5	1	5	1000	1000	8000	50	27788	0.187	0	0	0	0	send
2	698.6	48.53	5	2	5	1000	1000	8000	50	27788	0.573	0	0	0	0	send
2	1098	76.3	5	4	5	1000	1000	8000	50	27788	0.364	0	0	0	0	send
3	124.9	6.298	5	0	5	25	25	5	5000	1260.6	0.2	0	0	0	0	send
3	118.5	5.976	5	1	5	25	25	5	5000	1260.6	0.211	0	0	0	0	send
3	126.4	6.374	5	2	5	25	25	5	5000	1260.6	0.198	0	0	0	0	send
3	95.35	4.808	5	4	5	25	25	5	5000	1260.6	0.262	0	0	0	0	send
3	363.9	18.48	5	0	5	100	100	80	1000	4061.2	0.22	0	0	0	0	send
3	416.4	21.14	5	1	5	100	100	80	1000	4061.2	0.192	0	0	0	0	send
3	437.8	22.22	5	2	5	100	100	80	1000	4061.2	0.183	0	0	0	0	send
3	399.8	20.3	5	4	5	100	100	80	1000	4061.2	0.2	0	0	0	0	send
3	1238	75.09	5	0	5	625	625	3125	100	18947.5	0.252	0	0	0	0	send
3	1205	73.08	5	1	5	625	625	3125	100	18947.5	0.259	0	0	0	0	send
3	1983	120.3	5	2	5	625	625	3125	100	18947.5	0.158	0	0	0	0	send
3	3155	191.3	5	4	5	625	625	3125	100	18947.5	0.099	0	0	0	0	send
3	2151	149.4	5	0	5	1000	1000	8000	50	27788	0.186	0	0	0	0	send
3	2079	144.4	5	1	5	1000	1000	8000	50	27788	0.192	0	0	0	0	send
3	2536	176.2	5	2	5	1000	1000	8000	50	27788	0.158	0	0	0	0	send
3	3773	262.1	5	4	5	1000	1000	8000	50	27788	0.106	0	0	0	0	send
