algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	72.33	72.33	5	0	5	25	25	5	5000	25000	0.346	0	0	5	50	conn
0	73.74	73.74	5	1	5	25	25	5	5000	25000	0.339	0	0	5	50	conn
0	67.24	67.24	5	2	5	25	25	5	5000	25000	0.372	0	0	5	50	conn
0	81.47	81.47	5	4	5	25	25	5	5000	25000	0.307	0	0	5	50	conn
0	161.6	161.6	5	0	5	100	100	80	1000	80000	0.495	0	0	5	50	conn
0	186.3	186.3	5	1	5	100	100	80	1000	80000	0.429	0	0	5	50	conn
0	268.8	268.8	5	2	5	100	100	80	1000	80000	0.298	0	0	5	50	conn
0	334.9	334.9	5	4	5	100	100	80	1000	80000	0.239	0	0	5	50	conn
0	172.3	172.3	5	0	5	625	625	3125	100	312500	1.81	0	0	5	50	conn
0	171.9	171.9	5	1	5	625	625	3125	100	312500	1.82	0	0	5	50	conn
0	212	212	5	2	5	625	625	3125	100	312500	1.47	0	0	5	50	conn
0	211.7	211.7	5	4	5	625	625	3125	100	312500	1.48	0	0	5	50	conn
0	135.3	135.3	5	0	5	1000	1000	8000	50	400000	2.96	0	0	5	50	conn
0	176.1	176.1	5	1	5	1000	1000	8000	50	400000	2.27	0	0	5	50	conn
0	217.6	217.6	5	2	5	1000	1000	8000	50	400000	1.84	0	0	5	50	conn
0	218	218	5	4	5	1000	1000	8000	50	400000	1.84	0	0	5	50	conn
2	113.7	5.733	5	0	5	25	25	5	5000	1260.6	0.22	0	0	5	50	conn
2	111.5	5.624	5	1	5	25	25	5	5000	1260.6	0.224	0	0	5	50	conn
2	86.98	4.386	5	2	5	25	25	5	5000	1260.6	0.287	0	0	5	50	conn
2	97.48	4.915	5	4	5	25	25	5	5000	1260.6	0.256	0	0	5	50	conn
2	325.9	16.54	5	0	5	100	100	80	1000	4061.2	0.245	0	0	5	50	conn
2	258.1	13.1	5	1	5	100	100	80	1000	4061.2	0.31	0	0	5	50	conn
2	315.4	16.01	5	2	5	100	100	80	1000	4061.2	0.254	0	0	5	50	conn
2	361.1	18.33	5	4	5	100	100	80	1000	4061.2	0.222	0	0	5	50	conn
2	311.8	18.9	5	0	5	625	625	3125	100	18947.5	1	0	0	5	50	conn
2	310.4	18.82	5	1	5	625	625	3125	100	18947.5	1.01	0	0	5	50	conn
2	287.9	17.46	5	2	5	625	625	3125	100	18947.5	1.09	0	0	5	50	conn
2	332.4	20.16	5	4	5	625	625	3125	100	18947.5	0.94	0	0	5	50	conn
2	259.4	18.02	5	0	5	1000	1000	8000	50	27788	1.54	0	0	5	50	conn
2	306.5	21.29	5	1	5	1000	1000	8000	50	27788	1.31	0	0	5	50	conn
2	268.2	18.63	5	2	5	1000	1000	8000	50	27788	1.49	0	0	5	50	conn
2	307	21.33	5	4	5	1000	1000	8000	50	27788	1.3	0	0	5	50	conn
3	113.8	5.736	5	0	5	25	25	5	5000	1260.6	0.22	0	0	5	50	conn
3	108.6	5.474	5	1	5	25	25	5	5000	1260.6	0.23	0	0	5	50	conn
3	75.06	3.785	5	2	5	25	25	5	5000	1260.6	0.333	0	0	5	50	conn
3	83.18	4.194	5	4	5	25	25	5	5000	1260.6	0.301	0	0	5	50	conn
3	352	17.87	5	0	5	100	100	80	1000	4061.2	0.227	0	0	5	50	conn
3	341.4	17.33	5	1	5	100	100	80	1000	4061.2	0.234	0	0	5	50	conn
3	313.9	15.93	5	2	5	100	100	80	1000	4061.2	0.255	0	0	5	50	conn
3	469.7	23.85	5	4	5	100	100	80	1000	4061.2	0.17	0	0	5	50	conn
3	264.4	16.03	5	0	5	625	625	3125	100	18947.5	1.18	0	0	5	50	conn
3	248.5	15.07	5	1	5	625	625	3125	100	18947.5	1.26	0	0	5	50	conn
3	333.1	20.19	5	2	5	625	625	3125	100	18947.5	0.938	0	0	5	50	conn
3	419.4	25.43	5	4	5	625	625	3125	100	18947.5	0.745	0	0	5	50	conn
3	307.8	21.38	5	0	5	1000	1000	8000	50	27788	1.3	0	0	5	50	conn
3	247.8	17.22	5	1	5	1000	1000	8000	50	27788	1.61	0	0	5	50	conn
3	333.4	23.16	5	2	5	1000	1000	8000	50	27788	1.2	0	0	5	50	conn
3	418.4	29.07	5	4	5	1000	1000	8000	50	27788	0.956	0	0	5	50	conn
0	71.83	71.83	5	0	5	25	25	5	5000	25000	0.348	0	0	0	50	conn
0	91.98	91.98	5	1	5	25	25	5	5000	25000	0.272	0	0	0	50	conn
0	86.84	86.84	5	2	5	25	25	5	5000	25000	0.288	0	0	0	50	conn
0	82.2	82.2	5	4	5	25	25	5	5000	25000	0.304	0	0	0	50	conn
0	184.6	184.6	5	0	5	100	100	80	1000	80000	0.433	0	0	0	50	conn
0	214.2	214.2	5	1	5	100	100	80	1000	80000	0.373	0	0	0	50	conn
0	292.1	292.1	5	2	5	100	100	80	1000	80000	0.274	0	0	0	50	conn
0	381.8	381.8	5	4	5	100	100	80	1000	80000	0.21	0	0	0	50	conn
0	223.5	223.5	5	0	5	625	625	3125	100	312500	1.4	0	0	0	50	conn
0	223.4	223.4	5	1	5	625	625	3125	100	312500	1.4	0	0	0	50	conn
