algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	69.57	69.57	5	0	5	25	25	5	5000	25000	0.359	0	0	5	50	send
0	72.29	72.29	5	1	5	25	25	5	5000	25000	0.346	0	0	5	50	send
0	68.46	68.46	5	2	5	25	25	5	5000	25000	0.365	0	0	5	50	send
0	73.12	73.12	5	4	5	25	25	5	5000	25000	0.342	0	0	5	50	send
0	165.1	165.1	5	0	5	100	100	80	1000	80000	0.485	0	0	5	50	send
0	156.6	156.6	5	1	5	100	100	80	1000	80000	0.511	0	0	5	50	send
0	215.2	215.2	5	2	5	100	100	80	1000	80000	0.372	0	0	5	50	send
0	419.4	419.4	5	4	5	100	100	80	1000	80000	0.191	0	0	5	50	send
0	67.85	67.85	5	0	5	625	625	3125	100	312500	4.61	0	0	5	50	send
0	88.52	88.52	5	1	5	625	625	3125	100	312500	3.53	0	0	5	50	send
0	116.4	116.4	5	2	5	625	625	3125	100	312500	2.69	0	0	5	50	send
0	126.4	126.4	5	4	5	625	625	3125	100	312500	2.47	0	0	5	50	send
0	63.11	63.11	5	0	5	1000	1000	8000	50	400000	6.34	0	0	5	50	send
0	63.15	63.15	5	1	5	1000	1000	8000	50	400000	6.33	0	0	5	50	send
0	102.7	102.7	5	2	5	1000	1000	8000	50	400000	3.9	0	0	5	50	send
0	126.4	126.4	5	4	5	1000	1000	8000	50	400000	3.16	0	0	5	50	send
2	90.69	4.573	5	0	5	25	25	5	5000	1260.6	0.276	0	0	5	50	send
2	74.61	3.762	5	1	5	25	25	5	5000	1260.6	0.335	0	0	5	50	send
2	77.56	3.911	5	2	5	25	25	5	5000	1260.6	0.322	0	0	5	50	send
2	86.1	4.342	5	4	5	25	25	5	5000	1260.6	0.29	0	0	5	50	send
2	245.8	12.48	5	0	5	100	100	80	1000	4061.2	0.326	0	0	5	50	send
2	228.9	11.62	5	1	5	100	100	80	1000	4061.2	0.35	0	0	5	50	send
2	313.1	15.89	5	2	5	100	100	80	1000	4061.2	0.256	0	0	5	50	send
2	406.4	20.63	5	4	5	100	100	80	1000	4061.2	0.197	0	0	5	50	send
2	323.6	19.62	5	0	5	625	625	3125	100	18947.5	0.966	0	0	5	50	send
2	340.1	20.62	5	1	5	625	625	3125	100	18947.5	0.919	0	0	5	50	send
2	265.3	16.08	5	2	5	625	625	3125	100	18947.5	1.18	0	0	5	50	send
2	312.8	18.97	5	4	5	625	625	3125	100	18947.5	0.999	0	0	5	50	send
2	344.7	23.94	5	0	5	1000	1000	8000	50	27788	1.16	0	0	5	50	send
2	344.4	23.93	5	1	5	1000	1000	8000	50	27788	1.16	0	0	5	50	send
