algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	59.41	59.41	5	0	5	25	25	5	5000	25000	0.421	0	0	5	50	send
0	57.93	57.93	5	1	5	25	25	5	5000	25000	0.432	0	0	5	50	send
0	43.11	43.11	5	2	5	25	25	5	5000	25000	0.58	0	0	5	50	send
0	65.03	65.03	5	0	5	100	100	80	1000	80000	1.23	0	0	5	50	send
0	64.58	64.58	5	1	5	100	100	80	1000	80000	1.24	0	0	5	50	send
0	105.2	105.2	5	2	5	100	100	80	1000	80000	0.76	0	0	5	50	send
0	48.6	48.6	5	0	5	625	625	3125	100	312500	6.43	0	0	5	50	send
0	48.57	48.57	5	1	5	625	625	3125	100	312500	6.43	0	0	5	50	send
0	82.61	82.61	5	2	5	625	625	3125	100	312500	3.78	0	0	5	50	send
0	17.4	17.4	5	0	5	1000	1000	8000	50	400000	23	0	0	5	50	send
0	17.4	17.4	5	1	5	1000	1000	8000	50	400000	23	0	0	5	50	send
0	27.77	27.77	5	2	5	1000	1000	8000	50	400000	14.4	0	0	5	50	send
2	128.9	6.47	5	0	5	25	25	5	5000	1254.6	0.194	0	0	5	50	send
2	122.3	6.139	5	1	5	25	25	5	5000	1254.6	0.204	0	0	5	50	send
2	54.85	2.752	5	2	5	25	25	5	5000	1254.6	0.456	0	0	5	50	send
2	140	7.13	5	0	5	100	100	80	1000	4075.2	0.572	0	0	5	50	send
2	138.5	7.053	5	1	5	100	100	80	1000	4075.2	0.578	0	0	5	50	send
2	181.6	9.25	5	2	5	100	100	80	1000	4075.2	0.441	0	0	5	50	send
2	141.2	8.376	5	0	5	625	625	3125	100	18533.8	2.21	0	0	5	50	send
2	141.1	8.37	5	1	5	625	625	3125	100	18533.8	2.21	0	0	5	50	send
2	220.4	13.07	5	2	5	625	625	3125	100	18533.8	1.42	0	0	5	50	send
2	85.36	5.935	5	0	5	1000	1000	8000	50	27814	4.69	0	0	5	50	send
2	85.26	5.929	5	1	5	1000	1000	8000	50	27814	4.69	0	0	5	50	send
2	149.2	10.37	5	2	5	1000	1000	8000	50	27814	2.68	0	0	5	50	send
3	128.8	6.463	5	0	5	25	25	5	5000	1254.6	0.194	0	0	5	50	send
3	114	5.719	5	1	5	25	25	5	5000	1254.6	0.219	0	0	5	50	send
3	52.86	2.653	5	2	5	25	25	5	5000	1254.6	0.473	0	0	5	50	send
3	140.2	7.142	5	0	5	100	100	80	1000	4075.2	0.571	0	0	5	50	send
3	134.5	6.854	5	1	5	100	100	80	1000	4075.2	0.595	0	0	5	50	send
3	181.9	9.263	5	2	5	100	100	80	1000	4075.2	0.44	0	0	5	50	send
3	141.1	8.369	5	0	5	625	625	3125	100	18533.8	2.21	0	0	5	50	send
3	131.7	7.811	5	1	5	625	625	3125	100	18533.8	2.37	0	0	5	50	send
3	238.9	14.17	5	2	5	625	625	3125	100	18533.8	1.31	0	0	5	50	send
3	85.66	5.956	5	0	5	1000	1000	8000	50	27814	4.67	0	0	5	50	send
3	81.38	5.659	5	1	5	1000	1000	8000	50	27814	4.92	0	0	5	50	send
3	149	10.36	5	2	5	1000	1000	8000	50	27814	2.68	0	0	5	50	send
0	74.01	74.01	5	0	5	25	25	5	5000	25000	0.338	0	0	0	50	send
0	71.8	71.8	5	1	5	25	25	5	5000	25000	0.348	0	0	0	50	send
0	49.29	49.29	5	2	5	25	25	5	5000	25000	0.507	0	0	0	50	send
0	88.73	88.73	5	0	5	100	100	80	1000	80000	0.902	0	0	0	50	send
0	87.92	87.92	5	1	5	100	100	80	1000	80000	0.91	0	0	0	50	send
0	142.7	142.7	5	2	5	100	100	80	1000	80000	0.561	0	0	0	50	send
0	58.48	58.48	5	0	5	625	625	3125	100	312500	5.34	0	0	0	50	send
0	58.63	58.63	5	1	5	625	625	3125	100	312500	5.33	0	0	0	50	send
0	98.11	98.11	5	2	5	625	625	3125	100	312500	3.19	0	0	0	50	send
0	18.48	18.48	5	0	5	1000	1000	8000	50	400000	21.7	0	0	0	50	send
0	18.45	18.45	5	1	5	1000	1000	8000	50	400000	21.7	0	0	0	50	send
0	28.96	28.96	5	2	5	1000	1000	8000	50	400000	13.8	0	0	0	50	send
2	225	11.29	5	0	5	25	25	5	5000	1254.6	0.111	0	0	0	50	send
2	207	10.39	5	1	5	25	25	5	5000	1254.6	0.121	0	0	0	50	send
2	66.41	3.333	5	2	5	25	25	5	5000	1254.6	0.376	0	0	0	50	send
2	298.5	15.21	5	0	5	100	100	80	1000	4075.2	0.268	0	0	0	50	send
2	292	14.87	5	1	5	100	100	80	1000	4075.2	0.274	0	0	0	50	send
2	316.5	16.12	5	2	5	100	100	80	1000	4075.2	0.253	0	0	0	50	send
2	277.5	16.46	5	0	5	625	625	3125	100	18533.8	1.13	0	0	0	50	send
2	275.4	16.33	5	1	5	625	625	3125	100	18533.8	1.13	0	0	0	50	send
2	390.9	23.19	5	2	5	625	625	3125	100	18533.8	0.799	0	0	0	50	send
2	119.5	8.312	5	0	5	1000	1000	8000	50	27814	3.35	0	0	0	50	send
