algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	160.8	160.8	5	0	5	25	25	5	5000	25000	0.155	0	0	5	50	conn
0	154.6	154.6	5	1	5	25	25	5	5000	25000	0.162	0	0	5	50	conn
0	89.19	89.19	5	2	5	25	25	5	5000	25000	0.28	0	0	5	50	conn
0	260.3	260.3	5	0	5	100	100	80	1000	80000	0.307	0	0	5	50	conn
0	260.1	260.1	5	1	5	100	100	80	1000	80000	0.308	0	0	5	50	conn
0	374.8	374.8	5	2	5	100	100	80	1000	80000	0.213	0	0	5	50	conn
0	154.9	154.9	5	0	5	625	625	3125	100	312500	2.02	0	0	5	50	conn
0	154.9	154.9	5	1	5	625	625	3125	100	312500	2.02	0	0	5	50	conn
0	181.5	181.5	5	2	5	625	625	3125	100	312500	1.72	0	0	5	50	conn
0	157	157	5	0	5	1000	1000	8000	50	400000	2.55	0	0	5	50	conn
0	157.2	157.2	5	1	5	1000	1000	8000	50	400000	2.55	0	0	5	50	conn
0	182.7	182.7	5	2	5	1000	1000	8000	50	400000	2.19	0	0	5	50	conn
2	280.3	27.93	5	0	5	25	25	5	5000	2491.6	0.0892	0	0	5	50	conn
2	261	26.01	5	1	5	25	25	5	5000	2491.6	0.0958	0	0	5	50	conn
2	109.2	10.89	5	2	5	25	25	5	5000	2491.6	0.229	0	0	5	50	conn
2	424.2	43.03	5	0	5	100	100	80	1000	8115.6	0.189	0	0	5	50	conn
2	417.4	42.34	5	1	5	100	100	80	1000	8115.6	0.192	0	0	5	50	conn
2	418.3	42.43	5	2	5	100	100	80	1000	8115.6	0.191	0	0	5	50	conn
2	222.9	24.37	5	0	5	625	625	3125	100	34163.8	1.4	0	0	5	50	conn
2	222.5	24.32	5	1	5	625	625	3125	100	34163.8	1.4	0	0	5	50	conn
2	288	31.48	5	2	5	625	625	3125	100	34163.8	1.09	0	0	5	50	conn
2	217.3	25.47	5	0	5	1000	1000	8000	50	46890	1.84	0	0	5	50	conn
2	216.9	25.43	5	1	5	1000	1000	8000	50	46890	1.84	0	0	5	50	conn
2	287.3	33.68	5	2	5	1000	1000	8000	50	46890	1.39	0	0	5	50	conn
3	281.6	28.06	5	0	5	25	25	5	5000	2491.6	0.0888	0	0	5	50	conn
3	231.5	23.07	5	1	5	25	25	5	5000	2491.6	0.108	0	0	5	50	conn
3	111.6	11.12	5	2	5	25	25	5	5000	2491.6	0.224	0	0	5	50	conn
3	424.5	43.06	5	0	5	100	100	80	1000	8115.6	0.188	0	0	5	50	conn
3	356.1	36.12	5	1	5	100	100	80	1000	8115.6	0.225	0	0	5	50	conn
3	533.1	54.08	5	2	5	100	100	80	1000	8115.6	0.15	0	0	5	50	conn
3	222.6	24.34	5	0	5	625	625	3125	100	34163.8	1.4	0	0	5	50	conn
3	202.6	22.15	5	1	5	625	625	3125	100	34163.8	1.54	0	0	5	50	conn
3	286.2	31.29	5	2	5	625	625	3125	100	34163.8	1.09	0	0	5	50	conn
3	217	25.44	5	0	5	1000	1000	8000	50	46890	1.84	0	0	5	50	conn
3	199.1	23.34	5	1	5	1000	1000	8000	50	46890	2.01	0	0	5	50	conn
3	281.5	33	5	2	5	1000	1000	8000	50	46890	1.42	0	0	5	50	conn
