algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
3	103.2	5.185	5	0	5	25	25	5	10000	2511.95	0.484	0	0	0	0	send
3	102.6	5.154	5	1	5	25	25	5	10000	2511.95	0.487	0	0	0	0	send
3	110.6	5.558	5	2	5	25	25	5	10000	2511.95	0.452	0	0	0	0	send
3	97.92	4.92	5	4	5	25	25	5	10000	2511.95	0.511	0	0	0	0	send
3	482.3	24.22	5	0	5	100	100	80	5000	20087.4	0.829	0	0	0	0	send
3	474.9	23.85	5	1	5	100	100	80	5000	20087.4	0.842	0	0	0	0	send
3	531.5	26.69	5	2	5	100	100	80	5000	20087.4	0.753	0	0	0	0	send
3	547.2	27.48	5	4	5	100	100	80	5000	20087.4	0.731	0	0	0	0	send
3	1899	97.15	5	0	5	625	625	3125	1000	159884	1.65	0	0	0	0	send
3	1874	95.9	5	1	5	625	625	3125	1000	159884	1.67	0	0	0	0	send
3	1521	77.84	5	2	5	625	625	3125	1000	159884	2.05	0	0	0	0	send
3	2383	121.9	5	4	5	625	625	3125	1000	159884	1.31	0	0	0	0	send
3	1672	86.88	5	0	5	1000	1000	8000	500	207824	2.39	0	0	0	0	send
3	1660	86.23	5	1	5	1000	1000	8000	500	207824	2.41	0	0	0	0	send
3	1782	92.57	5	2	5	1000	1000	8000	500	207824	2.25	0	0	0	0	send
3	2836	147.4	5	4	5	1000	1000	8000	500	207824	1.41	0	0	0	0	send
3	109.8	5.516	5	0	5	25	25	5	10000	2511.95	0.455	0	0	0	0	send
3	121.7	6.113	5	1	5	25	25	5	10000	2511.95	0.411	0	0	0	0	send
3	95.22	4.784	5	2	5	25	25	5	10000	2511.95	0.525	0	0	0	0	send
3	92.41	4.643	5	4	5	25	25	5	10000	2511.95	0.541	0	0	0	0	send
3	462.6	23.23	5	0	5	100	100	80	5000	20087.4	0.865	0	0	0	0	send
3	470.2	23.61	5	1	5	100	100	80	5000	20087.4	0.851	0	0	0	0	send
3	524	26.31	5	2	5	100	100	80	5000	20087.4	0.763	0	0	0	0	send
3	593.4	29.8	5	4	5	100	100	80	5000	20087.4	0.674	0	0	0	0	send
3	1900	97.23	5	0	5	625	625	3125	1000	159884	1.64	0	0	0	0	send
3	1870	95.69	5	1	5	625	625	3125	1000	159884	1.67	0	0	0	0	send
3	1512	77.37	5	2	5	625	625	3125	1000	159884	2.07	0	0	0	0	send
3	2345	120	5	4	5	625	625	3125	1000	159884	1.33	0	0	0	0	send
3	1672	86.88	5	0	5	1000	1000	8000	500	207824	2.39	0	0	0	0	send
3	2112	109.7	5	1	5	1000	1000	8000	500	207824	1.89	0	0	0	0	send
3	1812	94.16	5	2	5	1000	1000	8000	500	207824	2.21	0	0	0	0	send
3	2810	146	5	4	5	1000	1000	8000	500	207824	1.42	0	0	0	0	send
3	103.3	5.189	5	0	5	25	25	5	10000	2511.95	0.484	0	0	0	0	send
3	107.6	5.407	5	1	5	25	25	5	10000	2511.95	0.465	0	0	0	0	send
3	95.52	4.799	5	2	5	25	25	5	10000	2511.95	0.523	0	0	0	0	send
3	112.9	5.674	5	4	5	25	25	5	10000	2511.95	0.443	0	0	0	0	send
3	481.5	24.18	5	0	5	100	100	80	5000	20087.4	0.831	0	0	0	0	send
3	474.8	23.84	5	1	5	100	100	80	5000	20087.4	0.842	0	0	0	0	send
3	506.5	25.43	5	2	5	100	100	80	5000	20087.4	0.79	0	0	0	0	send
3	789.4	39.64	5	4	5	100	100	80	5000	20087.4	0.507	0	0	0	0	send
3	1903	97.39	5	0	5	625	625	3125	1000	159884	1.64	0	0	0	0	send
3	1875	95.93	5	1	5	625	625	3125	1000	159884	1.67	0	0	0	0	send
3	1480	75.72	5	2	5	625	625	3125	1000	159884	2.11	0	0	0	0	send
3	2368	121.2	5	4	5	625	625	3125	1000	159884	1.32	0	0	0	0	send
3	2399	124.6	5	0	5	1000	1000	8000	500	207824	1.67	0	0	0	0	send
3	2381	123.7	5	1	5	1000	1000	8000	500	207824	1.68	0	0	0	0	send
3	1964	102.1	5	2	5	1000	1000	8000	500	207824	2.04	0	0	0	0	send
3	2677	139.1	5	4	5	1000	1000	8000	500	207824	1.49	0	0	0	0	send
