algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
3	107.2	5.385	5	0	5	25	25	5	10000	2511.95	0.466	0	0	0	0	send
3	101.7	5.112	5	1	5	25	25	5	10000	2511.95	0.491	0	0	0	0	send
3	100.7	5.06	5	2	5	25	25	5	10000	2511.95	0.496	0	0	0	0	send
3	91.46	4.595	5	4	5	25	25	5	10000	2511.95	0.547	0	0	0	0	send
3	481.5	24.18	5	0	5	100	100	80	5000	20087.4	0.831	0	0	0	0	send
3	463.8	23.29	5	1	5	100	100	80	5000	20087.4	0.862	0	0	0	0	send
3	547.8	27.51	5	2	5	100	100	80	5000	20087.4	0.73	0	0	0	0	send
3	582.3	29.24	5	4	5	100	100	80	5000	20087.4	0.687	0	0	0	0	send
3	1899	97.18	5	0	5	625	625	3125	1000	159884	1.65	0	0	0	0	send
3	1871	95.74	5	1	5	625	625	3125	1000	159884	1.67	0	0	0	0	send
3	2688	137.5	5	2	5	625	625	3125	1000	159884	1.16	0	0	0	0	send
3	2556	130.8	5	4	5	625	625	3125	1000	159884	1.22	0	0	0	0	send
3	1672	86.89	5	0	5	1000	1000	8000	500	207824	2.39	0	0	0	0	send
3	1671	86.83	5	1	5	1000	1000	8000	500	207824	2.39	0	0	0	0	send
3	3523	183.1	5	2	5	1000	1000	8000	500	207824	1.14	0	0	0	0	send
3	5192	269.8	5	4	5	1000	1000	8000	500	207824	0.77	0	0	0	0	send
3	107.9	5.422	5	0	5	25	25	5	10000	2511.95	0.463	0	0	0	0	send
3	118.6	5.958	5	1	5	25	25	5	10000	2511.95	0.422	0	0	0	0	send
3	107.6	5.405	5	2	5	25	25	5	10000	2511.95	0.465	0	0	0	0	send
3	112.8	5.669	5	4	5	25	25	5	10000	2511.95	0.443	0	0	0	0	send
3	336.4	16.89	5	0	5	100	100	80	5000	20087.4	1.19	0	0	0	0	send
3	433.8	21.79	5	1	5	100	100	80	5000	20087.4	0.922	0	0	0	0	send
3	561.9	28.22	5	2	5	100	100	80	5000	20087.4	0.712	0	0	0	0	send
3	842	42.29	5	4	5	100	100	80	5000	20087.4	0.475	0	0	0	0	send
3	1899	97.15	5	0	5	625	625	3125	1000	159884	1.65	0	0	0	0	send
3	1870	95.65	5	1	5	625	625	3125	1000	159884	1.67	0	0	0	0	send
3	2606	133.3	5	2	5	625	625	3125	1000	159884	1.2	0	0	0	0	send
3	4051	207.2	5	4	5	625	625	3125	1000	159884	0.771	0	0	0	0	send
3	2400	124.7	5	0	5	1000	1000	8000	500	207824	1.67	0	0	0	0	send
3	2402	124.8	5	1	5	1000	1000	8000	500	207824	1.66	0	0	0	0	send
3	3602	187.1	5	2	5	1000	1000	8000	500	207824	1.11	0	0	0	0	send
3	3123	162.2	5	4	5	1000	1000	8000	500	207824	1.28	0	0	0	0	send
3	109.5	5.502	5	0	5	25	25	5	10000	2511.95	0.457	0	0	0	0	send
3	118.9	5.975	5	1	5	25	25	5	10000	2511.95	0.42	0	0	0	0	send
3	98.06	4.926	5	2	5	25	25	5	10000	2511.95	0.51	0	0	0	0	send
3	102	5.123	5	4	5	25	25	5	10000	2511.95	0.49	0	0	0	0	send
3	452	22.7	5	0	5	100	100	80	5000	20087.4	0.885	0	0	0	0	send
3	465.3	23.37	5	1	5	100	100	80	5000	20087.4	0.86	0	0	0	0	send
3	584.3	29.34	5	2	5	100	100	80	5000	20087.4	0.685	0	0	0	0	send
3	855	42.94	5	4	5	100	100	80	5000	20087.4	0.468	0	0	0	0	send
3	1305	66.78	5	0	5	625	625	3125	1000	159884	2.39	0	0	0	0	send
3	1853	94.83	5	1	5	625	625	3125	1000	159884	1.69	0	0	0	0	send
3	2702	138.2	5	2	5	625	625	3125	1000	159884	1.16	0	0	0	0	send
3	4130	211.3	5	4	5	625	625	3125	1000	159884	0.757	0	0	0	0	send
3	2399	124.7	5	0	5	1000	1000	8000	500	207824	1.67	0	0	0	0	send
3	2402	124.8	5	1	5	1000	1000	8000	500	207824	1.67	0	0	0	0	send
3	3479	180.7	5	2	5	1000	1000	8000	500	207824	1.15	0	0	0	0	send
3	5116	265.8	5	4	5	1000	1000	8000	500	207824	0.782	0	0	0	0	send
