algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
3	289.2	28.88	5	0	5	25	25	5	10000	4991.85	0.173	0	0	5	50	send
3	264.2	26.38	5	1	5	25	25	5	10000	4991.85	0.189	0	0	5	50	send
3	102.2	10.21	5	2	5	25	25	5	10000	4991.85	0.489	0	0	5	50	send
3	376.3	37.85	5	0	5	100	100	80	5000	40237.4	1.06	0	0	5	50	send
3	372.6	37.48	5	1	5	100	100	80	5000	40237.4	1.07	0	0	5	50	send
3	391.6	39.39	5	2	5	100	100	80	5000	40237.4	1.02	0	0	5	50	send
3	416.8	41.93	5	0	5	625	625	3125	1000	314363	7.5	0	0	5	50	send
3	416.7	41.92	5	1	5	625	625	3125	1000	314363	7.5	0	0	5	50	send
3	512.9	51.59	5	2	5	625	625	3125	1000	314363	6.09	0	0	5	50	send
3	419.5	42.91	5	0	5	1000	1000	8000	500	409176	9.53	0	0	5	50	send
3	420.8	43.05	5	1	5	1000	1000	8000	500	409176	9.5	0	0	5	50	send
3	523	53.5	5	2	5	1000	1000	8000	500	409176	7.65	0	0	5	50	send
3	287.9	28.74	5	0	5	25	25	5	10000	4991.85	0.174	0	0	5	50	send
3	264.3	26.39	5	1	5	25	25	5	10000	4991.85	0.189	0	0	5	50	send
3	102.5	10.23	5	2	5	25	25	5	10000	4991.85	0.488	0	0	5	50	send
3	376.1	37.83	5	0	5	100	100	80	5000	40237.4	1.06	0	0	5	50	send
3	372.6	37.48	5	1	5	100	100	80	5000	40237.4	1.07	0	0	5	50	send
3	390.7	39.3	5	2	5	100	100	80	5000	40237.4	1.02	0	0	5	50	send
3	416.9	41.94	5	0	5	625	625	3125	1000	314363	7.5	0	0	5	50	send
3	416.6	41.9	5	1	5	625	625	3125	1000	314363	7.5	0	0	5	50	send
3	513.4	51.65	5	2	5	625	625	3125	1000	314363	6.09	0	0	5	50	send
3	419.3	42.9	5	0	5	1000	1000	8000	500	409176	9.54	0	0	5	50	send
3	420.8	43.05	5	1	5	1000	1000	8000	500	409176	9.51	0	0	5	50	send
3	523	53.5	5	2	5	1000	1000	8000	500	409176	7.65	0	0	5	50	send
