algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	75.38	75.38	5	0	5	25	25	5	5000	25000	0.332	0	0	0	0	send
0	75.68	75.68	5	1	5	25	25	5	5000	25000	0.33	0	0	0	0	send
0	76.14	76.14	5	2	5	25	25	5	5000	25000	0.328	0	0	0	0	send
0	66.91	66.91	5	4	5	25	25	5	5000	25000	0.374	0	0	0	0	send
0	207.2	207.2	5	0	5	100	100	80	1000	80000	0.386	0	0	0	0	send
0	209.5	209.5	5	1	5	100	100	80	1000	80000	0.382	0	0	0	0	send
0	255.6	255.6	5	2	5	100	100	80	1000	80000	0.313	0	0	0	0	send
0	350.8	350.8	5	4	5	100	100	80	1000	80000	0.228	0	0	0	0	send
0	90.29	90.29	5	0	5	625	625	3125	100	312500	3.46	0	0	0	0	send
0	90.36	90.36	5	1	5	625	625	3125	100	312500	3.46	0	0	0	0	send
0	131.9	131.9	5	2	5	625	625	3125	100	312500	2.37	0	0	0	0	send
0	181.6	181.6	5	4	5	625	625	3125	100	312500	1.72	0	0	0	0	send
0	71.53	71.53	5	0	5	1000	1000	8000	50	400000	5.59	0	0	0	0	send
0	71.53	71.53	5	1	5	1000	1000	8000	50	400000	5.59	0	0	0	0	send
0	115.4	115.4	5	2	5	1000	1000	8000	50	400000	3.47	0	0	0	0	send
0	183.8	183.8	5	4	5	1000	1000	8000	50	400000	2.18	0	0	0	0	send
2	114.8	5.791	5	0	5	25	25	5	5000	1260.6	0.218	0	0	0	0	send
2	80.47	4.058	5	1	5	25	25	5	5000	1260.6	0.311	0	0	0	0	send
2	86.71	4.372	5	2	5	25	25	5	5000	1260.6	0.288	0	0	0	0	send
2	69.49	3.504	5	4	5	25	25	5	5000	1260.6	0.36	0	0	0	0	send
2	331.8	16.84	5	0	5	100	100	80	1000	4061.2	0.241	0	0	0	0	send
2	466.3	23.67	5	1	5	100	100	80	1000	4061.2	0.172	0	0	0	0	send
2	441.9	22.43	5	2	5	100	100	80	1000	4061.2	0.181	0	0	0	0	send
2	573.4	29.11	5	4	5	100	100	80	1000	4061.2	0.14	0	0	0	0	send
2	1607	97.45	5	0	5	625	625	3125	100	18947.5	0.194	0	0	0	0	send
2	1565	94.89	5	1	5	625	625	3125	100	18947.5	0.2	0	0	0	0	send
