algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	45.05	45.05	5	0	5	25	25	5	5000	25000	0.555	0	0	0	0	send
0	50.4	50.4	5	1	5	25	25	5	5000	25000	0.496	0	0	0	0	send
0	58.93	58.93	5	2	5	25	25	5	5000	25000	0.424	0	0	0	0	send
0	62.74	62.74	5	4	5	25	25	5	5000	25000	0.398	0	0	0	0	send
0	69.2	69.2	5	0	5	100	100	80	1000	80000	1.16	0	0	0	0	send
0	74.8	74.8	5	1	5	100	100	80	1000	80000	1.07	0	0	0	0	send
0	128.3	128.3	5	2	5	100	100	80	1000	80000	0.623	0	0	0	0	send
0	255.7	255.7	5	4	5	100	100	80	1000	80000	0.313	0	0	0	0	send
0	33.24	33.24	5	0	5	625	625	3125	100	312500	9.4	0	0	0	0	send
0	44.42	44.42	5	1	5	625	625	3125	100	312500	7.04	0	0	0	0	send
0	67.86	67.86	5	2	5	625	625	3125	100	312500	4.6	0	0	0	0	send
0	129.6	129.6	5	4	5	625	625	3125	100	312500	2.41	0	0	0	0	send
0	40.5	40.5	5	0	5	1000	1000	8000	50	400000	9.88	0	0	0	0	send
0	40.59	40.59	5	1	5	1000	1000	8000	50	400000	9.85	0	0	0	0	send
0	62.94	62.94	5	2	5	1000	1000	8000	50	400000	6.36	0	0	0	0	send
0	120.3	120.3	5	4	5	1000	1000	8000	50	400000	3.33	0	0	0	0	send
2	87.91	4.433	5	0	5	25	25	5	5000	1260.6	0.284	0	0	0	0	send
2	91.11	4.594	5	1	5	25	25	5	5000	1260.6	0.274	0	0	0	0	send
2	100.9	5.089	5	2	5	25	25	5	5000	1260.6	0.248	0	0	0	0	send
2	92.5	4.664	5	4	5	25	25	5	5000	1260.6	0.27	0	0	0	0	send
2	304.8	15.47	5	0	5	100	100	80	1000	4061.2	0.262	0	0	0	0	send
2	309.2	15.7	5	1	5	100	100	80	1000	4061.2	0.259	0	0	0	0	send
2	402.8	20.45	5	2	5	100	100	80	1000	4061.2	0.199	0	0	0	0	send
2	451.9	22.94	5	4	5	100	100	80	1000	4061.2	0.177	0	0	0	0	send
2	948	57.48	5	0	5	625	625	3125	100	18947.5	0.33	0	0	0	0	send
2	932.5	56.54	5	1	5	625	625	3125	100	18947.5	0.335	0	0	0	0	send
2	698.6	42.36	5	2	5	625	625	3125	100	18947.5	0.447	0	0	0	0	send
2	838.4	50.83	5	4	5	625	625	3125	100	18947.5	0.373	0	0	0	0	send
2	977	67.87	5	0	5	1000	1000	8000	50	27788	0.409	0	0	0	0	send
2	967.1	67.18	5	1	5	1000	1000	8000	50	27788	0.414	0	0	0	0	send
2	636.5	44.22	5	2	5	1000	1000	8000	50	27788	0.628	0	0	0	0	send
2	770.7	53.54	5	4	5	1000	1000	8000	50	27788	0.519	0	0	0	0	send
3	112.4	5.666	5	0	5	25	25	5	5000	1260.6	0.222	0	0	0	0	send
3	78.25	3.946	5	1	5	25	25	5	5000	1260.6	0.319	0	0	0	0	send
3	75.29	3.796	5	2	5	25	25	5	5000	1260.6	0.332	0	0	0	0	send
3	54.94	2.77	5	4	5	25	25	5	5000	1260.6	0.455	0	0	0	0	send
3	385.4	19.57	5	0	5	100	100	80	1000	4061.2	0.208	0	0	0	0	send
3	293.6	14.91	5	1	5	100	100	80	1000	4061.2	0.272	0	0	0	0	send
3	385.9	19.59	5	2	5	100	100	80	1000	4061.2	0.207	0	0	0	0	send
3	397.2	20.17	5	4	5	100	100	80	1000	4061.2	0.201	0	0	0	0	send
3	944.8	57.28	5	0	5	625	625	3125	100	18947.5	0.331	0	0	0	0	send
3	562.4	34.1	5	1	5	625	625	3125	100	18947.5	0.556	0	0	0	0	send
