algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	172.4	172.4	5	0	5	25	25	5	5000	25000	0.145	0	0	0	0	send
0	166.9	166.9	5	1	5	25	25	5	5000	25000	0.15	0	0	0	0	send
0	52.94	52.94	5	2	5	25	25	5	5000	25000	0.472	0	0	0	0	send
0	98.83	98.83	5	0	5	100	100	80	1000	80000	0.809	0	0	0	0	send
0	98.74	98.74	5	1	5	100	100	80	1000	80000	0.81	0	0	0	0	send
0	134.2	134.2	5	2	5	100	100	80	1000	80000	0.596	0	0	0	0	send
0	66.53	66.53	5	0	5	625	625	3125	100	312500	4.7	0	0	0	0	send
0	66.48	66.48	5	1	5	625	625	3125	100	312500	4.7	0	0	0	0	send
0	102.1	102.1	5	2	5	625	625	3125	100	312500	3.06	0	0	0	0	send
0	25.16	25.16	5	0	5	1000	1000	8000	50	400000	15.9	0	0	0	0	send
0	25.16	25.16	5	1	5	1000	1000	8000	50	400000	15.9	0	0	0	0	send
0	39.12	39.12	5	2	5	1000	1000	8000	50	400000	10.2	0	0	0	0	send
0	145.1	145.1	5	0	5	25	25	5	5000	25000	0.172	0	0	5	50	send
0	143	143	5	1	5	25	25	5	5000	25000	0.175	0	0	5	50	send
0	45.02	45.02	5	2	5	25	25	5	5000	25000	0.555	0	0	5	50	send
0	77.81	77.81	5	0	5	100	100	80	1000	80000	1.03	0	0	5	50	send
0	76.85	76.85	5	1	5	100	100	80	1000	80000	1.04	0	0	5	50	send
0	100.3	100.3	5	2	5	100	100	80	1000	80000	0.798	0	0	5	50	send
0	54.13	54.13	5	0	5	625	625	3125	100	312500	5.77	0	0	5	50	send
0	54.09	54.09	5	1	5	625	625	3125	100	312500	5.78	0	0	5	50	send
0	78.44	78.44	5	2	5	625	625	3125	100	312500	3.98	0	0	5	50	send
0	21.3	21.3	5	0	5	1000	1000	8000	50	400000	18.8	0	0	5	50	send
0	21.26	21.26	5	1	5	1000	1000	8000	50	400000	18.8	0	0	5	50	send
0	31.29	31.29	5	2	5	1000	1000	8000	50	400000	12.8	0	0	5	50	send
2	426.9	21.42	5	0	5	25	25	5	5000	1254.6	0.0586	0	0	5	50	send
2	384.1	19.28	5	1	5	25	25	5	5000	1254.6	0.0651	0	0	5	50	send
2	48.14	2.416	5	2	5	25	25	5	5000	1254.6	0.519	0	0	5	50	send
2	409.8	20.87	5	0	5	100	100	80	1000	4075.2	0.195	0	0	5	50	send
2	407	20.73	5	1	5	100	100	80	1000	4075.2	0.197	0	0	5	50	send
2	378.8	19.3	5	2	5	100	100	80	1000	4075.2	0.211	0	0	5	50	send
2	248.9	14.76	5	0	5	625	625	3125	100	18533.8	1.26	0	0	5	50	send
2	247.8	14.7	5	1	5	625	625	3125	100	18533.8	1.26	0	0	5	50	send
2	258.1	15.31	5	2	5	625	625	3125	100	18533.8	1.21	0	0	5	50	send
2	130.5	9.073	5	0	5	1000	1000	8000	50	27814	3.07	0	0	5	50	send
2	130.2	9.055	5	1	5	1000	1000	8000	50	27814	3.07	0	0	5	50	send
2	152.2	10.58	5	2	5	1000	1000	8000	50	27814	2.63	0	0	5	50	send
3	428.6	21.51	5	0	5	25	25	5	5000	1254.6	0.0583	0	0	5	50	send
3	323	16.21	5	1	5	25	25	5	5000	1254.6	0.0774	0	0	5	50	send
3	43.46	2.181	5	2	5	25	25	5	5000	1254.6	0.575	0	0	5	50	send
3	400.4	20.4	5	0	5	100	100	80	1000	4075.2	0.2	0	0	5	50	send
3	363.6	18.52	5	1	5	100	100	80	1000	4075.2	0.22	0	0	5	50	send
3	339.8	17.31	5	2	5	100	100	80	1000	4075.2	0.235	0	0	5	50	send
3	248.5	14.74	5	0	5	625	625	3125	100	18533.8	1.26	0	0	5	50	send
3	229.1	13.58	5	1	5	625	625	3125	100	18533.8	1.36	0	0	5	50	send
3	281.8	16.71	5	2	5	625	625	3125	100	18533.8	1.11	0	0	5	50	send
3	130.3	9.061	5	0	5	1000	1000	8000	50	27814	3.07	0	0	5	50	send
3	124	8.622	5	1	5	1000	1000	8000	50	27814	3.23	0	0	5	50	send
3	154.4	10.74	5	2	5	1000	1000	8000	50	27814	2.59	0	0	5	50	send
