algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	174.4	174.4	5	0	5	25	25	5	5000	25000	0.143	0	0	0	0	send
0	175.1	175.1	5	1	5	25	25	5	5000	25000	0.143	0	0	0	0	send
0	79.71	79.71	5	2	5	25	25	5	5000	25000	0.314	0	0	0	0	send
0	98.42	98.42	5	0	5	100	100	80	1000	80000	0.813	0	0	0	0	send
0	97.15	97.15	5	1	5	100	100	80	1000	80000	0.823	0	0	0	0	send
0	133.6	133.6	5	2	5	100	100	80	1000	80000	0.599	0	0	0	0	send
0	66.5	66.5	5	0	5	625	625	3125	100	312500	4.7	0	0	0	0	send
0	66.41	66.41	5	1	5	625	625	3125	100	312500	4.71	0	0	0	0	send
0	105.3	105.3	5	2	5	625	625	3125	100	312500	2.97	0	0	0	0	send
0	25.07	25.07	5	0	5	1000	1000	8000	50	400000	16	0	0	0	0	send
0	25.07	25.07	5	1	5	1000	1000	8000	50	400000	16	0	0	0	0	send
0	39.7	39.7	5	2	5	1000	1000	8000	50	400000	10.1	0	0	0	0	send
0	148.9	148.9	5	0	5	25	25	5	5000	25000	0.168	0	0	5	50	send
0	141.6	141.6	5	1	5	25	25	5	5000	25000	0.176	0	0	5	50	send
0	40.45	40.45	5	2	5	25	25	5	5000	25000	0.618	0	0	5	50	send
0	78.18	78.18	5	0	5	100	100	80	1000	80000	1.02	0	0	5	50	send
0	77.68	77.68	5	1	5	100	100	80	1000	80000	1.03	0	0	5	50	send
0	108.6	108.6	5	2	5	100	100	80	1000	80000	0.737	0	0	5	50	send
0	54.2	54.2	5	0	5	625	625	3125	100	312500	5.77	0	0	5	50	send
0	54.17	54.17	5	1	5	625	625	3125	100	312500	5.77	0	0	5	50	send
0	79.8	79.8	5	2	5	625	625	3125	100	312500	3.92	0	0	5	50	send
0	21.33	21.33	5	0	5	1000	1000	8000	50	400000	18.7	0	0	5	50	send
0	21.37	21.37	5	1	5	1000	1000	8000	50	400000	18.7	0	0	5	50	send
0	32	32	5	2	5	1000	1000	8000	50	400000	12.5	0	0	5	50	send
2	427.4	21.45	5	0	5	25	25	5	5000	1254.6	0.0585	0	0	5	50	send
2	400.7	20.11	5	1	5	25	25	5	5000	1254.6	0.0624	0	0	5	50	send
2	65.82	3.303	5	2	5	25	25	5	5000	1254.6	0.38	0	0	5	50	send
2	410.8	20.93	5	0	5	100	100	80	1000	4075.2	0.195	0	0	5	50	send
2	417.3	21.26	5	1	5	100	100	80	1000	4075.2	0.192	0	0	5	50	send
2	359.3	18.3	5	2	5	100	100	80	1000	4075.2	0.223	0	0	5	50	send
2	248.8	14.76	5	0	5	625	625	3125	100	18533.8	1.26	0	0	5	50	send
2	248.1	14.71	5	1	5	625	625	3125	100	18533.8	1.26	0	0	5	50	send
2	243.2	14.42	5	2	5	625	625	3125	100	18533.8	1.28	0	0	5	50	send
2	130.8	9.095	5	0	5	1000	1000	8000	50	27814	3.06	0	0	5	50	send
2	130.7	9.091	5	1	5	1000	1000	8000	50	27814	3.06	0	0	5	50	send
2	152	10.57	5	2	5	1000	1000	8000	50	27814	2.63	0	0	5	50	send
3	429.1	21.53	5	0	5	25	25	5	5000	1254.6	0.0583	0	0	5	50	send
3	338.6	16.99	5	1	5	25	25	5	5000	1254.6	0.0738	0	0	5	50	send
3	60.75	3.049	5	2	5	25	25	5	5000	1254.6	0.412	0	0	5	50	send
3	417.5	21.26	5	0	5	100	100	80	1000	4075.2	0.192	0	0	5	50	send
3	373.3	19.02	5	1	5	100	100	80	1000	4075.2	0.214	0	0	5	50	send
3	403.3	20.54	5	2	5	100	100	80	1000	4075.2	0.198	0	0	5	50	send
3	248.7	14.75	5	0	5	625	625	3125	100	18533.8	1.26	0	0	5	50	send
3	223.6	13.26	5	1	5	625	625	3125	100	18533.8	1.4	0	0	5	50	send
3	286.6	17	5	2	5	625	625	3125	100	18533.8	1.09	0	0	5	50	send
3	130.6	9.082	5	0	5	1000	1000	8000	50	27814	3.06	0	0	5	50	send
3	123.8	8.609	5	1	5	1000	1000	8000	50	27814	3.23	0	0	5	50	send
3	155.8	10.83	5	2	5	1000	1000	8000	50	27814	2.57	0	0	5	50	send
