algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	68.19	68.19	5	0	5	25	25	5	5000	25000	0.367	0	0	5	50	send
0	84.2	84.2	5	1	5	25	25	5	5000	25000	0.297	0	0	5	50	send
0	76.45	76.45	5	2	5	25	25	5	5000	25000	0.327	0	0	5	50	send
0	50.25	50.25	5	4	5	25	25	5	5000	25000	0.497	0	0	5	50	send
0	134.3	134.3	5	0	5	100	100	80	1000	80000	0.596	0	0	5	50	send
0	122.9	122.9	5	1	5	100	100	80	1000	80000	0.651	0	0	5	50	send
0	168.4	168.4	5	2	5	100	100	80	1000	80000	0.475	0	0	5	50	send
0	248.9	248.9	5	4	5	100	100	80	1000	80000	0.321	0	0	5	50	send
0	77.38	77.38	5	0	5	625	625	3125	100	312500	4.04	0	0	5	50	send
0	77.31	77.31	5	1	5	625	625	3125	100	312500	4.04	0	0	5	50	send
0	113.4	113.4	5	2	5	625	625	3125	100	312500	2.75	0	0	5	50	send
0	143.9	143.9	5	4	5	625	625	3125	100	312500	2.17	0	0	5	50	send
0	74.59	74.59	5	0	5	1000	1000	8000	50	400000	5.36	0	0	5	50	send
0	74.58	74.58	5	1	5	1000	1000	8000	50	400000	5.36	0	0	5	50	send
0	110.8	110.8	5	2	5	1000	1000	8000	50	400000	3.61	0	0	5	50	send
0	149.3	149.3	5	4	5	1000	1000	8000	50	400000	2.68	0	0	5	50	send
2	114.9	5.793	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
2	112.8	5.686	5	1	5	25	25	5	5000	1260.6	0.222	0	0	5	50	send
2	94.41	4.76	5	2	5	25	25	5	5000	1260.6	0.265	0	0	5	50	send
2	103.2	5.202	5	4	5	25	25	5	5000	1260.6	0.242	0	0	5	50	send
2	362	18.38	5	0	5	100	100	80	1000	4061.2	0.221	0	0	5	50	send
2	361	18.33	5	1	5	100	100	80	1000	4061.2	0.222	0	0	5	50	send
2	302.9	15.37	5	2	5	100	100	80	1000	4061.2	0.264	0	0	5	50	send
2	382.3	19.41	5	4	5	100	100	80	1000	4061.2	0.209	0	0	5	50	send
2	382.2	23.18	5	0	5	625	625	3125	100	18947.5	0.818	0	0	5	50	send
2	380.9	23.1	5	1	5	625	625	3125	100	18947.5	0.82	0	0	5	50	send
2	286.9	17.4	5	2	5	625	625	3125	100	18947.5	1.09	0	0	5	50	send
2	342.7	20.78	5	4	5	625	625	3125	100	18947.5	0.912	0	0	5	50	send
2	378.9	26.32	5	0	5	1000	1000	8000	50	27788	1.06	0	0	5	50	send
2	378.1	26.27	5	1	5	1000	1000	8000	50	27788	1.06	0	0	5	50	send
2	274.6	19.08	5	2	5	1000	1000	8000	50	27788	1.46	0	0	5	50	send
2	331.6	23.03	5	4	5	1000	1000	8000	50	27788	1.21	0	0	5	50	send
3	114.9	5.794	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
3	110.7	5.584	5	1	5	25	25	5	5000	1260.6	0.226	0	0	5	50	send
3	89.95	4.535	5	2	5	25	25	5	5000	1260.6	0.278	0	0	5	50	send
3	63.79	3.216	5	4	5	25	25	5	5000	1260.6	0.392	0	0	5	50	send
3	357.9	18.17	5	0	5	100	100	80	1000	4061.2	0.224	0	0	5	50	send
3	355.5	18.05	5	1	5	100	100	80	1000	4061.2	0.225	0	0	5	50	send
3	341.9	17.36	5	2	5	100	100	80	1000	4061.2	0.234	0	0	5	50	send
3	437.5	22.21	5	4	5	100	100	80	1000	4061.2	0.183	0	0	5	50	send
3	382.1	23.17	5	0	5	625	625	3125	100	18947.5	0.818	0	0	5	50	send
3	386.3	23.42	5	1	5	625	625	3125	100	18947.5	0.809	0	0	5	50	send
3	449.7	27.27	5	2	5	625	625	3125	100	18947.5	0.695	0	0	5	50	send
3	533.7	32.36	5	4	5	625	625	3125	100	18947.5	0.585	0	0	5	50	send
3	296.5	20.6	5	0	5	1000	1000	8000	50	27788	1.35	0	0	5	50	send
3	383.4	26.64	5	1	5	1000	1000	8000	50	27788	1.04	0	0	5	50	send
3	461.7	32.08	5	2	5	1000	1000	8000	50	27788	0.866	0	0	5	50	send
3	541.3	37.6	5	4	5	1000	1000	8000	50	27788	0.739	0	0	5	50	send
0	70.09	70.09	5	0	5	25	25	5	5000	25000	0.357	0	0	5	50	send
0	72.33	72.33	5	1	5	25	25	5	5000	25000	0.346	0	0	5	50	send
0	73.95	73.95	5	2	5	25	25	5	5000	25000	0.338	0	0	5	50	send
0	69.15	69.15	5	4	5	25	25	5	5000	25000	0.362	0	0	5	50	send
0	159.9	159.9	5	0	5	100	100	80	1000	80000	0.5	0	0	5	50	send
0	184.1	184.1	5	1	5	100	100	80	1000	80000	0.434	0	0	5	50	send
0	188	188	5	2	5	100	100	80	1000	80000	0.426	0	0	5	50	send
0	259.2	259.2	5	4	5	100	100	80	1000	80000	0.309	0	0	5	50	send
0	63.61	63.61	5	0	5	625	625	3125	100	312500	4.91	0	0	5	50	send
0	77.43	77.43	5	1	5	625	625	3125	100	312500	4.04	0	0	5	50	send
0	113.4	113.4	5	2	5	625	625	3125	100	312500	2.76	0	0	5	50	send
0	144.1	144.1	5	4	5	625	625	3125	100	312500	2.17	0	0	5	50	send
0	74.67	74.67	5	0	5	1000	1000	8000	50	400000	5.36	0	0	5	50	send
0	74.72	74.72	5	1	5	1000	1000	8000	50	400000	5.35	0	0	5	50	send
0	110.9	110.9	5	2	5	1000	1000	8000	50	400000	3.61	0	0	5	50	send
0	146.2	146.2	5	4	5	1000	1000	8000	50	400000	2.74	0	0	5	50	send
2	115	5.797	5	0	5	25	25	5	5000	1260.6	0.217	0	0	5	50	send
2	83.86	4.228	5	1	5	25	25	5	5000	1260.6	0.298	0	0	5	50	send
2	110.8	5.589	5	2	5	25	25	5	5000	1260.6	0.226	0	0	5	50	send
2	91.69	4.623	5	4	5	25	25	5	5000	1260.6	0.273	0	0	5	50	send
2	343.5	17.44	5	0	5	100	100	80	1000	4061.2	0.233	0	0	5	50	send
2	255.3	12.96	5	1	5	100	100	80	1000	4061.2	0.313	0	0	5	50	send
2	292.1	14.83	5	2	5	100	100	80	1000	4061.2	0.274	0	0	5	50	send
2	310.3	15.75	5	4	5	100	100	80	1000	4061.2	0.258	0	0	5	50	send
2	382.3	23.18	5	0	5	625	625	3125	100	18947.5	0.817	0	0	5	50	send
2	380.4	23.07	5	1	5	625	625	3125	100	18947.5	0.821	0	0	5	50	send
2	287.8	17.45	5	2	5	625	625	3125	100	18947.5	1.09	0	0	5	50	send
2	343.9	20.85	5	4	5	625	625	3125	100	18947.5	0.909	0	0	5	50	send
2	379.1	26.33	5	0	5	1000	1000	8000	50	27788	1.06	0	0	5	50	send
2	378.7	26.31	5	1	5	1000	1000	8000	50	27788	1.06	0	0	5	50	send
2	275.8	19.16	5	2	5	1000	1000	8000	50	27788	1.45	0	0	5	50	send
2	333.2	23.15	5	4	5	1000	1000	8000	50	27788	1.2	0	0	5	50	send
3	114.8	5.79	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
3	110.8	5.587	5	1	5	25	25	5	5000	1260.6	0.226	0	0	5	50	send
3	91.66	4.622	5	2	5	25	25	5	5000	1260.6	0.273	0	0	5	50	send
3	82.39	4.154	5	4	5	25	25	5	5000	1260.6	0.303	0	0	5	50	send
3	359.8	18.27	5	0	5	100	100	80	1000	4061.2	0.222	0	0	5	50	send
3	354.8	18.01	5	1	5	100	100	80	1000	4061.2	0.225	0	0	5	50	send
3	327.3	16.62	5	2	5	100	100	80	1000	4061.2	0.244	0	0	5	50	send
3	500.2	25.39	5	4	5	100	100	80	1000	4061.2	0.16	0	0	5	50	send
3	382.1	23.17	5	0	5	625	625	3125	100	18947.5	0.818	0	0	5	50	send
3	385.6	23.38	5	1	5	625	625	3125	100	18947.5	0.81	0	0	5	50	send
3	450.4	27.31	5	2	5	625	625	3125	100	18947.5	0.694	0	0	5	50	send
3	536.5	32.53	5	4	5	625	625	3125	100	18947.5	0.582	0	0	5	50	send
3	377.9	26.25	5	0	5	1000	1000	8000	50	27788	1.06	0	0	5	50	send
3	384.3	26.7	5	1	5	1000	1000	8000	50	27788	1.04	0	0	5	50	send
3	459.9	31.95	5	2	5	1000	1000	8000	50	27788	0.87	0	0	5	50	send
3	544.1	37.8	5	4	5	1000	1000	8000	50	27788	0.735	0	0	5	50	send
