algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	74.34	74.34	5	0	5	25	25	5	5000	25000	0.336	0	0	5	50	send
0	72.4	72.4	5	2	5	25	25	5	5000	25000	0.345	0	0	5	50	send
0	78.1	78.1	5	4	5	25	25	5	5000	25000	0.32	0	0	5	50	send
0	155.3	155.3	5	0	5	100	100	80	1000	80000	0.515	0	0	5	50	send
0	167.1	167.1	5	2	5	100	100	80	1000	80000	0.479	0	0	5	50	send
0	318.6	318.6	5	4	5	100	100	80	1000	80000	0.251	0	0	5	50	send
0	77.32	77.32	5	0	5	625	625	3125	100	312500	4.04	0	0	5	50	send
0	106.8	106.8	5	2	5	625	625	3125	100	312500	2.93	0	0	5	50	send
0	142	142	5	4	5	625	625	3125	100	312500	2.2	0	0	5	50	send
0	74.52	74.52	5	0	5	1000	1000	8000	50	400000	5.37	0	0	5	50	send
0	104.2	104.2	5	2	5	1000	1000	8000	50	400000	3.84	0	0	5	50	send
0	148.7	148.7	5	4	5	1000	1000	8000	50	400000	2.69	0	0	5	50	send
2	114.5	5.774	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
2	89.32	4.504	5	2	5	25	25	5	5000	1260.6	0.28	0	0	5	50	send
2	103.2	5.201	5	4	5	25	25	5	5000	1260.6	0.242	0	0	5	50	send
2	359	18.22	5	0	5	100	100	80	1000	4061.2	0.223	0	0	5	50	send
2	328.1	16.66	5	2	5	100	100	80	1000	4061.2	0.244	0	0	5	50	send
2	397.1	20.16	5	4	5	100	100	80	1000	4061.2	0.201	0	0	5	50	send
2	382.2	23.18	5	0	5	625	625	3125	100	18947.5	0.818	0	0	5	50	send
2	314	19.04	5	2	5	625	625	3125	100	18947.5	0.995	0	0	5	50	send
2	398.2	24.15	5	4	5	625	625	3125	100	18947.5	0.785	0	0	5	50	send
2	379.5	26.36	5	0	5	1000	1000	8000	50	27788	1.05	0	0	5	50	send
2	301.6	20.95	5	2	5	1000	1000	8000	50	27788	1.33	0	0	5	50	send
2	365.9	25.42	5	4	5	1000	1000	8000	50	27788	1.09	0	0	5	50	send
3	114.5	5.772	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
3	81.12	4.09	5	2	5	25	25	5	5000	1260.6	0.308	0	0	5	50	send
3	89.28	4.502	5	4	5	25	25	5	5000	1260.6	0.28	0	0	5	50	send
3	362.4	18.4	5	0	5	100	100	80	1000	4061.2	0.221	0	0	5	50	send
3	326.3	16.56	5	2	5	100	100	80	1000	4061.2	0.245	0	0	5	50	send
3	394.7	20.04	5	4	5	100	100	80	1000	4061.2	0.203	0	0	5	50	send
3	382.4	23.18	5	0	5	625	625	3125	100	18947.5	0.817	0	0	5	50	send
3	438.7	26.6	5	2	5	625	625	3125	100	18947.5	0.712	0	0	5	50	send
3	531.3	32.21	5	4	5	625	625	3125	100	18947.5	0.588	0	0	5	50	send
3	379.1	26.34	5	0	5	1000	1000	8000	50	27788	1.06	0	0	5	50	send
3	449.5	31.23	5	2	5	1000	1000	8000	50	27788	0.89	0	0	5	50	send
3	548	38.07	5	4	5	1000	1000	8000	50	27788	0.73	0	0	5	50	send
0	66.84	66.84	5	0	5	25	25	5	5000	25000	0.374	0	0	5	50	send
0	69.36	69.36	5	2	5	25	25	5	5000	25000	0.36	0	0	5	50	send
0	81.42	81.42	5	4	5	25	25	5	5000	25000	0.307	0	0	5	50	send
0	184.9	184.9	5	0	5	100	100	80	1000	80000	0.433	0	0	5	50	send
0	188	188	5	2	5	100	100	80	1000	80000	0.426	0	0	5	50	send
0	348.7	348.7	5	4	5	100	100	80	1000	80000	0.229	0	0	5	50	send
0	77.16	77.16	5	0	5	625	625	3125	100	312500	4.05	0	0	5	50	send
0	106.9	106.9	5	2	5	625	625	3125	100	312500	2.92	0	0	5	50	send
0	141.8	141.8	5	4	5	625	625	3125	100	312500	2.2	0	0	5	50	send
0	74.59	74.59	5	0	5	1000	1000	8000	50	400000	5.36	0	0	5	50	send
0	104.5	104.5	5	2	5	1000	1000	8000	50	400000	3.83	0	0	5	50	send
0	145.7	145.7	5	4	5	1000	1000	8000	50	400000	2.75	0	0	5	50	send
2	114.5	5.772	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
2	83.94	4.233	5	2	5	25	25	5	5000	1260.6	0.298	0	0	5	50	send
2	94.46	4.763	5	4	5	25	25	5	5000	1260.6	0.265	0	0	5	50	send
2	311	15.79	5	0	5	100	100	80	1000	4061.2	0.257	0	0	5	50	send
2	319.9	16.24	5	2	5	100	100	80	1000	4061.2	0.25	0	0	5	50	send
2	395.6	20.08	5	4	5	100	100	80	1000	4061.2	0.202	0	0	5	50	send
2	382.1	23.17	5	0	5	625	625	3125	100	18947.5	0.818	0	0	5	50	send
2	312.2	18.93	5	2	5	625	625	3125	100	18947.5	1	0	0	5	50	send
2	390	23.65	5	4	5	625	625	3125	100	18947.5	0.801	0	0	5	50	send
2	379.4	26.36	5	0	5	1000	1000	8000	50	27788	1.05	0	0	5	50	send
2	300.2	20.85	5	2	5	1000	1000	8000	50	27788	1.33	0	0	5	50	send
2	375.5	26.09	5	4	5	1000	1000	8000	50	27788	1.07	0	0	5	50	send
3	102.5	5.17	5	0	5	25	25	5	5000	1260.6	0.244	0	0	5	50	send
3	71.86	3.623	5	2	5	25	25	5	5000	1260.6	0.348	0	0	5	50	send
3	80.76	4.072	5	4	5	25	25	5	5000	1260.6	0.31	0	0	5	50	send
3	358.7	18.21	5	0	5	100	100	80	1000	4061.2	0.223	0	0	5	50	send
3	335.7	17.04	5	2	5	100	100	80	1000	4061.2	0.238	0	0	5	50	send
3	342.9	17.41	5	4	5	100	100	80	1000	4061.2	0.233	0	0	5	50	send
3	382.2	23.17	5	0	5	625	625	3125	100	18947.5	0.818	0	0	5	50	send
3	436.9	26.49	5	2	5	625	625	3125	100	18947.5	0.715	0	0	5	50	send
3	535.9	32.49	5	4	5	625	625	3125	100	18947.5	0.583	0	0	5	50	send
3	378.6	26.3	5	0	5	1000	1000	8000	50	27788	1.06	0	0	5	50	send
3	450.6	31.3	5	2	5	1000	1000	8000	50	27788	0.888	0	0	5	50	send
3	549.8	38.19	5	4	5	1000	1000	8000	50	27788	0.728	0	0	5	50	send
0	66.38	66.38	5	0	5	25	25	5	5000	25000	0.377	0	0	5	50	send
0	66.11	66.11	5	2	5	25	25	5	5000	25000	0.378	0	0	5	50	send
0	57.94	57.94	5	4	5	25	25	5	5000	25000	0.432	0	0	5	50	send
0	165.9	165.9	5	0	5	100	100	80	1000	80000	0.482	0	0	5	50	send
0	189.2	189.2	5	2	5	100	100	80	1000	80000	0.423	0	0	5	50	send
0	266.8	266.8	5	4	5	100	100	80	1000	80000	0.3	0	0	5	50	send
0	77.36	77.36	5	0	5	625	625	3125	100	312500	4.04	0	0	5	50	send
0	107	107	5	2	5	625	625	3125	100	312500	2.92	0	0	5	50	send
0	129.3	129.3	5	4	5	625	625	3125	100	312500	2.42	0	0	5	50	send
0	60.58	60.58	5	0	5	1000	1000	8000	50	400000	6.6	0	0	5	50	send
0	104.4	104.4	5	2	5	1000	1000	8000	50	400000	3.83	0	0	5	50	send
0	145.8	145.8	5	4	5	1000	1000	8000	50	400000	2.74	0	0	5	50	send
2	114.5	5.773	5	0	5	25	25	5	5000	1260.6	0.218	0	0	5	50	send
2	85.68	4.32	5	2	5	25	25	5	5000	1260.6	0.292	0	0	5	50	send
2	64.46	3.25	5	4	5	25	25	5	5000	1260.6	0.388	0	0	5	50	send
2	282.9	14.36	5	0	5	100	100	80	1000	4061.2	0.283	0	0	5	50	send
2	331.4	16.83	5	2	5	100	100	80	1000	4061.2	0.241	0	0	5	50	send
2	404.3	20.53	5	4	5	100	100	80	1000	4061.2	0.198	0	0	5	50	send
2	382.5	23.19	5	0	5	625	625	3125	100	18947.5	0.817	0	0	5	50	send
2	309.5	18.77	5	2	5	625	625	3125	100	18947.5	1.01	0	0	5	50	send
2	394.5	23.92	5	4	5	625	625	3125	100	18947.5	0.792	0	0	5	50	send
2	296.2	20.57	5	0	5	1000	1000	8000	50	27788	1.35	0	0	5	50	send
2	279	19.38	5	2	5	1000	1000	8000	50	27788	1.43	0	0	5	50	send
2	393	27.3	5	4	5	1000	1000	8000	50	27788	1.02	0	0	5	50	send
3	87.48	4.411	5	0	5	25	25	5	5000	1260.6	0.286	0	0	5	50	send
3	75.24	3.794	5	2	5	25	25	5	5000	1260.6	0.332	0	0	5	50	send
3	86.68	4.371	5	4	5	25	25	5	5000	1260.6	0.288	0	0	5	50	send
3	282.7	14.35	5	0	5	100	100	80	1000	4061.2	0.283	0	0	5	50	send
3	334.2	16.96	5	2	5	100	100	80	1000	4061.2	0.239	0	0	5	50	send
3	468.3	23.77	5	4	5	100	100	80	1000	4061.2	0.171	0	0	5	50	send
3	382.7	23.2	5	0	5	625	625	3125	100	18947.5	0.817	0	0	5	50	send
3	433.9	26.31	5	2	5	625	625	3125	100	18947.5	0.72	0	0	5	50	send
3	496.6	30.11	5	4	5	625	625	3125	100	18947.5	0.629	0	0	5	50	send
3	296.6	20.61	5	0	5	1000	1000	8000	50	27788	1.35	0	0	5	50	send
