algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	75.43	75.43	5	0	5	25	25	5	5000	25000	0.331	1	0	5	50	send
0	65.98	65.98	5	2	5	25	25	5	5000	25000	0.379	1	0	5	50	send
0	53.64	53.64	5	4	5	25	25	5	5000	25000	0.466	1	0	5	50	send
0	160.2	160.2	5	0	5	100	100	80	1000	80000	0.5	1	0	5	50	send
0	203.9	203.9	5	2	5	100	100	80	1000	80000	0.392	1	0	5	50	send
0	343.5	343.5	5	4	5	100	100	80	1000	80000	0.233	1	0	5	50	send
0	63.48	63.48	5	0	5	625	625	3125	100	312500	4.92	1	0	5	50	send
0	105.5	105.5	5	2	5	625	625	3125	100	312500	2.96	1	0	5	50	send
0	143.6	143.6	5	4	5	625	625	3125	100	312500	2.18	1	0	5	50	send
0	74.55	74.55	5	0	5	1000	1000	8000	50	400000	5.37	1	0	5	50	send
0	104.1	104.1	5	2	5	1000	1000	8000	50	400000	3.84	1	0	5	50	send
0	138.5	138.5	5	4	5	1000	1000	8000	50	400000	2.89	1	0	5	50	send
2	114.5	5.772	5	0	5	25	25	5	5000	1260.6	0.218	1	0	5	50	send
2	105.3	5.311	5	2	5	25	25	5	5000	1260.6	0.237	1	0	5	50	send
2	86.22	4.348	5	4	5	25	25	5	5000	1260.6	0.29	1	0	5	50	send
2	291.8	14.82	5	0	5	100	100	80	1000	4061.2	0.274	1	0	5	50	send
2	319.2	16.2	5	2	5	100	100	80	1000	4061.2	0.251	1	0	5	50	send
2	498.6	25.31	5	4	5	100	100	80	1000	4061.2	0.16	1	0	5	50	send
2	298.9	18.13	5	0	5	625	625	3125	100	18947.5	1.05	1	0	5	50	send
2	290.2	17.6	5	2	5	625	625	3125	100	18947.5	1.08	1	0	5	50	send
2	391.7	23.75	5	4	5	625	625	3125	100	18947.5	0.798	1	0	5	50	send
2	296.8	20.62	5	0	5	1000	1000	8000	50	27788	1.35	1	0	5	50	send
2	280.2	19.46	5	2	5	1000	1000	8000	50	27788	1.43	1	0	5	50	send
2	395	27.44	5	4	5	1000	1000	8000	50	27788	1.01	1	0	5	50	send
3	87.04	4.389	5	0	5	25	25	5	5000	1260.6	0.287	1	0	5	50	send
3	72.29	3.645	5	2	5	25	25	5	5000	1260.6	0.346	1	0	5	50	send
3	52.32	2.638	5	4	5	25	25	5	5000	1260.6	0.478	1	0	5	50	send
3	242.1	12.29	5	0	5	100	100	80	1000	4061.2	0.33	1	0	5	50	send
3	334.8	17	5	2	5	100	100	80	1000	4061.2	0.239	1	0	5	50	send
3	315.6	16.02	5	4	5	100	100	80	1000	4061.2	0.253	1	0	5	50	send
3	299	18.13	5	0	5	625	625	3125	100	18947.5	1.05	1	0	5	50	send
3	403.6	24.47	5	2	5	625	625	3125	100	18947.5	0.774	1	0	5	50	send
3	486.7	29.51	5	4	5	625	625	3125	100	18947.5	0.642	1	0	5	50	send
3	370.3	25.72	5	0	5	1000	1000	8000	50	27788	1.08	1	0	5	50	send
3	451.1	31.34	5	2	5	1000	1000	8000	50	27788	0.887	1	0	5	50	send
3	542.7	37.7	5	4	5	1000	1000	8000	50	27788	0.737	1	0	5	50	send
0	73.07	73.07	5	0	5	25	25	5	5000	25000	0.342	1	0	5	50	send
0	67.6	67.6	5	2	5	25	25	5	5000	25000	0.37	1	0	5	50	send
0	84.75	84.75	5	4	5	25	25	5	5000	25000	0.295	1	0	5	50	send
0	195.7	195.7	5	0	5	100	100	80	1000	80000	0.409	1	0	5	50	send
0	187.5	187.5	5	2	5	100	100	80	1000	80000	0.427	1	0	5	50	send
0	249.5	249.5	5	4	5	100	100	80	1000	80000	0.321	1	0	5	50	send
0	77.46	77.46	5	0	5	625	625	3125	100	312500	4.03	1	0	5	50	send
0	107.1	107.1	5	2	5	625	625	3125	100	312500	2.92	1	0	5	50	send
0	140.8	140.8	5	4	5	625	625	3125	100	312500	2.22	1	0	5	50	send
0	71.86	71.86	5	0	5	1000	1000	8000	50	400000	5.57	1	0	5	50	send
0	102.5	102.5	5	2	5	1000	1000	8000	50	400000	3.9	1	0	5	50	send
0	145	145	5	4	5	1000	1000	8000	50	400000	2.76	1	0	5	50	send
2	114.8	5.788	5	0	5	25	25	5	5000	1260.6	0.218	1	0	5	50	send
2	90.36	4.556	5	2	5	25	25	5	5000	1260.6	0.277	1	0	5	50	send
2	83.79	4.225	5	4	5	25	25	5	5000	1260.6	0.298	1	0	5	50	send
2	364.2	18.49	5	0	5	100	100	80	1000	4061.2	0.22	1	0	5	50	send
2	385	19.54	5	2	5	100	100	80	1000	4061.2	0.208	1	0	5	50	send
2	401.1	20.36	5	4	5	100	100	80	1000	4061.2	0.199	1	0	5	50	send
2	382.8	23.21	5	0	5	625	625	3125	100	18947.5	0.816	1	0	5	50	send
2	315.8	19.15	5	2	5	625	625	3125	100	18947.5	0.99	1	0	5	50	send
2	394.1	23.89	5	4	5	625	625	3125	100	18947.5	0.793	1	0	5	50	send
2	379.3	26.35	5	0	5	1000	1000	8000	50	27788	1.05	1	0	5	50	send
2	318.9	22.15	5	2	5	1000	1000	8000	50	27788	1.25	1	0	5	50	send
2	408.6	28.38	5	4	5	1000	1000	8000	50	27788	0.979	1	0	5	50	send
3	114.8	5.789	5	0	5	25	25	5	5000	1260.6	0.218	1	0	5	50	send
3	112.6	5.68	5	2	5	25	25	5	5000	1260.6	0.222	1	0	5	50	send
3	86.58	4.366	5	4	5	25	25	5	5000	1260.6	0.289	1	0	5	50	send
3	274.1	13.92	5	0	5	100	100	80	1000	4061.2	0.292	1	0	5	50	send
3	323	16.4	5	2	5	100	100	80	1000	4061.2	0.248	1	0	5	50	send
3	479.4	24.33	5	4	5	100	100	80	1000	4061.2	0.167	1	0	5	50	send
3	382.7	23.2	5	0	5	625	625	3125	100	18947.5	0.817	1	0	5	50	send
3	442.5	26.83	5	2	5	625	625	3125	100	18947.5	0.706	1	0	5	50	send
3	543.5	32.95	5	4	5	625	625	3125	100	18947.5	0.575	1	0	5	50	send
3	379.5	26.36	5	0	5	1000	1000	8000	50	27788	1.05	1	0	5	50	send
3	449.1	31.2	5	2	5	1000	1000	8000	50	27788	0.891	1	0	5	50	send
3	478.3	33.22	5	4	5	1000	1000	8000	50	27788	0.836	1	0	5	50	send
0	67.59	67.59	5	0	5	25	25	5	5000	25000	0.37	1	0	5	50	send
0	73.41	73.41	5	2	5	25	25	5	5000	25000	0.341	1	0	5	50	send
0	78.69	78.69	5	4	5	25	25	5	5000	25000	0.318	1	0	5	50	send
0	167.2	167.2	5	0	5	100	100	80	1000	80000	0.479	1	0	5	50	send
0	184.6	184.6	5	2	5	100	100	80	1000	80000	0.433	1	0	5	50	send
0	319.6	319.6	5	4	5	100	100	80	1000	80000	0.25	1	0	5	50	send
0	77.43	77.43	5	0	5	625	625	3125	100	312500	4.04	1	0	5	50	send
0	97.43	97.43	5	2	5	625	625	3125	100	312500	3.21	1	0	5	50	send
0	142.2	142.2	5	4	5	625	625	3125	100	312500	2.2	1	0	5	50	send
0	74.64	74.64	5	0	5	1000	1000	8000	50	400000	5.36	1	0	5	50	send
0	104.4	104.4	5	2	5	1000	1000	8000	50	400000	3.83	1	0	5	50	send
0	146.7	146.7	5	4	5	1000	1000	8000	50	400000	2.73	1	0	5	50	send
2	114.8	5.787	5	0	5	25	25	5	5000	1260.6	0.218	1	0	5	50	send
2	84.04	4.237	5	2	5	25	25	5	5000	1260.6	0.297	1	0	5	50	send
2	91.69	4.623	5	4	5	25	25	5	5000	1260.6	0.273	1	0	5	50	send
2	362.7	18.41	5	0	5	100	100	80	1000	4061.2	0.221	1	0	5	50	send
2	418.6	21.25	5	2	5	100	100	80	1000	4061.2	0.191	1	0	5	50	send
2	336.6	17.09	5	4	5	100	100	80	1000	4061.2	0.238	1	0	5	50	send
2	382.7	23.21	5	0	5	625	625	3125	100	18947.5	0.816	1	0	5	50	send
2	311	18.85	5	2	5	625	625	3125	100	18947.5	1	1	0	5	50	send
2	387.3	23.48	5	4	5	625	625	3125	100	18947.5	0.807	1	0	5	50	send
2	379.2	26.34	5	0	5	1000	1000	8000	50	27788	1.05	1	0	5	50	send
2	298.8	20.76	5	2	5	1000	1000	8000	50	27788	1.34	1	0	5	50	send
2	415.5	28.87	5	4	5	1000	1000	8000	50	27788	0.963	1	0	5	50	send
3	114.5	5.775	5	0	5	25	25	5	5000	1260.6	0.218	1	0	5	50	send
3	74.13	3.738	5	2	5	25	25	5	5000	1260.6	0.337	1	0	5	50	send
3	88.96	4.486	5	4	5	25	25	5	5000	1260.6	0.281	1	0	5	50	send
3	257	13.04	5	0	5	100	100	80	1000	4061.2	0.311	1	0	5	50	send
3	353.4	17.94	5	2	5	100	100	80	1000	4061.2	0.226	1	0	5	50	send
3	464.9	23.6	5	4	5	100	100	80	1000	4061.2	0.172	1	0	5	50	send
3	382.6	23.2	5	0	5	625	625	3125	100	18947.5	0.817	1	0	5	50	send
3	433.4	26.28	5	2	5	625	625	3125	100	18947.5	0.721	1	0	5	50	send
3	542.3	32.88	5	4	5	625	625	3125	100	18947.5	0.576	1	0	5	50	send
3	379.7	26.38	5	0	5	1000	1000	8000	50	27788	1.05	1	0	5	50	send
3	454.3	31.56	5	2	5	1000	1000	8000	50	27788	0.881	1	0	5	50	send
3	543.9	37.78	5	4	5	1000	1000	8000	50	27788	0.735	1	0	5	50	send
0	69.16	69.16	5	0	5	25	25	5	5000	25000	0.361	1	0	5	50	send
0	65.5	65.5	5	2	5	25	25	5	5000	25000	0.382	1	0	5	50	send
0	72.67	72.67	5	4	5	25	25	5	5000	25000	0.344	1	0	5	50	send
0	181.9	181.9	5	0	5	100	100	80	1000	80000	0.44	1	0	5	50	send
0	186.1	186.1	5	2	5	100	100	80	1000	80000	0.43	1	0	5	50	send
0	329.7	329.7	5	4	5	100	100	80	1000	80000	0.243	1	0	5	50	send
0	77.22	77.22	5	0	5	625	625	3125	100	312500	4.05	1	0	5	50	send
0	106.9	106.9	5	2	5	625	625	3125	100	312500	2.92	1	0	5	50	send
0	134.9	134.9	5	4	5	625	625	3125	100	312500	2.32	1	0	5	50	send
0	74.51	74.51	5	0	5	1000	1000	8000	50	400000	5.37	1	0	5	50	send
0	95.7	95.7	5	2	5	1000	1000	8000	50	400000	4.18	1	0	5	50	send
0	145.5	145.5	5	4	5	1000	1000	8000	50	400000	2.75	1	0	5	50	send
2	114.7	5.781	5	0	5	25	25	5	5000	1260.6	0.218	1	0	5	50	send
