algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	81.66	81.66	5	0	5	25	25	5	5000	25000	0.306	0	0	0	0	recv
0	80.63	80.63	5	1	5	25	25	5	5000	25000	0.31	0	0	0	0	recv
0	75.24	75.24	5	2	5	25	25	5	5000	25000	0.332	0	0	0	0	recv
0	84.98	84.98	5	4	5	25	25	5	5000	25000	0.294	0	0	0	0	recv
0	228.4	228.4	5	0	5	100	100	80	1000	80000	0.35	0	0	0	0	recv
0	257.3	257.3	5	1	5	100	100	80	1000	80000	0.311	0	0	0	0	recv
0	317.9	317.9	5	2	5	100	100	80	1000	80000	0.252	0	0	0	0	recv
0	657.4	657.4	5	4	5	100	100	80	1000	80000	0.122	0	0	0	0	recv
0	235.6	235.6	5	0	5	625	625	3125	100	312500	1.33	0	0	0	0	recv
0	235.1	235.1	5	1	5	625	625	3125	100	312500	1.33	0	0	0	0	recv
0	295.3	295.3	5	2	5	625	625	3125	100	312500	1.06	0	0	0	0	recv
0	293.6	293.6	5	4	5	625	625	3125	100	312500	1.06	0	0	0	0	recv
0	250.5	250.5	5	0	5	1000	1000	8000	50	400000	1.6	0	0	0	0	recv
0	250.2	250.2	5	1	5	1000	1000	8000	50	400000	1.6	0	0	0	0	recv
0	312.1	312.1	5	2	5	1000	1000	8000	50	400000	1.28	0	0	0	0	recv
0	305.2	305.2	5	4	5	1000	1000	8000	50	400000	1.31	0	0	0	0	recv
2	123	6.201	5	0	5	25	25	5	5000	1260.6	0.203	0	0	0	0	recv
2	120.4	6.073	5	1	5	25	25	5	5000	1260.6	0.208	0	0	0	0	recv
2	135.5	6.832	5	2	5	25	25	5	5000	1260.6	0.185	0	0	0	0	recv
2	75.48	3.806	5	4	5	25	25	5	5000	1260.6	0.331	0	0	0	0	recv
2	362.7	18.41	5	0	5	100	100	80	1000	4061.2	0.221	0	0	0	0	recv
2	447	22.69	5	1	5	100	100	80	1000	4061.2	0.179	0	0	0	0	recv
2	405.3	20.57	5	2	5	100	100	80	1000	4061.2	0.197	0	0	0	0	recv
2	501.5	25.46	5	4	5	100	100	80	1000	4061.2	0.16	0	0	0	0	recv
2	607.9	36.86	5	0	5	625	625	3125	100	18947.5	0.514	0	0	0	0	recv
2	601.3	36.46	5	1	5	625	625	3125	100	18947.5	0.52	0	0	0	0	recv
2	466.2	28.27	5	2	5	625	625	3125	100	18947.5	0.67	0	0	0	0	recv
2	616.3	37.37	5	4	5	625	625	3125	100	18947.5	0.507	0	0	0	0	recv
2	525.8	36.53	5	0	5	1000	1000	8000	50	27788	0.761	0	0	0	0	recv
2	613.6	42.63	5	1	5	1000	1000	8000	50	27788	0.652	0	0	0	0	recv
2	405.7	28.19	5	2	5	1000	1000	8000	50	27788	0.986	0	0	0	0	recv
2	568.4	39.48	5	4	5	1000	1000	8000	50	27788	0.704	0	0	0	0	recv
3	123.2	6.213	5	0	5	25	25	5	5000	1260.6	0.203	0	0	0	0	recv
3	97.08	4.895	5	1	5	25	25	5	5000	1260.6	0.258	0	0	0	0	recv
3	89.1	4.493	5	2	5	25	25	5	5000	1260.6	0.281	0	0	0	0	recv
3	69.66	3.512	5	4	5	25	25	5	5000	1260.6	0.359	0	0	0	0	recv
3	454	23.05	5	0	5	100	100	80	1000	4061.2	0.176	0	0	0	0	recv
3	439.7	22.32	5	1	5	100	100	80	1000	4061.2	0.182	0	0	0	0	recv
3	506.2	25.7	5	2	5	100	100	80	1000	4061.2	0.158	0	0	0	0	recv
3	536.7	27.25	5	4	5	100	100	80	1000	4061.2	0.149	0	0	0	0	recv
3	608.5	36.9	5	0	5	625	625	3125	100	18947.5	0.514	0	0	0	0	recv
3	429.8	26.06	5	1	5	625	625	3125	100	18947.5	0.727	0	0	0	0	recv
3	610	36.98	5	2	5	625	625	3125	100	18947.5	0.512	0	0	0	0	recv
3	912.5	55.33	5	4	5	625	625	3125	100	18947.5	0.342	0	0	0	0	recv
3	526.1	36.55	5	0	5	1000	1000	8000	50	27788	0.76	0	0	0	0	recv
3	433.3	30.1	5	1	5	1000	1000	8000	50	27788	0.923	0	0	0	0	recv
3	619.2	43.02	5	2	5	1000	1000	8000	50	27788	0.646	0	0	0	0	recv
3	943.3	65.53	5	4	5	1000	1000	8000	50	27788	0.424	0	0	0	0	recv
0	72.13	72.13	5	0	5	25	25	5	5000	25000	0.347	0	0	5	50	recv
0	86.7	86.7	5	1	5	25	25	5	5000	25000	0.288	0	0	5	50	recv
0	80.51	80.51	5	2	5	25	25	5	5000	25000	0.311	0	0	5	50	recv
0	81.46	81.46	5	4	5	25	25	5	5000	25000	0.307	0	0	5	50	recv
0	222.4	222.4	5	0	5	100	100	80	1000	80000	0.36	0	0	5	50	recv
0	223.2	223.2	5	1	5	100	100	80	1000	80000	0.358	0	0	5	50	recv
0	283.7	283.7	5	2	5	100	100	80	1000	80000	0.282	0	0	5	50	recv
0	281.6	281.6	5	4	5	100	100	80	1000	80000	0.284	0	0	5	50	recv
0	171.6	171.6	5	0	5	625	625	3125	100	312500	1.82	0	0	5	50	recv
0	171.1	171.1	5	1	5	625	625	3125	100	312500	1.83	0	0	5	50	recv
0	212.1	212.1	5	2	5	625	625	3125	100	312500	1.47	0	0	5	50	recv
0	210.9	210.9	5	4	5	625	625	3125	100	312500	1.48	0	0	5	50	recv
0	175.2	175.2	5	0	5	1000	1000	8000	50	400000	2.28	0	0	5	50	recv
0	174.6	174.6	5	1	5	1000	1000	8000	50	400000	2.29	0	0	5	50	recv
