algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	67.98	67.98	5	0	5	25	25	5	5000	25000	0.368	0	0	0	0	recv
0	71.08	71.08	5	1	5	25	25	5	5000	25000	0.352	0	0	0	0	recv
0	74.6	74.6	5	2	5	25	25	5	5000	25000	0.335	0	0	0	0	recv
0	101.3	101.3	5	4	5	25	25	5	5000	25000	0.247	0	0	0	0	recv
0	229.5	229.5	5	0	5	100	100	80	1000	80000	0.349	0	0	0	0	recv
0	230.1	230.1	5	1	5	100	100	80	1000	80000	0.348	0	0	0	0	recv
0	269.1	269.1	5	2	5	100	100	80	1000	80000	0.297	0	0	0	0	recv
0	358.8	358.8	5	4	5	100	100	80	1000	80000	0.223	0	0	0	0	recv
0	141.9	141.9	5	0	5	625	625	3125	100	312500	2.2	0	0	0	0	recv
0	141.7	141.7	5	1	5	625	625	3125	100	312500	2.21	0	0	0	0	recv
0	161.9	161.9	5	2	5	625	625	3125	100	312500	1.93	0	0	0	0	recv
0	164.1	164.1	5	4	5	625	625	3125	100	312500	1.9	0	0	0	0	recv
0	131.4	131.4	5	0	5	1000	1000	8000	50	400000	3.04	0	0	0	0	recv
0	148	148	5	1	5	1000	1000	8000	50	400000	2.7	0	0	0	0	recv
0	166.5	166.5	5	2	5	1000	1000	8000	50	400000	2.4	0	0	0	0	recv
0	166.5	166.5	5	4	5	1000	1000	8000	50	400000	2.4	0	0	0	0	recv
2	122.8	6.194	5	0	5	25	25	5	5000	1260.6	0.204	0	0	0	0	recv
2	100.1	5.045	5	1	5	25	25	5	5000	1260.6	0.25	0	0	0	0	recv
2	96.24	4.853	5	2	5	25	25	5	5000	1260.6	0.26	0	0	0	0	recv
2	57.43	2.896	5	4	5	25	25	5	5000	1260.6	0.435	0	0	0	0	recv
2	380.3	19.31	5	0	5	100	100	80	1000	4061.2	0.21	0	0	0	0	recv
2	448.1	22.75	5	1	5	100	100	80	1000	4061.2	0.179	0	0	0	0	recv
2	428.8	21.77	5	2	5	100	100	80	1000	4061.2	0.187	0	0	0	0	recv
2	505	25.63	5	4	5	100	100	80	1000	4061.2	0.158	0	0	0	0	recv
2	603.2	36.57	5	0	5	625	625	3125	100	18947.5	0.518	0	0	0	0	recv
2	601.4	36.46	5	1	5	625	625	3125	100	18947.5	0.52	0	0	0	0	recv
2	462.1	28.02	5	2	5	625	625	3125	100	18947.5	0.676	0	0	0	0	recv
2	612.8	37.15	5	4	5	625	625	3125	100	18947.5	0.51	0	0	0	0	recv
2	611.1	42.45	5	0	5	1000	1000	8000	50	27788	0.655	0	0	0	0	recv
2	606.7	42.15	5	1	5	1000	1000	8000	50	27788	0.659	0	0	0	0	recv
2	403.6	28.04	5	2	5	1000	1000	8000	50	27788	0.991	0	0	0	0	recv
2	510.5	35.47	5	4	5	1000	1000	8000	50	27788	0.784	0	0	0	0	recv
3	122.9	6.198	5	0	5	25	25	5	5000	1260.6	0.203	0	0	0	0	recv
3	117	5.9	5	1	5	25	25	5	5000	1260.6	0.214	0	0	0	0	recv
3	89.81	4.529	5	2	5	25	25	5	5000	1260.6	0.278	0	0	0	0	recv
3	75.45	3.804	5	4	5	25	25	5	5000	1260.6	0.331	0	0	0	0	recv
3	348.6	17.69	5	0	5	100	100	80	1000	4061.2	0.23	0	0	0	0	recv
3	437.7	22.22	5	1	5	100	100	80	1000	4061.2	0.183	0	0	0	0	recv
3	441.5	22.41	5	2	5	100	100	80	1000	4061.2	0.181	0	0	0	0	recv
3	550.2	27.93	5	4	5	100	100	80	1000	4061.2	0.145	0	0	0	0	recv
3	603.6	36.6	5	0	5	625	625	3125	100	18947.5	0.518	0	0	0	0	recv
3	436.8	26.48	5	1	5	625	625	3125	100	18947.5	0.715	0	0	0	0	recv
3	609	36.92	5	2	5	625	625	3125	100	18947.5	0.513	0	0	0	0	recv
3	895.6	54.3	5	4	5	625	625	3125	100	18947.5	0.349	0	0	0	0	recv
3	611.9	42.51	5	0	5	1000	1000	8000	50	27788	0.654	0	0	0	0	recv
3	436	30.29	5	1	5	1000	1000	8000	50	27788	0.918	0	0	0	0	recv
3	615.3	42.74	5	2	5	1000	1000	8000	50	27788	0.65	0	0	0	0	recv
3	931.1	64.68	5	4	5	1000	1000	8000	50	27788	0.43	0	0	0	0	recv
0	70.3	70.3	5	0	5	25	25	5	5000	25000	0.356	0	0	5	50	recv
0	84.39	84.39	5	1	5	25	25	5	5000	25000	0.296	0	0	5	50	recv
0	75.02	75.02	5	2	5	25	25	5	5000	25000	0.333	0	0	5	50	recv
0	79.71	79.71	5	4	5	25	25	5	5000	25000	0.314	0	0	5	50	recv
0	145.5	145.5	5	0	5	100	100	80	1000	80000	0.55	0	0	5	50	recv
0	169.6	169.6	5	1	5	100	100	80	1000	80000	0.472	0	0	5	50	recv
0	260.7	260.7	5	2	5	100	100	80	1000	80000	0.307	0	0	5	50	recv
0	433	433	5	4	5	100	100	80	1000	80000	0.185	0	0	5	50	recv
0	98.96	98.96	5	0	5	625	625	3125	100	312500	3.16	0	0	5	50	recv
0	113.8	113.8	5	1	5	625	625	3125	100	312500	2.75	0	0	5	50	recv
0	132.6	132.6	5	2	5	625	625	3125	100	312500	2.36	0	0	5	50	recv
0	134.4	134.4	5	4	5	625	625	3125	100	312500	2.32	0	0	5	50	recv
0	116.7	116.7	5	0	5	1000	1000	8000	50	400000	3.43	0	0	5	50	recv
0	116.5	116.5	5	1	5	1000	1000	8000	50	400000	3.43	0	0	5	50	recv
0	134.8	134.8	5	2	5	1000	1000	8000	50	400000	2.97	0	0	5	50	recv
0	135.7	135.7	5	4	5	1000	1000	8000	50	400000	2.95	0	0	5	50	recv
2	104.2	5.255	5	0	5	25	25	5	5000	1260.6	0.24	0	0	5	50	recv
2	80.68	4.068	5	1	5	25	25	5	5000	1260.6	0.31	0	0	5	50	recv
2	92.18	4.648	5	2	5	25	25	5	5000	1260.6	0.271	0	0	5	50	recv
2	90.6	4.569	5	4	5	25	25	5	5000	1260.6	0.276	0	0	5	50	recv
2	301.1	15.28	5	0	5	100	100	80	1000	4061.2	0.266	0	0	5	50	recv
2	271.7	13.79	5	1	5	100	100	80	1000	4061.2	0.294	0	0	5	50	recv
2	287.8	14.61	5	2	5	100	100	80	1000	4061.2	0.278	0	0	5	50	recv
2	448.3	22.76	5	4	5	100	100	80	1000	4061.2	0.178	0	0	5	50	recv
2	254.2	15.41	5	0	5	625	625	3125	100	18947.5	1.23	0	0	5	50	recv
2	298.9	18.12	5	1	5	625	625	3125	100	18947.5	1.05	0	0	5	50	recv
2	289.6	17.56	5	2	5	625	625	3125	100	18947.5	1.08	0	0	5	50	recv
2	328.2	19.9	5	4	5	625	625	3125	100	18947.5	0.952	0	0	5	50	recv
2	251.6	17.48	5	0	5	1000	1000	8000	50	27788	1.59	0	0	5	50	recv
2	296.2	20.58	5	1	5	1000	1000	8000	50	27788	1.35	0	0	5	50	recv
2	248.4	17.25	5	2	5	1000	1000	8000	50	27788	1.61	0	0	5	50	recv
2	331.4	23.02	5	4	5	1000	1000	8000	50	27788	1.21	0	0	5	50	recv
3	113.3	5.712	5	0	5	25	25	5	5000	1260.6	0.221	0	0	5	50	recv
3	108.2	5.454	5	1	5	25	25	5	5000	1260.6	0.231	0	0	5	50	recv
3	107.4	5.414	5	2	5	25	25	5	5000	1260.6	0.233	0	0	5	50	recv
3	67.55	3.406	5	4	5	25	25	5	5000	1260.6	0.37	0	0	5	50	recv
3	283.5	14.39	5	0	5	100	100	80	1000	4061.2	0.282	0	0	5	50	recv
3	268.7	13.64	5	1	5	100	100	80	1000	4061.2	0.298	0	0	5	50	recv
3	306.1	15.54	5	2	5	100	100	80	1000	4061.2	0.261	0	0	5	50	recv
3	399.3	20.27	5	4	5	100	100	80	1000	4061.2	0.2	0	0	5	50	recv
3	299.8	18.18	5	0	5	625	625	3125	100	18947.5	1.04	0	0	5	50	recv
3	252.4	15.3	5	1	5	625	625	3125	100	18947.5	1.24	0	0	5	50	recv
3	332.6	20.17	5	2	5	625	625	3125	100	18947.5	0.94	0	0	5	50	recv
3	418.9	25.4	5	4	5	625	625	3125	100	18947.5	0.746	0	0	5	50	recv
3	250.7	17.42	5	0	5	1000	1000	8000	50	27788	1.6	0	0	5	50	recv
3	248.4	17.25	5	1	5	1000	1000	8000	50	27788	1.61	0	0	5	50	recv
3	335.7	23.32	5	2	5	1000	1000	8000	50	27788	1.19	0	0	5	50	recv
3	416.1	28.9	5	4	5	1000	1000	8000	50	27788	0.961	0	0	5	50	recv
