algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	75.21	75.21	5	0	5	25	25	5	5000	25000	0.332	0	0	0	0	send
0	76.12	76.12	5	1	5	25	25	5	5000	25000	0.328	0	0	0	0	send
0	74.49	74.49	5	2	5	25	25	5	5000	25000	0.336	0	0	0	0	send
0	112.1	112.1	5	4	5	25	25	5	5000	25000	0.223	0	0	0	0	send
0	178.5	178.5	5	0	5	100	100	80	1000	80000	0.448	0	0	0	0	send
0	181.4	181.4	5	1	5	100	100	80	1000	80000	0.441	0	0	0	0	send
0	269.4	269.4	5	2	5	100	100	80	1000	80000	0.297	0	0	0	0	send
0	580.7	580.7	5	4	5	100	100	80	1000	80000	0.138	0	0	0	0	send
0	89.59	89.59	5	0	5	625	625	3125	100	312500	3.49	0	0	0	0	send
0	89.51	89.51	5	1	5	625	625	3125	100	312500	3.49	0	0	0	0	send
0	130.2	130.2	5	2	5	625	625	3125	100	312500	2.4	0	0	0	0	send
0	170.4	170.4	5	4	5	625	625	3125	100	312500	1.83	0	0	0	0	send
0	88.44	88.44	5	0	5	1000	1000	8000	50	400000	4.52	0	0	0	0	send
0	88.37	88.37	5	1	5	1000	1000	8000	50	400000	4.53	0	0	0	0	send
0	115.7	115.7	5	2	5	1000	1000	8000	50	400000	3.46	0	0	0	0	send
0	186	186	5	4	5	1000	1000	8000	50	400000	2.15	0	0	0	0	send
2	116.3	5.863	5	0	5	25	25	5	5000	1260.6	0.215	0	0	0	0	send
2	81.03	4.086	5	1	5	25	25	5	5000	1260.6	0.309	0	0	0	0	send
2	86.97	4.385	5	2	5	25	25	5	5000	1260.6	0.287	0	0	0	0	send
2	90.76	4.576	5	4	5	25	25	5	5000	1260.6	0.275	0	0	0	0	send
2	366.2	18.59	5	0	5	100	100	80	1000	4061.2	0.218	0	0	0	0	send
2	470.7	23.9	5	1	5	100	100	80	1000	4061.2	0.17	0	0	0	0	send
2	495.7	25.17	5	2	5	100	100	80	1000	4061.2	0.161	0	0	0	0	send
2	406.4	20.63	5	4	5	100	100	80	1000	4061.2	0.197	0	0	0	0	send
2	1588	96.27	5	0	5	625	625	3125	100	18947.5	0.197	0	0	0	0	send
2	1566	94.93	5	1	5	625	625	3125	100	18947.5	0.2	0	0	0	0	send
2	709	42.99	5	2	5	625	625	3125	100	18947.5	0.441	0	0	0	0	send
2	930.7	56.43	5	4	5	625	625	3125	100	18947.5	0.336	0	0	0	0	send
2	1824	126.7	5	0	5	1000	1000	8000	50	27788	0.219	0	0	0	0	send
2	1800	125	5	1	5	1000	1000	8000	50	27788	0.222	0	0	0	0	send
2	663	46.06	5	2	5	1000	1000	8000	50	27788	0.603	0	0	0	0	send
