algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	75.51	75.51	5	0	5	25	25	5	5000	25000	0.331	0	0	0	0	send
0	75.74	75.74	5	1	5	25	25	5	5000	25000	0.33	0	0	0	0	send
0	75.32	75.32	5	2	5	25	25	5	5000	25000	0.332	0	0	0	0	send
0	71.1	71.1	5	4	5	25	25	5	5000	25000	0.352	0	0	0	0	send
0	210	210	5	0	5	100	100	80	1000	80000	0.381	0	0	0	0	send
0	194.5	194.5	5	1	5	100	100	80	1000	80000	0.411	0	0	0	0	send
0	257.3	257.3	5	2	5	100	100	80	1000	80000	0.311	0	0	0	0	send
0	275.1	275.1	5	4	5	100	100	80	1000	80000	0.291	0	0	0	0	send
0	90.31	90.31	5	0	5	625	625	3125	100	312500	3.46	0	0	0	0	send
0	90.35	90.35	5	1	5	625	625	3125	100	312500	3.46	0	0	0	0	send
0	130.1	130.1	5	2	5	625	625	3125	100	312500	2.4	0	0	0	0	send
0	167.9	167.9	5	4	5	625	625	3125	100	312500	1.86	0	0	0	0	send
0	88	88	5	0	5	1000	1000	8000	50	400000	4.55	0	0	0	0	send
0	87.98	87.98	5	1	5	1000	1000	8000	50	400000	4.55	0	0	0	0	send
0	128.9	128.9	5	2	5	1000	1000	8000	50	400000	3.1	0	0	0	0	send
0	189.1	189.1	5	4	5	1000	1000	8000	50	400000	2.12	0	0	0	0	send
2	124.4	6.272	5	0	5	25	25	5	5000	1260.6	0.201	0	0	0	0	send
2	99.37	5.011	5	1	5	25	25	5	5000	1260.6	0.252	0	0	0	0	send
2	98.93	4.989	5	2	5	25	25	5	5000	1260.6	0.253	0	0	0	0	send
2	105.9	5.341	5	4	5	25	25	5	5000	1260.6	0.236	0	0	0	0	send
2	474.1	24.07	5	0	5	100	100	80	1000	4061.2	0.169	0	0	0	0	send
2	465.9	23.65	5	1	5	100	100	80	1000	4061.2	0.172	0	0	0	0	send
2	570.9	28.98	5	2	5	100	100	80	1000	4061.2	0.14	0	0	0	0	send
2	566.7	28.77	5	4	5	100	100	80	1000	4061.2	0.141	0	0	0	0	send
2	1486	90.08	5	0	5	625	625	3125	100	18947.5	0.21	0	0	0	0	send
2	1464	88.76	5	1	5	625	625	3125	100	18947.5	0.213	0	0	0	0	send
2	730.2	44.27	5	2	5	625	625	3125	100	18947.5	0.428	0	0	0	0	send
2	867.6	52.6	5	4	5	625	625	3125	100	18947.5	0.36	0	0	0	0	send
2	1691	117.5	5	0	5	1000	1000	8000	50	27788	0.237	0	0	0	0	send
2	1669	115.9	5	1	5	1000	1000	8000	50	27788	0.24	0	0	0	0	send
2	655.6	45.55	5	2	5	1000	1000	8000	50	27788	0.61	0	0	0	0	send
2	807.6	56.11	5	4	5	1000	1000	8000	50	27788	0.495	0	0	0	0	send
3	124.3	6.27	5	0	5	25	25	5	5000	1260.6	0.201	0	0	0	0	send
3	118.6	5.98	5	1	5	25	25	5	5000	1260.6	0.211	0	0	0	0	send
3	111.1	5.602	5	2	5	25	25	5	5000	1260.6	0.225	0	0	0	0	send
3	105.2	5.305	5	4	5	25	25	5	5000	1260.6	0.238	0	0	0	0	send
3	409.4	20.78	5	0	5	100	100	80	1000	4061.2	0.195	0	0	0	0	send
3	319	16.19	5	1	5	100	100	80	1000	4061.2	0.251	0	0	0	0	send
3	640.9	32.53	5	2	5	100	100	80	1000	4061.2	0.125	0	0	0	0	send
3	856	43.45	5	4	5	100	100	80	1000	4061.2	0.0935	0	0	0	0	send
3	1479	89.7	5	0	5	625	625	3125	100	18947.5	0.211	0	0	0	0	send
3	1535	93.09	5	1	5	625	625	3125	100	18947.5	0.204	0	0	0	0	send
3	2297	139.2	5	2	5	625	625	3125	100	18947.5	0.136	0	0	0	0	send
3	2931	177.7	5	4	5	625	625	3125	100	18947.5	0.107	0	0	0	0	send
3	1688	117.3	5	0	5	1000	1000	8000	50	27788	0.237	0	0	0	0	send
3	1754	121.9	5	1	5	1000	1000	8000	50	27788	0.228	0	0	0	0	send
