algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	70.57	70.57	5	0	5	25	25	5	4970	24850	0.352	0	5	71	recv	0
0	91.03	91.03	5	1	5	25	25	5	4970	24850	0.273	0	5	71	recv	0
0	74.1	74.1	5	2	5	25	25	5	4970	24850	0.335	0	5	71	recv	0
0	90.81	90.81	5	4	5	25	25	5	4970	24850	0.274	0	5	71	recv	0
0	168.9	168.9	5	0	5	100	100	80	1065	85200	0.504	0	5	71	recv	0
0	156.7	156.7	5	1	5	100	100	80	1065	85200	0.544	0	5	71	recv	0
0	214.2	214.2	5	2	5	100	100	80	1065	85200	0.398	0	5	71	recv	0
0	339.1	339.1	5	4	5	100	100	80	1065	85200	0.251	0	5	71	recv	0
0	148.2	148.2	5	0	5	625	625	3125	142	443750	3	0	5	71	recv	0
0	148.2	148.2	5	1	5	625	625	3125	142	443750	2.99	0	5	71	recv	0
0	227.3	227.3	5	2	5	625	625	3125	142	443750	1.95	0	5	71	recv	0
0	228.7	228.7	5	4	5	625	625	3125	142	443750	1.94	0	5	71	recv	0
0	195.7	195.7	5	0	5	1000	1000	8000	71	568000	2.9	0	5	71	recv	0
0	195.7	195.7	5	1	5	1000	1000	8000	71	568000	2.9	0	5	71	recv	0
0	242.7	242.7	5	2	5	1000	1000	8000	71	568000	2.34	0	5	71	recv	0
0	236.7	236.7	5	4	5	1000	1000	8000	71	568000	2.4	0	5	71	recv	0
2	117.8	5.943	5	0	5	25	25	5	4970	1253.45	0.211	0	5	71	recv	0
2	115.7	5.838	5	1	5	25	25	5	4970	1253.45	0.215	0	5	71	recv	0
2	98.55	4.971	5	2	5	25	25	5	4970	1253.45	0.252	0	5	71	recv	0
2	87.6	4.419	5	4	5	25	25	5	4970	1253.45	0.284	0	5	71	recv	0
2	386.6	19.63	5	0	5	100	100	80	1065	4326	0.22	0	5	71	recv	0
2	382.9	19.44	5	1	5	100	100	80	1065	4326	0.223	0	5	71	recv	0
2	309.8	15.73	5	2	5	100	100	80	1065	4326	0.275	0	5	71	recv	0
2	389.7	19.79	5	4	5	100	100	80	1065	4326	0.219	0	5	71	recv	0
2	382.6	22.13	5	0	5	625	625	3125	142	25666.2	1.16	0	5	71	recv	0
2	381.1	22.04	5	1	5	625	625	3125	142	25666.2	1.16	0	5	71	recv	0
2	311.6	18.02	5	2	5	625	625	3125	142	25666.2	1.42	0	5	71	recv	0
2	360.1	20.83	5	4	5	625	625	3125	142	25666.2	1.23	0	5	71	recv	0
2	386.6	24.61	5	0	5	1000	1000	8000	71	36154	1.47	0	5	71	recv	0
2	386.2	24.58	5	1	5	1000	1000	8000	71	36154	1.47	0	5	71	recv	0
2	297.8	18.95	5	2	5	1000	1000	8000	71	36154	1.91	0	5	71	recv	0
2	354.2	22.55	5	4	5	1000	1000	8000	71	36154	1.6	0	5	71	recv	0
3	117.6	5.932	5	0	5	25	25	5	4970	1253.45	0.211	0	5	71	recv	0
3	113.1	5.703	5	1	5	25	25	5	4970	1253.45	0.22	0	5	71	recv	0
3	95.44	4.814	5	2	5	25	25	5	4970	1253.45	0.26	0	5	71	recv	0
3	88.4	4.459	5	4	5	25	25	5	4970	1253.45	0.281	0	5	71	recv	0
3	302.3	15.35	5	0	5	100	100	80	1065	4326	0.282	0	5	71	recv	0
3	377.9	19.19	5	1	5	100	100	80	1065	4326	0.225	0	5	71	recv	0
3	343.3	17.43	5	2	5	100	100	80	1065	4326	0.248	0	5	71	recv	0
3	453.9	23.04	5	4	5	100	100	80	1065	4326	0.188	0	5	71	recv	0
3	376.6	21.78	5	0	5	625	625	3125	142	25666.2	1.18	0	5	71	recv	0
3	253.7	14.68	5	1	5	625	625	3125	142	25666.2	1.75	0	5	71	recv	0
3	391.6	22.65	5	2	5	625	625	3125	142	25666.2	1.13	0	5	71	recv	0
3	524.2	30.32	5	4	5	625	625	3125	142	25666.2	0.847	0	5	71	recv	0
3	332.4	21.16	5	0	5	1000	1000	8000	71	36154	1.71	0	5	71	recv	0
3	257.6	16.4	5	1	5	1000	1000	8000	71	36154	2.2	0	5	71	recv	0
3	401.7	25.57	5	2	5	1000	1000	8000	71	36154	1.41	0	5	71	recv	0
3	542.9	34.56	5	4	5	1000	1000	8000	71	36154	1.05	0	5	71	recv	0
0	74.51	74.51	5	0	5	25	25	5	4970	24850	0.334	0	5	71	recv	0
0	90.46	90.46	5	1	5	25	25	5	4970	24850	0.275	0	5	71	recv	0
0	77.59	77.59	5	2	5	25	25	5	4970	24850	0.32	0	5	71	recv	0
0	89.54	89.54	5	4	5	25	25	5	4970	24850	0.278	0	5	71	recv	0
0	232.8	232.8	5	0	5	100	100	80	1065	85200	0.366	0	5	71	recv	0
