algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	68.77	68.77	5	0	5	25	25	5	4970	24850	0.361	0	5	71	send	0
0	70.63	70.63	5	1	5	25	25	5	4970	24850	0.352	0	5	71	send	0
0	76.16	76.16	5	2	5	25	25	5	4970	24850	0.326	0	5	71	send	0
0	76.08	76.08	5	4	5	25	25	5	4970	24850	0.327	0	5	71	send	0
0	176.2	176.2	5	0	5	100	100	80	1065	85200	0.483	0	5	71	send	0
0	169.4	169.4	5	1	5	100	100	80	1065	85200	0.503	0	5	71	send	0
0	205	205	5	2	5	100	100	80	1065	85200	0.416	0	5	71	send	0
0	310.8	310.8	5	4	5	100	100	80	1065	85200	0.274	0	5	71	send	0
0	82.63	82.63	5	0	5	625	625	3125	142	443750	5.37	0	5	71	send	0
0	82.58	82.58	5	1	5	625	625	3125	142	443750	5.37	0	5	71	send	0
0	122.3	122.3	5	2	5	625	625	3125	142	443750	3.63	0	5	71	send	0
0	150.7	150.7	5	4	5	625	625	3125	142	443750	2.94	0	5	71	send	0
0	79.85	79.85	5	0	5	1000	1000	8000	71	568000	7.11	0	5	71	send	0
0	79.91	79.91	5	1	5	1000	1000	8000	71	568000	7.11	0	5	71	send	0
0	113.6	113.6	5	2	5	1000	1000	8000	71	568000	5	0	5	71	send	0
0	155.9	155.9	5	4	5	1000	1000	8000	71	568000	3.64	0	5	71	send	0
2	118.3	5.967	5	0	5	25	25	5	4970	1253.45	0.21	0	5	71	send	0
2	86.27	4.351	5	1	5	25	25	5	4970	1253.45	0.288	0	5	71	send	0
2	92.41	4.661	5	2	5	25	25	5	4970	1253.45	0.269	0	5	71	send	0
2	101.4	5.113	5	4	5	25	25	5	4970	1253.45	0.245	0	5	71	send	0
2	313.5	15.92	5	0	5	100	100	80	1065	4326	0.272	0	5	71	send	0
2	300.7	15.27	5	1	5	100	100	80	1065	4326	0.283	0	5	71	send	0
2	311.7	15.82	5	2	5	100	100	80	1065	4326	0.273	0	5	71	send	0
2	428.7	21.77	5	4	5	100	100	80	1065	4326	0.199	0	5	71	send	0
2	575.9	33.31	5	0	5	625	625	3125	142	25666.2	0.771	0	5	71	send	0
2	574.7	33.24	5	1	5	625	625	3125	142	25666.2	0.772	0	5	71	send	0
2	363.8	21.04	5	2	5	625	625	3125	142	25666.2	1.22	0	5	71	send	0
2	426	24.64	5	4	5	625	625	3125	142	25666.2	1.04	0	5	71	send	0
2	474.7	30.22	5	0	5	1000	1000	8000	71	36154	1.2	0	5	71	send	0
2	590.7	37.6	5	1	5	1000	1000	8000	71	36154	0.962	0	5	71	send	0
2	353.5	22.5	5	2	5	1000	1000	8000	71	36154	1.61	0	5	71	send	0
2	407	25.91	5	4	5	1000	1000	8000	71	36154	1.4	0	5	71	send	0
3	118.7	5.986	5	0	5	25	25	5	4970	1253.45	0.209	0	5	71	send	0
3	92.69	4.675	5	1	5	25	25	5	4970	1253.45	0.268	0	5	71	send	0
3	97.83	4.935	5	2	5	25	25	5	4970	1253.45	0.254	0	5	71	send	0
3	97.08	4.897	5	4	5	25	25	5	4970	1253.45	0.256	0	5	71	send	0
3	343	17.42	5	0	5	100	100	80	1065	4326	0.248	0	5	71	send	0
3	307.6	15.62	5	1	5	100	100	80	1065	4326	0.277	0	5	71	send	0
3	386.4	19.62	5	2	5	100	100	80	1065	4326	0.22	0	5	71	send	0
3	561.6	28.52	5	4	5	100	100	80	1065	4326	0.152	0	5	71	send	0
3	575.8	33.3	5	0	5	625	625	3125	142	25666.2	0.771	0	5	71	send	0
3	570.2	32.98	5	1	5	625	625	3125	142	25666.2	0.778	0	5	71	send	0
3	650.1	37.6	5	2	5	625	625	3125	142	25666.2	0.683	0	5	71	send	0
3	733.6	42.43	5	4	5	625	625	3125	142	25666.2	0.605	0	5	71	send	0
3	591.8	37.67	5	0	5	1000	1000	8000	71	36154	0.96	0	5	71	send	0
3	587.1	37.37	5	1	5	1000	1000	8000	71	36154	0.967	0	5	71	send	0
3	677	43.09	5	2	5	1000	1000	8000	71	36154	0.839	0	5	71	send	0
3	757.9	48.24	5	4	5	1000	1000	8000	71	36154	0.749	0	5	71	send	0
0	69.85	69.85	5	0	5	25	25	5	4970	24850	0.356	0	5	71	send	0
0	87.41	87.41	5	1	5	25	25	5	4970	24850	0.284	0	5	71	send	0
0	80.47	80.47	5	2	5	25	25	5	4970	24850	0.309	0	5	71	send	0
0	87.19	87.19	5	4	5	25	25	5	4970	24850	0.285	0	5	71	send	0
0	166.6	166.6	5	0	5	100	100	80	1065	85200	0.511	0	5	71	send	0
0	152.4	152.4	5	1	5	100	100	80	1065	85200	0.559	0	5	71	send	0
0	198.2	198.2	5	2	5	100	100	80	1065	85200	0.43	0	5	71	send	0
0	289.3	289.3	5	4	5	100	100	80	1065	85200	0.295	0	5	71	send	0
0	68.08	68.08	5	0	5	625	625	3125	142	443750	6.52	0	5	71	send	0
0	68.06	68.06	5	1	5	625	625	3125	142	443750	6.52	0	5	71	send	0
0	116	116	5	2	5	625	625	3125	142	443750	3.82	0	5	71	send	0
0	152	152	5	4	5	625	625	3125	142	443750	2.92	0	5	71	send	0
0	65.06	65.06	5	0	5	1000	1000	8000	71	568000	8.73	0	5	71	send	0
0	79.67	79.67	5	1	5	1000	1000	8000	71	568000	7.13	0	5	71	send	0
0	120	120	5	2	5	1000	1000	8000	71	568000	4.73	0	5	71	send	0
0	155.9	155.9	5	4	5	1000	1000	8000	71	568000	3.64	0	5	71	send	0
