algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	68.94	68.94	5	0	5	25	25	5	4970	24850	0.36	0	5	71	send	1
0	72.18	72.18	5	1	5	25	25	5	4970	24850	0.344	0	5	71	send	1
0	75.81	75.81	5	2	5	25	25	5	4970	24850	0.328	0	5	71	send	1
0	67.97	67.97	5	4	5	25	25	5	4970	24850	0.366	0	5	71	send	1
0	162.6	162.6	5	0	5	100	100	80	1065	85200	0.524	0	5	71	send	1
0	185.2	185.2	5	1	5	100	100	80	1065	85200	0.46	0	5	71	send	1
0	197.9	197.9	5	2	5	100	100	80	1065	85200	0.43	0	5	71	send	1
0	293.5	293.5	5	4	5	100	100	80	1065	85200	0.29	0	5	71	send	1
0	81.92	81.92	5	0	5	625	625	3125	142	443750	5.42	0	5	71	send	1
0	81.93	81.93	5	1	5	625	625	3125	142	443750	5.42	0	5	71	send	1
0	118.6	118.6	5	2	5	625	625	3125	142	443750	3.74	0	5	71	send	1
0	149.7	149.7	5	4	5	625	625	3125	142	443750	2.96	0	5	71	send	1
0	64.4	64.4	5	0	5	1000	1000	8000	71	568000	8.82	0	5	71	send	1
0	79.06	79.06	5	1	5	1000	1000	8000	71	568000	7.18	0	5	71	send	1
0	117.2	117.2	5	2	5	1000	1000	8000	71	568000	4.84	0	5	71	send	1
0	154.7	154.7	5	4	5	1000	1000	8000	71	568000	3.67	0	5	71	send	1
2	118.3	5.965	5	0	5	25	25	5	4970	1253.45	0.21	0	5	71	send	1
2	116.2	5.86	5	1	5	25	25	5	4970	1253.45	0.214	0	5	71	send	1
2	111.7	5.636	5	2	5	25	25	5	4970	1253.45	0.222	0	5	71	send	1
2	94.32	4.757	5	4	5	25	25	5	4970	1253.45	0.263	0	5	71	send	1
2	341.3	17.33	5	0	5	100	100	80	1065	4326	0.25	0	5	71	send	1
2	299.3	15.19	5	1	5	100	100	80	1065	4326	0.285	0	5	71	send	1
2	345.4	17.54	5	2	5	100	100	80	1065	4326	0.247	0	5	71	send	1
2	429.2	21.79	5	4	5	100	100	80	1065	4326	0.199	0	5	71	send	1
2	544.8	31.51	5	0	5	625	625	3125	142	25666.2	0.814	0	5	71	send	1
2	426.7	24.68	5	1	5	625	625	3125	142	25666.2	1.04	0	5	71	send	1
2	320.2	18.52	5	2	5	625	625	3125	142	25666.2	1.39	0	5	71	send	1
2	409.5	23.68	5	4	5	625	625	3125	142	25666.2	1.08	0	5	71	send	1
2	441.7	28.11	5	0	5	1000	1000	8000	71	36154	1.29	0	5	71	send	1
2	559.9	35.64	5	1	5	1000	1000	8000	71	36154	1.01	0	5	71	send	1
2	321.5	20.47	5	2	5	1000	1000	8000	71	36154	1.77	0	5	71	send	1
2	399.6	25.43	5	4	5	1000	1000	8000	71	36154	1.42	0	5	71	send	1
3	118	5.95	5	0	5	25	25	5	4970	1253.45	0.211	0	5	71	send	1
3	113.6	5.731	5	1	5	25	25	5	4970	1253.45	0.219	0	5	71	send	1
3	109.8	5.54	5	2	5	25	25	5	4970	1253.45	0.226	0	5	71	send	1
3	87.73	4.425	5	4	5	25	25	5	4970	1253.45	0.283	0	5	71	send	1
3	296.6	15.06	5	0	5	100	100	80	1065	4326	0.287	0	5	71	send	1
3	286.2	14.53	5	1	5	100	100	80	1065	4326	0.298	0	5	71	send	1
3	391.2	19.86	5	2	5	100	100	80	1065	4326	0.218	0	5	71	send	1
3	408.3	20.73	5	4	5	100	100	80	1065	4326	0.209	0	5	71	send	1
3	428.1	24.76	5	0	5	625	625	3125	142	25666.2	1.04	0	5	71	send	1
3	542.9	31.4	5	1	5	625	625	3125	142	25666.2	0.817	0	5	71	send	1
3	580.2	33.56	5	2	5	625	625	3125	142	25666.2	0.765	0	5	71	send	1
3	701	40.54	5	4	5	625	625	3125	142	25666.2	0.633	0	5	71	send	1
3	442.1	28.14	5	0	5	1000	1000	8000	71	36154	1.28	0	5	71	send	1
3	559.5	35.61	5	1	5	1000	1000	8000	71	36154	1.02	0	5	71	send	1
3	601.7	38.3	5	2	5	1000	1000	8000	71	36154	0.944	0	5	71	send	1
3	716.8	45.62	5	4	5	1000	1000	8000	71	36154	0.792	0	5	71	send	1
0	67.14	67.14	5	0	5	25	25	5	4970	24850	0.37	0	5	71	send	1
0	87.63	87.63	5	1	5	25	25	5	4970	24850	0.284	0	5	71	send	1
0	72.65	72.65	5	2	5	25	25	5	4970	24850	0.342	0	5	71	send	1
0	91.39	91.39	5	4	5	25	25	5	4970	24850	0.272	0	5	71	send	1
0	182.6	182.6	5	0	5	100	100	80	1065	85200	0.467	0	5	71	send	1
0	159.6	159.6	5	1	5	100	100	80	1065	85200	0.534	0	5	71	send	1
0	198.1	198.1	5	2	5	100	100	80	1065	85200	0.43	0	5	71	send	1
0	297	297	5	4	5	100	100	80	1065	85200	0.287	0	5	71	send	1
0	81.65	81.65	5	0	5	625	625	3125	142	443750	5.43	0	5	71	send	1
0	81.97	81.97	5	1	5	625	625	3125	142	443750	5.41	0	5	71	send	1
0	118.4	118.4	5	2	5	625	625	3125	142	443750	3.75	0	5	71	send	1
0	150.1	150.1	5	4	5	625	625	3125	142	443750	2.96	0	5	71	send	1
0	79.11	79.11	5	0	5	1000	1000	8000	71	568000	7.18	0	5	71	send	1
0	78.2	78.2	5	1	5	1000	1000	8000	71	568000	7.26	0	5	71	send	1
0	117	117	5	2	5	1000	1000	8000	71	568000	4.85	0	5	71	send	1
0	158	158	5	4	5	1000	1000	8000	71	568000	3.59	0	5	71	send	1
2	104	5.248	5	0	5	25	25	5	4970	1253.45	0.239	0	5	71	send	1
2	77.51	3.909	5	1	5	25	25	5	4970	1253.45	0.321	0	5	71	send	1
2	88.97	4.488	5	2	5	25	25	5	4970	1253.45	0.279	0	5	71	send	1
2	74.83	3.774	5	4	5	25	25	5	4970	1253.45	0.332	0	5	71	send	1
2	265	13.45	5	0	5	100	100	80	1065	4326	0.322	0	5	71	send	1
2	262.1	13.31	5	1	5	100	100	80	1065	4326	0.325	0	5	71	send	1
2	285.8	14.51	5	2	5	100	100	80	1065	4326	0.298	0	5	71	send	1
2	366.2	18.6	5	4	5	100	100	80	1065	4326	0.233	0	5	71	send	1
2	546.7	31.62	5	0	5	625	625	3125	142	25666.2	0.812	0	5	71	send	1
2	544.5	31.49	5	1	5	625	625	3125	142	25666.2	0.815	0	5	71	send	1
2	339.1	19.61	5	2	5	625	625	3125	142	25666.2	1.31	0	5	71	send	1
2	406.8	23.53	5	4	5	625	625	3125	142	25666.2	1.09	0	5	71	send	1
2	562.1	35.78	5	0	5	1000	1000	8000	71	36154	1.01	0	5	71	send	1
2	561.3	35.73	5	1	5	1000	1000	8000	71	36154	1.01	0	5	71	send	1
2	333.2	21.21	5	2	5	1000	1000	8000	71	36154	1.7	0	5	71	send	1
2	408.3	25.99	5	4	5	1000	1000	8000	71	36154	1.39	0	5	71	send	1
3	93.45	4.714	5	0	5	25	25	5	4970	1253.45	0.266	0	5	71	send	1
3	93.42	4.712	5	1	5	25	25	5	4970	1253.45	0.266	0	5	71	send	1
3	91.52	4.616	5	2	5	25	25	5	4970	1253.45	0.272	0	5	71	send	1
3	67.53	3.406	5	4	5	25	25	5	4970	1253.45	0.368	0	5	71	send	1
3	390.9	19.85	5	0	5	100	100	80	1065	4326	0.218	0	5	71	send	1
3	310.6	15.77	5	1	5	100	100	80	1065	4326	0.274	0	5	71	send	1
3	473.6	24.05	5	2	5	100	100	80	1065	4326	0.18	0	5	71	send	1
3	408.7	20.75	5	4	5	100	100	80	1065	4326	0.208	0	5	71	send	1
3	428.3	24.77	5	0	5	625	625	3125	142	25666.2	1.04	0	5	71	send	1
3	543.2	31.42	5	1	5	625	625	3125	142	25666.2	0.817	0	5	71	send	1
3	577.5	33.4	5	2	5	625	625	3125	142	25666.2	0.768	0	5	71	send	1
3	689.2	39.86	5	4	5	625	625	3125	142	25666.2	0.644	0	5	71	send	1
3	563.2	35.85	5	0	5	1000	1000	8000	71	36154	1.01	0	5	71	send	1
3	559.1	35.59	5	1	5	1000	1000	8000	71	36154	1.02	0	5	71	send	1
3	603.7	38.43	5	2	5	1000	1000	8000	71	36154	0.941	0	5	71	send	1
3	715.8	45.56	5	4	5	1000	1000	8000	71	36154	0.794	0	5	71	send	1
