algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	80.3	80.3	5	0	5	25	25	5	4970	24850	0.309	0	0	71	recv	1
0	78.86	78.86	5	1	5	25	25	5	4970	24850	0.315	0	0	71	recv	1
0	82.51	82.51	5	2	5	25	25	5	4970	24850	0.301	0	0	71	recv	1
0	99.17	99.17	5	4	5	25	25	5	4970	24850	0.251	0	0	71	recv	1
0	210	210	5	0	5	100	100	80	1065	85200	0.406	0	0	71	recv	1
0	213.3	213.3	5	1	5	100	100	80	1065	85200	0.4	0	0	71	recv	1
0	329.9	329.9	5	2	5	100	100	80	1065	85200	0.258	0	0	71	recv	1
0	511.8	511.8	5	4	5	100	100	80	1065	85200	0.166	0	0	71	recv	1
0	169	169	5	0	5	625	625	3125	142	443750	2.63	0	0	71	recv	1
0	169.4	169.4	5	1	5	625	625	3125	142	443750	2.62	0	0	71	recv	1
0	275.4	275.4	5	2	5	625	625	3125	142	443750	1.61	0	0	71	recv	1
0	277.3	277.3	5	4	5	625	625	3125	142	443750	1.6	0	0	71	recv	1
0	230.8	230.8	5	0	5	1000	1000	8000	71	568000	2.46	0	0	71	recv	1
0	230.8	230.8	5	1	5	1000	1000	8000	71	568000	2.46	0	0	71	recv	1
0	293.6	293.6	5	2	5	1000	1000	8000	71	568000	1.93	0	0	71	recv	1
0	287.2	287.2	5	4	5	1000	1000	8000	71	568000	1.98	0	0	71	recv	1
2	121.4	6.123	5	0	5	25	25	5	4970	1253.45	0.205	0	0	71	recv	1
2	119.3	6.019	5	1	5	25	25	5	4970	1253.45	0.208	0	0	71	recv	1
2	107.1	5.4	5	2	5	25	25	5	4970	1253.45	0.232	0	0	71	recv	1
2	72.82	3.673	5	4	5	25	25	5	4970	1253.45	0.341	0	0	71	recv	1
2	362.9	18.43	5	0	5	100	100	80	1065	4326	0.235	0	0	71	recv	1
2	415.3	21.09	5	1	5	100	100	80	1065	4326	0.205	0	0	71	recv	1
2	354.2	17.98	5	2	5	100	100	80	1065	4326	0.241	0	0	71	recv	1
2	499.5	25.36	5	4	5	100	100	80	1065	4326	0.171	0	0	71	recv	1
2	455	26.32	5	0	5	625	625	3125	142	25666.2	0.975	0	0	71	recv	1
2	547.1	31.64	5	1	5	625	625	3125	142	25666.2	0.811	0	0	71	recv	1
2	394.3	22.81	5	2	5	625	625	3125	142	25666.2	1.13	0	0	71	recv	1
2	490.4	28.36	5	4	5	625	625	3125	142	25666.2	0.905	0	0	71	recv	1
2	554	35.26	5	0	5	1000	1000	8000	71	36154	1.03	0	0	71	recv	1
2	552.5	35.17	5	1	5	1000	1000	8000	71	36154	1.03	0	0	71	recv	1
2	380.1	24.2	5	2	5	1000	1000	8000	71	36154	1.49	0	0	71	recv	1
2	479.9	30.54	5	4	5	1000	1000	8000	71	36154	1.18	0	0	71	recv	1
3	121	6.105	5	0	5	25	25	5	4970	1253.45	0.205	0	0	71	recv	1
3	85.91	4.334	5	1	5	25	25	5	4970	1253.45	0.289	0	0	71	recv	1
3	98.16	4.951	5	2	5	25	25	5	4970	1253.45	0.253	0	0	71	recv	1
3	109.7	5.533	5	4	5	25	25	5	4970	1253.45	0.227	0	0	71	recv	1
3	415.9	21.12	5	0	5	100	100	80	1065	4326	0.205	0	0	71	recv	1
3	320.8	16.29	5	1	5	100	100	80	1065	4326	0.266	0	0	71	recv	1
3	425.9	21.62	5	2	5	100	100	80	1065	4326	0.2	0	0	71	recv	1
3	584.6	29.68	5	4	5	100	100	80	1065	4326	0.146	0	0	71	recv	1
3	549.6	31.79	5	0	5	625	625	3125	142	25666.2	0.807	0	0	71	recv	1
3	392.2	22.68	5	1	5	625	625	3125	142	25666.2	1.13	0	0	71	recv	1
