algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	73.23	73.23	5	0	5	25	25	5	4970	24850	0.339	0	5	71	send	0
0	75.01	75.01	5	1	5	25	25	5	4970	24850	0.331	0	5	71	send	0
0	72.32	72.32	5	2	5	25	25	5	4970	24850	0.344	0	5	71	send	0
0	81.66	81.66	5	4	5	25	25	5	4970	24850	0.304	0	5	71	send	0
0	174	174	5	0	5	100	100	80	1065	85200	0.49	0	5	71	send	0
0	163.6	163.6	5	1	5	100	100	80	1065	85200	0.521	0	5	71	send	0
0	196.8	196.8	5	2	5	100	100	80	1065	85200	0.433	0	5	71	send	0
0	255.5	255.5	5	4	5	100	100	80	1065	85200	0.333	0	5	71	send	0
0	82.64	82.64	5	0	5	625	625	3125	142	443750	5.37	0	5	71	send	0
0	80.5	80.5	5	1	5	625	625	3125	142	443750	5.51	0	5	71	send	0
0	120.1	120.1	5	2	5	625	625	3125	142	443750	3.69	0	5	71	send	0
0	152.1	152.1	5	4	5	625	625	3125	142	443750	2.92	0	5	71	send	0
0	79.89	79.89	5	0	5	1000	1000	8000	71	568000	7.11	0	5	71	send	0
0	80.02	80.02	5	1	5	1000	1000	8000	71	568000	7.1	0	5	71	send	0
0	120	120	5	2	5	1000	1000	8000	71	568000	4.73	0	5	71	send	0
0	158	158	5	4	5	1000	1000	8000	71	568000	3.59	0	5	71	send	0
2	109.7	5.535	5	0	5	25	25	5	4970	1253.45	0.226	0	5	71	send	0
2	83.25	4.199	5	1	5	25	25	5	4970	1253.45	0.299	0	5	71	send	0
2	92.78	4.68	5	2	5	25	25	5	4970	1253.45	0.268	0	5	71	send	0
2	80.6	4.066	5	4	5	25	25	5	4970	1253.45	0.308	0	5	71	send	0
2	271.2	13.77	5	0	5	100	100	80	1065	4326	0.314	0	5	71	send	0
2	269.6	13.69	5	1	5	100	100	80	1065	4326	0.316	0	5	71	send	0
2	286.1	14.53	5	2	5	100	100	80	1065	4326	0.298	0	5	71	send	0
2	353.6	17.95	5	4	5	100	100	80	1065	4326	0.241	0	5	71	send	0
2	580.4	33.57	5	0	5	625	625	3125	142	25666.2	0.765	0	5	71	send	0
2	577.8	33.42	5	1	5	625	625	3125	142	25666.2	0.768	0	5	71	send	0
2	365.3	21.13	5	2	5	625	625	3125	142	25666.2	1.21	0	5	71	send	0
2	425.2	24.59	5	4	5	625	625	3125	142	25666.2	1.04	0	5	71	send	0
2	601.8	38.3	5	0	5	1000	1000	8000	71	36154	0.944	0	5	71	send	0
2	600.8	38.24	5	1	5	1000	1000	8000	71	36154	0.945	0	5	71	send	0
2	358.5	22.82	5	2	5	1000	1000	8000	71	36154	1.58	0	5	71	send	0
