algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	66.1	66.1	5	0	5	25	25	5	4970	24850	0.376	0	5	71	send	0
0	67.58	67.58	5	1	5	25	25	5	4970	24850	0.368	0	5	71	send	0
0	76.93	76.93	5	2	5	25	25	5	4970	24850	0.323	0	5	71	send	0
0	90.45	90.45	5	4	5	25	25	5	4970	24850	0.275	0	5	71	send	0
0	199.5	199.5	5	0	5	100	100	80	1065	85200	0.427	0	5	71	send	0
0	171.2	171.2	5	1	5	100	100	80	1065	85200	0.498	0	5	71	send	0
0	222.1	222.1	5	2	5	100	100	80	1065	85200	0.384	0	5	71	send	0
0	289.5	289.5	5	4	5	100	100	80	1065	85200	0.294	0	5	71	send	0
0	83.25	83.25	5	0	5	625	625	3125	142	443750	5.33	0	5	71	send	0
0	85.31	85.31	5	1	5	625	625	3125	142	443750	5.2	0	5	71	send	0
0	123.3	123.3	5	2	5	625	625	3125	142	443750	3.6	0	5	71	send	0
0	156.9	156.9	5	4	5	625	625	3125	142	443750	2.83	0	5	71	send	0
0	65.66	65.66	5	0	5	1000	1000	8000	71	568000	8.65	0	5	71	send	0
0	83.49	83.49	5	1	5	1000	1000	8000	71	568000	6.8	0	5	71	send	0
0	127.3	127.3	5	2	5	1000	1000	8000	71	568000	4.46	0	5	71	send	0
0	162.3	162.3	5	4	5	1000	1000	8000	71	568000	3.5	0	5	71	send	0
2	119.5	6.028	5	0	5	25	25	5	4970	1253.45	0.208	0	5	71	send	0
2	92.74	4.678	5	1	5	25	25	5	4970	1253.45	0.268	0	5	71	send	0
2	105.1	5.302	5	2	5	25	25	5	4970	1253.45	0.236	0	5	71	send	0
2	99.19	5.003	5	4	5	25	25	5	4970	1253.45	0.251	0	5	71	send	0
2	273.6	13.89	5	0	5	100	100	80	1065	4326	0.311	0	5	71	send	0
2	336.3	17.08	5	1	5	100	100	80	1065	4326	0.253	0	5	71	send	0
2	324	16.45	5	2	5	100	100	80	1065	4326	0.263	0	5	71	send	0
2	378.3	19.21	5	4	5	100	100	80	1065	4326	0.225	0	5	71	send	0
2	479.3	27.72	5	0	5	625	625	3125	142	25666.2	0.926	0	5	71	send	0
2	543.4	31.43	5	1	5	625	625	3125	142	25666.2	0.817	0	5	71	send	0
2	410	23.71	5	2	5	625	625	3125	142	25666.2	1.08	0	5	71	send	0
2	448.3	25.93	5	4	5	625	625	3125	142	25666.2	0.99	0	5	71	send	0
2	495.7	31.55	5	0	5	1000	1000	8000	71	36154	1.15	0	5	71	send	0
2	584.7	37.22	5	1	5	1000	1000	8000	71	36154	0.971	0	5	71	send	0
2	403.7	25.7	5	2	5	1000	1000	8000	71	36154	1.41	0	5	71	send	0
2	439.7	27.99	5	4	5	1000	1000	8000	71	36154	1.29	0	5	71	send	0
3	119.1	6.01	5	0	5	25	25	5	4970	1253.45	0.209	0	5	71	send	0
3	112	5.649	5	1	5	25	25	5	4970	1253.45	0.222	0	5	71	send	0
3	90.85	4.583	5	2	5	25	25	5	4970	1253.45	0.274	0	5	71	send	0
3	97.54	4.92	5	4	5	25	25	5	4970	1253.45	0.255	0	5	71	send	0
3	322.8	16.39	5	0	5	100	100	80	1065	4326	0.264	0	5	71	send	0
3	294.1	14.93	5	1	5	100	100	80	1065	4326	0.29	0	5	71	send	0
3	436.3	22.15	5	2	5	100	100	80	1065	4326	0.195	0	5	71	send	0
3	465.6	23.64	5	4	5	100	100	80	1065	4326	0.183	0	5	71	send	0
3	605.9	35.05	5	0	5	625	625	3125	142	25666.2	0.732	0	5	71	send	0
3	660.8	38.22	5	1	5	625	625	3125	142	25666.2	0.671	0	5	71	send	0
3	664.5	38.43	5	2	5	625	625	3125	142	25666.2	0.668	0	5	71	send	0
3	767.9	44.42	5	4	5	625	625	3125	142	25666.2	0.578	0	5	71	send	0
3	494.8	31.5	5	0	5	1000	1000	8000	71	36154	1.15	0	5	71	send	0
3	653	41.56	5	1	5	1000	1000	8000	71	36154	0.87	0	5	71	send	0
3	685	43.6	5	2	5	1000	1000	8000	71	36154	0.829	0	5	71	send	0
3	767.5	48.85	5	4	5	1000	1000	8000	71	36154	0.74	0	5	71	send	0
0	74.13	74.13	5	0	5	25	25	5	4970	24850	0.335	0	5	71	send	0
0	87.36	87.36	5	1	5	25	25	5	4970	24850	0.284	0	5	71	send	0
0	83.65	83.65	5	2	5	25	25	5	4970	24850	0.297	0	5	71	send	0
0	82.63	82.63	5	4	5	25	25	5	4970	24850	0.301	0	5	71	send	0
0	176	176	5	0	5	100	100	80	1065	85200	0.484	0	5	71	send	0
0	153.6	153.6	5	1	5	100	100	80	1065	85200	0.555	0	5	71	send	0
0	220.2	220.2	5	2	5	100	100	80	1065	85200	0.387	0	5	71	send	0
0	287.2	287.2	5	4	5	100	100	80	1065	85200	0.297	0	5	71	send	0
0	68.44	68.44	5	0	5	625	625	3125	142	443750	6.48	0	5	71	send	0
0	86.26	86.26	5	1	5	625	625	3125	142	443750	5.14	0	5	71	send	0
0	122.9	122.9	5	2	5	625	625	3125	142	443750	3.61	0	5	71	send	0
0	156.8	156.8	5	4	5	625	625	3125	142	443750	2.83	0	5	71	send	0
0	65.57	65.57	5	0	5	1000	1000	8000	71	568000	8.66	0	5	71	send	0
0	82.78	82.78	5	1	5	1000	1000	8000	71	568000	6.86	0	5	71	send	0
0	120.1	120.1	5	2	5	1000	1000	8000	71	568000	4.73	0	5	71	send	0
0	162.1	162.1	5	4	5	1000	1000	8000	71	568000	3.5	0	5	71	send	0
2	117.6	5.931	5	0	5	25	25	5	4970	1253.45	0.211	0	5	71	send	0
2	95.17	4.801	5	1	5	25	25	5	4970	1253.45	0.261	0	5	71	send	0
2	104.2	5.254	5	2	5	25	25	5	4970	1253.45	0.239	0	5	71	send	0
2	69.11	3.486	5	4	5	25	25	5	4970	1253.45	0.36	0	5	71	send	0
2	384.6	19.53	5	0	5	100	100	80	1065	4326	0.222	0	5	71	send	0
2	334.8	17	5	1	5	100	100	80	1065	4326	0.255	0	5	71	send	0
2	510.9	25.94	5	2	5	100	100	80	1065	4326	0.167	0	5	71	send	0
2	429.2	21.79	5	4	5	100	100	80	1065	4326	0.199	0	5	71	send	0
2	605.7	35.03	5	0	5	625	625	3125	142	25666.2	0.733	0	5	71	send	0
2	570.5	32.99	5	1	5	625	625	3125	142	25666.2	0.778	0	5	71	send	0
2	412.9	23.88	5	2	5	625	625	3125	142	25666.2	1.07	0	5	71	send	0
2	443.8	25.67	5	4	5	625	625	3125	142	25666.2	1	0	5	71	send	0
2	622.8	39.64	5	0	5	1000	1000	8000	71	36154	0.912	0	5	71	send	0
2	526.2	33.5	5	1	5	1000	1000	8000	71	36154	1.08	0	5	71	send	0
