algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	67.89	67.89	5	0	5	25	25	5	4970	24850	0.366	0	5	71	send	1
0	68.73	68.73	5	1	5	25	25	5	4970	24850	0.362	0	5	71	send	1
0	79.58	79.58	5	2	5	25	25	5	4970	24850	0.312	0	5	71	send	1
0	76.73	76.73	5	4	5	25	25	5	4970	24850	0.324	0	5	71	send	1
0	188.1	188.1	5	0	5	100	100	80	1065	85200	0.453	0	5	71	send	1
0	136.3	136.3	5	1	5	100	100	80	1065	85200	0.625	0	5	71	send	1
0	195	195	5	2	5	100	100	80	1065	85200	0.437	0	5	71	send	1
0	257.8	257.8	5	4	5	100	100	80	1065	85200	0.33	0	5	71	send	1
0	68.05	68.05	5	0	5	625	625	3125	142	443750	6.52	0	5	71	send	1
0	70.7	70.7	5	1	5	625	625	3125	142	443750	6.28	0	5	71	send	1
0	113	113	5	2	5	625	625	3125	142	443750	3.93	0	5	71	send	1
0	154.6	154.6	5	4	5	625	625	3125	142	443750	2.87	0	5	71	send	1
0	79.55	79.55	5	0	5	1000	1000	8000	71	568000	7.14	0	5	71	send	1
0	82.86	82.86	5	1	5	1000	1000	8000	71	568000	6.85	0	5	71	send	1
0	119	119	5	2	5	1000	1000	8000	71	568000	4.77	0	5	71	send	1
0	163.4	163.4	5	4	5	1000	1000	8000	71	568000	3.48	0	5	71	send	1
2	118.6	5.983	5	0	5	25	25	5	4970	1253.45	0.209	0	5	71	send	1
2	117.2	5.914	5	1	5	25	25	5	4970	1253.45	0.212	0	5	71	send	1
2	101.3	5.107	5	2	5	25	25	5	4970	1253.45	0.245	0	5	71	send	1
2	101.4	5.117	5	4	5	25	25	5	4970	1253.45	0.245	0	5	71	send	1
2	402.9	20.46	5	0	5	100	100	80	1065	4326	0.211	0	5	71	send	1
2	375.1	19.05	5	1	5	100	100	80	1065	4326	0.227	0	5	71	send	1
2	484.9	24.62	5	2	5	100	100	80	1065	4326	0.176	0	5	71	send	1
2	401.2	20.37	5	4	5	100	100	80	1065	4326	0.212	0	5	71	send	1
2	529.2	30.61	5	0	5	625	625	3125	142	25666.2	0.839	0	5	71	send	1
2	546	31.58	5	1	5	625	625	3125	142	25666.2	0.813	0	5	71	send	1
2	383.7	22.19	5	2	5	625	625	3125	142	25666.2	1.16	0	5	71	send	1
2	430.9	24.92	5	4	5	625	625	3125	142	25666.2	1.03	0	5	71	send	1
2	590.2	37.57	5	0	5	1000	1000	8000	71	36154	0.962	0	5	71	send	1
2	554.7	35.31	5	1	5	1000	1000	8000	71	36154	1.02	0	5	71	send	1
2	398.6	25.37	5	2	5	1000	1000	8000	71	36154	1.42	0	5	71	send	1
2	417.1	26.55	5	4	5	1000	1000	8000	71	36154	1.36	0	5	71	send	1
3	91.23	4.602	5	0	5	25	25	5	4970	1253.45	0.272	0	5	71	send	1
3	77.03	3.886	5	1	5	25	25	5	4970	1253.45	0.323	0	5	71	send	1
3	83.32	4.203	5	2	5	25	25	5	4970	1253.45	0.298	0	5	71	send	1
3	72.79	3.671	5	4	5	25	25	5	4970	1253.45	0.341	0	5	71	send	1
3	295.3	15	5	0	5	100	100	80	1065	4326	0.288	0	5	71	send	1
3	285	14.47	5	1	5	100	100	80	1065	4326	0.299	0	5	71	send	1
3	633.1	32.14	5	2	5	100	100	80	1065	4326	0.135	0	5	71	send	1
3	482.4	24.49	5	4	5	100	100	80	1065	4326	0.177	0	5	71	send	1
3	575	33.26	5	0	5	625	625	3125	142	25666.2	0.772	0	5	71	send	1
3	586.6	33.93	5	1	5	625	625	3125	142	25666.2	0.756	0	5	71	send	1
3	590.7	34.17	5	2	5	625	625	3125	142	25666.2	0.751	0	5	71	send	1
3	718.5	41.56	5	4	5	625	625	3125	142	25666.2	0.618	0	5	71	send	1
3	589.2	37.5	5	0	5	1000	1000	8000	71	36154	0.964	0	5	71	send	1
3	598.6	38.1	5	1	5	1000	1000	8000	71	36154	0.949	0	5	71	send	1
3	598.6	38.1	5	2	5	1000	1000	8000	71	36154	0.949	0	5	71	send	1
3	680.4	43.31	5	4	5	1000	1000	8000	71	36154	0.835	0	5	71	send	1
0	74.15	74.15	5	0	5	25	25	5	4970	24850	0.335	0	5	71	send	1
0	72.45	72.45	5	1	5	25	25	5	4970	24850	0.343	0	5	71	send	1
0	71.03	71.03	5	2	5	25	25	5	4970	24850	0.35	0	5	71	send	1
0	94.36	94.36	5	4	5	25	25	5	4970	24850	0.263	0	5	71	send	1
0	174	174	5	0	5	100	100	80	1065	85200	0.49	0	5	71	send	1
0	152.8	152.8	5	1	5	100	100	80	1065	85200	0.557	0	5	71	send	1
0	212.8	212.8	5	2	5	100	100	80	1065	85200	0.4	0	5	71	send	1
0	295.9	295.9	5	4	5	100	100	80	1065	85200	0.288	0	5	71	send	1
0	82.73	82.73	5	0	5	625	625	3125	142	443750	5.36	0	5	71	send	1
0	85.89	85.89	5	1	5	625	625	3125	142	443750	5.17	0	5	71	send	1
0	125.1	125.1	5	2	5	625	625	3125	142	443750	3.55	0	5	71	send	1
0	155.1	155.1	5	4	5	625	625	3125	142	443750	2.86	0	5	71	send	1
0	79.86	79.86	5	0	5	1000	1000	8000	71	568000	7.11	0	5	71	send	1
0	82.81	82.81	5	1	5	1000	1000	8000	71	568000	6.86	0	5	71	send	1
0	122.7	122.7	5	2	5	1000	1000	8000	71	568000	4.63	0	5	71	send	1
0	163.7	163.7	5	4	5	1000	1000	8000	71	568000	3.47	0	5	71	send	1
2	118.7	5.986	5	0	5	25	25	5	4970	1253.45	0.209	0	5	71	send	1
2	113	5.701	5	1	5	25	25	5	4970	1253.45	0.22	0	5	71	send	1
2	101.6	5.124	5	2	5	25	25	5	4970	1253.45	0.245	0	5	71	send	1
2	85.52	4.313	5	4	5	25	25	5	4970	1253.45	0.291	0	5	71	send	1
2	273	13.86	5	0	5	100	100	80	1065	4326	0.312	0	5	71	send	1
2	325.2	16.51	5	1	5	100	100	80	1065	4326	0.262	0	5	71	send	1
2	358.4	18.2	5	2	5	100	100	80	1065	4326	0.238	0	5	71	send	1
2	440	22.34	5	4	5	100	100	80	1065	4326	0.194	0	5	71	send	1
2	444.5	25.71	5	0	5	625	625	3125	142	25666.2	0.998	0	5	71	send	1
2	544	31.47	5	1	5	625	625	3125	142	25666.2	0.816	0	5	71	send	1
2	378.6	21.9	5	2	5	625	625	3125	142	25666.2	1.17	0	5	71	send	1
2	429.8	24.86	5	4	5	625	625	3125	142	25666.2	1.03	0	5	71	send	1
2	590.1	37.56	5	0	5	1000	1000	8000	71	36154	0.963	0	5	71	send	1
2	557.7	35.5	5	1	5	1000	1000	8000	71	36154	1.02	0	5	71	send	1
2	375.8	23.92	5	2	5	1000	1000	8000	71	36154	1.51	0	5	71	send	1
2	433.2	27.57	5	4	5	1000	1000	8000	71	36154	1.31	0	5	71	send	1
3	118.7	5.989	5	0	5	25	25	5	4970	1253.45	0.209	0	5	71	send	1
3	111.2	5.609	5	1	5	25	25	5	4970	1253.45	0.223	0	5	71	send	1
3	98.17	4.952	5	2	5	25	25	5	4970	1253.45	0.253	0	5	71	send	1
