algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	152.6	152.6	5	0	5	25	25	5	4970	24850	0.163	0	5	71	send	1
0	149.1	149.1	5	1	5	25	25	5	4970	24850	0.167	0	5	71	send	1
0	65.82	65.82	5	2	5	25	25	5	4970	24850	0.378	0	5	71	send	1
0	83.13	83.13	5	0	5	100	100	80	1065	85200	1.02	0	5	71	send	1
0	84.47	84.47	5	1	5	100	100	80	1065	85200	1.01	0	5	71	send	1
0	115.1	115.1	5	2	5	100	100	80	1065	85200	0.741	0	5	71	send	1
0	58.09	58.09	5	0	5	625	625	3125	142	443750	7.64	0	5	71	send	1
0	58.31	58.31	5	1	5	625	625	3125	142	443750	7.61	0	5	71	send	1
0	87.45	87.45	5	2	5	625	625	3125	142	443750	5.07	0	5	71	send	1
0	23.52	23.52	5	0	5	1000	1000	8000	71	568000	24.2	0	5	71	send	1
0	23.36	23.36	5	1	5	1000	1000	8000	71	568000	24.3	0	5	71	send	1
0	35.54	35.54	5	2	5	1000	1000	8000	71	568000	16	0	5	71	send	1
2	511.4	25.67	5	0	5	25	25	5	4970	1247.35	0.0486	0	5	71	send	1
2	468	23.49	5	1	5	25	25	5	4970	1247.35	0.0531	0	5	71	send	1
2	61.44	3.084	5	2	5	25	25	5	4970	1247.35	0.404	0	5	71	send	1
2	555.1	28.26	5	0	5	100	100	80	1065	4337.8	0.153	0	5	71	send	1
2	535.4	27.26	5	1	5	100	100	80	1065	4337.8	0.159	0	5	71	send	1
2	405	20.62	5	2	5	100	100	80	1065	4337.8	0.21	0	5	71	send	1
2	352.6	19.93	5	0	5	625	625	3125	142	25085	1.26	0	5	71	send	1
2	351.5	19.87	5	1	5	625	625	3125	142	25085	1.26	0	5	71	send	1
2	315	17.81	5	2	5	625	625	3125	142	25085	1.41	0	5	71	send	1
2	195.6	12.41	5	0	5	1000	1000	8000	71	36038	2.9	0	5	71	send	1
2	193.1	12.25	5	1	5	1000	1000	8000	71	36038	2.94	0	5	71	send	1
2	236	14.97	5	2	5	1000	1000	8000	71	36038	2.41	0	5	71	send	1
3	510.7	25.64	5	0	5	25	25	5	4970	1247.35	0.0487	0	5	71	send	1
3	382.3	19.19	5	1	5	25	25	5	4970	1247.35	0.065	0	5	71	send	1
3	81.73	4.103	5	2	5	25	25	5	4970	1247.35	0.304	0	5	71	send	1
3	550.1	28.01	5	0	5	100	100	80	1065	4337.8	0.155	0	5	71	send	1
3	474	24.13	5	1	5	100	100	80	1065	4337.8	0.18	0	5	71	send	1
3	470.8	23.97	5	2	5	100	100	80	1065	4337.8	0.181	0	5	71	send	1
