algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	154.5	154.5	5	0	5	25	25	5	4970	24850	0.161	0	5	71	send	0
0	157.3	157.3	5	1	5	25	25	5	4970	24850	0.158	0	5	71	send	0
0	66.32	66.32	5	2	5	25	25	5	4970	24850	0.375	0	5	71	send	0
0	83.45	83.45	5	0	5	100	100	80	1065	85200	1.02	0	5	71	send	0
0	89.35	89.35	5	1	5	100	100	80	1065	85200	0.954	0	5	71	send	0
0	114.6	114.6	5	2	5	100	100	80	1065	85200	0.744	0	5	71	send	0
0	58.97	58.97	5	0	5	625	625	3125	142	443750	7.53	0	5	71	send	0
0	60.53	60.53	5	1	5	625	625	3125	142	443750	7.33	0	5	71	send	0
0	90.87	90.87	5	2	5	625	625	3125	142	443750	4.88	0	5	71	send	0
0	24.01	24.01	5	0	5	1000	1000	8000	71	568000	23.7	0	5	71	send	0
0	24.46	24.46	5	1	5	1000	1000	8000	71	568000	23.2	0	5	71	send	0
0	36.65	36.65	5	2	5	1000	1000	8000	71	568000	15.5	0	5	71	send	0
2	545.2	27.37	5	0	5	25	25	5	4970	1247.35	0.0456	0	5	71	send	0
2	393.3	19.74	5	1	5	25	25	5	4970	1247.35	0.0632	0	5	71	send	0
2	64.24	3.225	5	2	5	25	25	5	4970	1247.35	0.387	0	5	71	send	0
2	613	31.21	5	0	5	100	100	80	1065	4337.8	0.139	0	5	71	send	0
2	643	32.74	5	1	5	100	100	80	1065	4337.8	0.132	0	5	71	send	0
2	384.4	19.57	5	2	5	100	100	80	1065	4337.8	0.222	0	5	71	send	0
2	399	22.56	5	0	5	625	625	3125	142	25085	1.11	0	5	71	send	0
2	421.8	23.85	5	1	5	625	625	3125	142	25085	1.05	0	5	71	send	0
2	368.4	20.82	5	2	5	625	625	3125	142	25085	1.2	0	5	71	send	0
2	267	16.94	5	0	5	1000	1000	8000	71	36038	2.13	0	5	71	send	0
2	279.2	17.71	5	1	5	1000	1000	8000	71	36038	2.03	0	5	71	send	0
2	315.8	20.04	5	2	5	1000	1000	8000	71	36038	1.8	0	5	71	send	0
3	545.6	27.38	5	0	5	25	25	5	4970	1247.35	0.0456	0	5	71	send	0
3	393.6	19.76	5	1	5	25	25	5	4970	1247.35	0.0631	0	5	71	send	0
