algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	QtConc	srarate	dwtrate	cn_in	dnorm
0	153.9	153.9	5	0	5	25	25	5	4970	24850	0.162	0	5	71	send	1
0	153	153	5	1	5	25	25	5	4970	24850	0.162	0	5	71	send	1
0	75.87	75.87	5	2	5	25	25	5	4970	24850	0.328	0	5	71	send	1
0	84.02	84.02	5	0	5	100	100	80	1065	85200	1.01	0	5	71	send	1
0	86.93	86.93	5	1	5	100	100	80	1065	85200	0.98	0	5	71	send	1
0	111.6	111.6	5	2	5	100	100	80	1065	85200	0.763	0	5	71	send	1
0	58.68	58.68	5	0	5	625	625	3125	142	443750	7.56	0	5	71	send	1
0	60.32	60.32	5	1	5	625	625	3125	142	443750	7.36	0	5	71	send	1
0	89.95	89.95	5	2	5	625	625	3125	142	443750	4.93	0	5	71	send	1
0	23.46	23.46	5	0	5	1000	1000	8000	71	568000	24.2	0	5	71	send	1
0	23.74	23.74	5	1	5	1000	1000	8000	71	568000	23.9	0	5	71	send	1
0	35.43	35.43	5	2	5	1000	1000	8000	71	568000	16	0	5	71	send	1
2	522.7	26.24	5	0	5	25	25	5	4970	1247.35	0.0475	0	5	71	send	1
2	389.2	19.54	5	1	5	25	25	5	4970	1247.35	0.0639	0	5	71	send	1
2	62.93	3.159	5	2	5	25	25	5	4970	1247.35	0.395	0	5	71	send	1
2	571.2	29.08	5	0	5	100	100	80	1065	4337.8	0.149	0	5	71	send	1
2	594.8	30.29	5	1	5	100	100	80	1065	4337.8	0.143	0	5	71	send	1
2	381.4	19.42	5	2	5	100	100	80	1065	4337.8	0.223	0	5	71	send	1
2	373.3	21.1	5	0	5	625	625	3125	142	25085	1.19	0	5	71	send	1
2	387.9	21.93	5	1	5	625	625	3125	142	25085	1.14	0	5	71	send	1
2	364	20.57	5	2	5	625	625	3125	142	25085	1.22	0	5	71	send	1
2	199.1	12.63	5	0	5	1000	1000	8000	71	36038	2.85	0	5	71	send	1
2	204.6	12.98	5	1	5	1000	1000	8000	71	36038	2.78	0	5	71	send	1
