algo    eMcon   Mcon    snd_act procs   layers  units   cons    weights cycles  con_trav        secs    nibble
0       83.5024 83.5024 5       0       5       25      25      5000    10000   5e+07   0.598785        0
0       76.7457 76.7457 5       1       5       25      25      5000    10000   5e+07   0.651502        0
0       78.0493 78.0493 5       2       5       25      25      5000    10000   5e+07   0.640621        0
0       82.7736 82.7736 5       4       5       25      25      5000    10000   5e+07   0.604057        0
0       228.536 228.536 5       0       5       100     100     80000   2000    1.6e+08 0.70011 0
0       225.532 225.532 5       1       5       100     100     80000   2000    1.6e+08 0.709433        0
0       306.12  306.12  5       2       5       100     100     80000   2000    1.6e+08 0.52267 0
0       514.844 514.844 5       4       5       100     100     80000   2000    1.6e+08 0.310774        0
0       236.085 236.085 5       0       5       625     625     3.125e+06       100     3.125e+08       1.32367 0
0       234.35  234.35  5       1       5       625     625     3.125e+06       100     3.125e+08       1.33348 0
0       281.762 281.762 5       2       5       625     625     3.125e+06       100     3.125e+08       1.10909 0
0       298.714 298.714 5       4       5       625     625     3.125e+06       100     3.125e+08       1.04615 0
0       189.361 189.361 5       0       5       1024    1024    8.38861e+06     50      4.1943e+08      2.21498 0
0       242.654 242.654 5       1       5       1024    1024    8.38861e+06     50      4.1943e+08      1.72851 0
0       290.059 290.059 5       2       5       1024    1024    8.38861e+06     50      4.1943e+08      1.44602 0
0       296.034 296.034 5       4       5       1024    1024    8.38861e+06     50      4.1943e+08      1.41683 0
2       121.38  6.12715 5       0       5       25      25      5000    10000   2.52395e+06     0.411929        0
2       98.6257 4.97853 5       1       5       25      25      5000    10000   2.52395e+06     0.506967        0
2       91.9217 4.64012 5       2       5       25      25      5000    10000   2.52395e+06     0.543941        0
2       80.255  4.05119 5       4       5       25      25      5000    10000   2.52395e+06     0.623014        0
2       388.365 19.5474 5       0       5       100     100     80000   2000    8.0532e+06      0.411984        0
2       293.939 14.7947 5       1       5       100     100     80000   2000    8.0532e+06      0.54433 0
2       389.775 19.6184 5       2       5       100     100     80000   2000    8.0532e+06      0.410493        0
2       405.603 20.415  5       4       5       100     100     80000   2000    8.0532e+06      0.394474        0
2       630.513 37.8938 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.495628        0
2       595.673 35.7999 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.524617        0
2       479.311 28.8066 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.651978        0
2       557.436 33.5019 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.560602        0
2       550.003 37.8557 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.762596        0
2       624.688 42.9961 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.671424        0
2       430.584 29.6363 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.974097        0
2       522.687 35.9755 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.802451        0
3       120.985 6.10719 5       0       5       25      25      5000    10000   2.52395e+06     0.413275        0
3       87.4969 4.41675 5       1       5       25      25      5000    10000   2.52395e+06     0.571449        0
3       86.5038 4.36663 5       2       5       25      25      5000    10000   2.52395e+06     0.578009        0
3       72.5607 3.66279 5       4       5       25      25      5000    10000   2.52395e+06     0.689078        0
