algo    eMcon   Mcon    snd_act procs   layers  units   cons    weights cycles  con_trav        secs    nibble  sndcn
0       77.3062 77.3062 5       0       5       25      25      5000    10000   5e+07   0.646779        0       1
0       73.0941 73.0941 5       1       5       25      25      5000    10000   5e+07   0.68405 0       1
0       68.2638 68.2638 5       2       5       25      25      5000    10000   5e+07   0.732453        0       1
0       77.2876 77.2876 5       4       5       25      25      5000    10000   5e+07   0.646934        0       1
0       183.072 183.072 5       0       5       100     100     80000   2000    1.6e+08 0.873975        0       1
0       181.334 181.334 5       1       5       100     100     80000   2000    1.6e+08 0.882349        0       1
0       240.989 240.989 5       2       5       100     100     80000   2000    1.6e+08 0.66393 0       1
0       404.86  404.86  5       4       5       100     100     80000   2000    1.6e+08 0.395198        0       1
0       90.4928 90.4928 5       0       5       625     625     3.125e+06       100     3.125e+08       3.45331 0       1
0       90.7187 90.7187 5       1       5       625     625     3.125e+06       100     3.125e+08       3.44471 0       1
0       118.388 118.388 5       2       5       625     625     3.125e+06       100     3.125e+08       2.63964 0       1
0       133.113 133.113 5       4       5       625     625     3.125e+06       100     3.125e+08       2.34762 0       1
0       87.3265 87.3265 5       0       5       1024    1024    8.38861e+06     50      4.1943e+08      4.80302 0       1
0       87.5918 87.5918 5       1       5       1024    1024    8.38861e+06     50      4.1943e+08      4.78847 0       1
0       118.953 118.953 5       2       5       1024    1024    8.38861e+06     50      4.1943e+08      3.52602 0       1
0       139.63  139.63  5       4       5       1024    1024    8.38861e+06     50      4.1943e+08      3.00386 0       1
2       85.6691 4.32449 5       0       5       25      25      5000    10000   2.52395e+06     0.583641        0       1
2       92.0329 4.64573 5       1       5       25      25      5000    10000   2.52395e+06     0.543284        0       1
2       90.2099 4.5537  5       2       5       25      25      5000    10000   2.52395e+06     0.554263        0       1
2       96.5805 4.87529 5       4       5       25      25      5000    10000   2.52395e+06     0.517703        0       1
2       405.028 20.3861 5       0       5       100     100     80000   2000    8.0532e+06      0.395034        0       1
2       379.909 19.1218 5       1       5       100     100     80000   2000    8.0532e+06      0.421153        0       1
2       416.138 20.9453 5       2       5       100     100     80000   2000    8.0532e+06      0.384488        0       1
2       468.56  23.5838 5       4       5       100     100     80000   2000    8.0532e+06      0.341472        0       1
2       1604.54 96.4328 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.19476 0       1
2       1448.64 87.0635 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.215719        0       1
2       803.978 48.3191 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.388692        0       1
2       947.811 56.9635 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.329707        0       1
2       1868.93 128.635 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.224423        0       1
2       1712.91 117.896 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.244864        0       1
2       674.624 46.4331 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.621725        0       1
2       986.988 67.9325 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.42496 0       1
3       123.085 6.2132  5       0       5       25      25      5000    10000   2.52395e+06     0.406224        0       1
3       92.2593 4.65716 5       1       5       25      25      5000    10000   2.52395e+06     0.541951        0       1
3       81.2146 4.09963 5       2       5       25      25      5000    10000   2.52395e+06     0.615653        0       1
3       61.1547 3.08703 5       4       5       25      25      5000    10000   2.52395e+06     0.817599        0       1
3       470.671 23.6901 5       0       5       100     100     80000   2000    8.0532e+06      0.33994 0       1
3       342.209 17.2243 5       1       5       100     100     80000   2000    8.0532e+06      0.46755 0       1
3       389.806 19.6199 5       2       5       100     100     80000   2000    8.0532e+06      0.410461        0       1
3       451.438 22.722  5       4       5       100     100     80000   2000    8.0532e+06      0.354423        0       1
3       1605.05 96.4635 5       0       5       625     625     3.125e+06       100     1.87812e+07     0.194698        0       1
3       1397.09 83.9648 5       1       5       625     625     3.125e+06       100     1.87812e+07     0.22368 0       1
3       1678.73 100.891 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.186153        0       1
3       2154.46 129.483 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.145048        0       1
3       1877.38 129.216 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.223413        0       1
3       1667.74 114.788 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.251496        0       1
3       2084.28 143.457 5       2       5       1024    1024    8.38861e+06     50      2.88686e+07     0.201235        0       1
3       2482.81 170.887 5       4       5       1024    1024    8.38861e+06     50      2.88686e+07     0.168934        0       1
0       77.9138 77.9138 5       0       5       25      25      5000    10000   5e+07   0.641735        1       1
0       75.3198 75.3198 5       1       5       25      25      5000    10000   5e+07   0.663836        1       1
0       76.6595 76.6595 5       2       5       25      25      5000    10000   5e+07   0.652235        1       1
0       52.3079 52.3079 5       4       5       25      25      5000    10000   5e+07   0.955879        1       1
0       182.062 182.062 5       0       5       100     100     80000   2000    1.6e+08 0.87882 1       1
0       171.236 171.236 5       1       5       100     100     80000   2000    1.6e+08 0.934382        1       1
0       267.991 267.991 5       2       5       100     100     80000   2000    1.6e+08 0.597034        1       1
0       408.701 408.701 5       4       5       100     100     80000   2000    1.6e+08 0.391484        1       1
0       89.1293 89.1293 5       0       5       625     625     3.125e+06       100     3.125e+08       3.50614 1       1
0       89.8562 89.8562 5       1       5       625     625     3.125e+06       100     3.125e+08       3.47778 1       1
0       119.265 119.265 5       2       5       625     625     3.125e+06       100     3.125e+08       2.62021 1       1
0       132.977 132.977 5       4       5       625     625     3.125e+06       100     3.125e+08       2.35002 1       1
0       87.599  87.599  5       0       5       1024    1024    8.38861e+06     50      4.1943e+08      4.78807 1       1
0       87.3743 87.3743 5       1       5       1024    1024    8.38861e+06     50      4.1943e+08      4.80038 1       1
0       119.847 119.847 5       2       5       1024    1024    8.38861e+06     50      4.1943e+08      3.49972 1       1
0       138.043 138.043 5       4       5       1024    1024    8.38861e+06     50      4.1943e+08      3.03841 1       1
2       122.159 6.16649 5       0       5       25      25      5000    10000   2.52395e+06     0.409301        1       1
2       92.3579 4.66214 5       1       5       25      25      5000    10000   2.52395e+06     0.541372        1       1
2       104.256 5.26275 5       2       5       25      25      5000    10000   2.52395e+06     0.479588        1       1
2       121.03  6.10948 5       4       5       25      25      5000    10000   2.52395e+06     0.41312 1       1
2       312.451 15.7264 5       0       5       100     100     80000   2000    8.0532e+06      0.512081        1       1
2       361.853 18.2129 5       1       5       100     100     80000   2000    8.0532e+06      0.442169        1       1
2       444.516 22.3736 5       2       5       100     100     80000   2000    8.0532e+06      0.359942        1       1
2       474.29  23.8722 5       4       5       100     100     80000   2000    8.0532e+06      0.337346        1       1
2       1589.67 95.539  5       0       5       625     625     3.125e+06       100     1.87812e+07     0.196582        1       1
2       1445.51 86.875  5       1       5       625     625     3.125e+06       100     1.87812e+07     0.216187        1       1
2       770.836 46.3272 5       2       5       625     625     3.125e+06       100     1.87812e+07     0.405404        1       1
2       885.776 53.2351 5       4       5       625     625     3.125e+06       100     1.87812e+07     0.352798        1       1
2       1880.3  129.417 5       0       5       1024    1024    8.38861e+06     50      2.88686e+07     0.223066        1       1
2       1707.08 117.495 5       1       5       1024    1024    8.38861e+06     50      2.88686e+07     0.245701        1       1
