algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	sndcn	fstprjn	dwtrate
0	66.35	66.35	5	0	5	25	25	5	5000	25000	0.377	1	0	0	50
0	64.99	64.99	5	1	5	25	25	5	5000	25000	0.385	1	0	0	50
0	53.03	53.03	5	2	5	25	25	5	5000	25000	0.471	1	0	0	50
0	55.67	55.67	5	4	5	25	25	5	5000	25000	0.449	1	0	0	50
0	208.1	208.1	5	0	5	100	100	80	1000	80000	0.384	1	0	0	50
0	202.6	202.6	5	1	5	100	100	80	1000	80000	0.395	1	0	0	50
0	105.8	105.8	5	2	5	100	100	80	1000	80000	0.756	1	0	0	50
0	97.17	97.17	5	4	5	100	100	80	1000	80000	0.823	1	0	0	50
0	238.3	238.3	5	0	5	625	625	3125	100	312500	1.31	1	0	0	50
0	234.3	234.3	5	1	5	625	625	3125	100	312500	1.33	1	0	0	50
0	128.2	128.2	5	2	5	625	625	3125	100	312500	2.44	1	0	0	50
0	96.5	96.5	5	4	5	625	625	3125	100	312500	3.24	1	0	0	50
0	170.7	170.7	5	0	5	1000	1000	8000	50	400000	2.34	1	0	0	50
0	168.9	168.9	5	1	5	1000	1000	8000	50	400000	2.37	1	0	0	50
0	94.39	94.39	5	2	5	1000	1000	8000	50	400000	4.24	1	0	0	50
0	95.48	95.48	5	4	5	1000	1000	8000	50	400000	4.19	1	0	0	50
2	105.8	5.317	5	0	5	25	25	5	5000	1256.8	0.236	1	0	0	50
2	96.5	4.851	5	1	5	25	25	5	5000	1256.8	0.259	1	0	0	50
2	54.22	2.726	5	2	5	25	25	5	5000	1256.8	0.461	1	0	0	50
2	51.1	2.569	5	4	5	25	25	5	5000	1256.8	0.489	1	0	0	50
2	225.4	11.67	5	0	5	100	100	80	1000	4142.4	0.355	1	0	0	50
2	240.2	12.44	5	1	5	100	100	80	1000	4142.4	0.333	1	0	0	50
2	95.42	4.941	5	2	5	100	100	80	1000	4142.4	0.838	1	0	0	50
2	79.43	4.113	5	4	5	100	100	80	1000	4142.4	1.01	1	0	0	50
2	290	17.33	5	0	5	625	625	3125	100	18676.2	1.08	1	0	0	50
2	369.9	22.1	5	1	5	625	625	3125	100	18676.2	0.845	1	0	0	50
2	106.1	6.339	5	2	5	625	625	3125	100	18676.2	2.95	1	0	0	50
2	77.27	4.618	5	4	5	625	625	3125	100	18676.2	4.04	1	0	0	50
2	407	28.14	5	0	5	1000	1000	8000	50	27656	0.983	1	0	0	50
2	399.1	27.59	5	1	5	1000	1000	8000	50	27656	1	1	0	0	50
2	113.2	7.829	5	2	5	1000	1000	8000	50	27656	3.53	1	0	0	50
2	83.15	5.749	5	4	5	1000	1000	8000	50	27656	4.81	1	0	0	50
3	77.79	3.911	5	0	5	25	25	5	5000	1256.8	0.321	1	0	0	50
3	91.92	4.621	5	1	5	25	25	5	5000	1256.8	0.272	1	0	0	50
3	47.12	2.369	5	2	5	25	25	5	5000	1256.8	0.531	1	0	0	50
3	49.03	2.465	5	4	5	25	25	5	5000	1256.8	0.51	1	0	0	50
3	308.1	15.95	5	0	5	100	100	80	1000	4142.4	0.26	1	0	0	50
3	223.3	11.56	5	1	5	100	100	80	1000	4142.4	0.358	1	0	0	50
3	101.3	5.243	5	2	5	100	100	80	1000	4142.4	0.79	1	0	0	50
3	78.34	4.056	5	4	5	100	100	80	1000	4142.4	1.02	1	0	0	50
3	290.1	17.34	5	0	5	625	625	3125	100	18676.2	1.08	1	0	0	50
3	281.5	16.83	5	1	5	625	625	3125	100	18676.2	1.11	1	0	0	50
3	104.8	6.266	5	2	5	625	625	3125	100	18676.2	2.98	1	0	0	50
3	77.99	4.661	5	4	5	625	625	3125	100	18676.2	4.01	1	0	0	50
3	312.5	21.6	5	0	5	1000	1000	8000	50	27656	1.28	1	0	0	50
3	308.2	21.31	5	1	5	1000	1000	8000	50	27656	1.3	1	0	0	50
3	93.05	6.434	5	2	5	1000	1000	8000	50	27656	4.3	1	0	0	50
3	80.69	5.579	5	4	5	1000	1000	8000	50	27656	4.96	1	0	0	50
