algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	sndcn	fstprjn	dwtrate
0	66.19	66.19	5	0	5	25	25	5	5000	25000	0.378	0	0	0	50
0	66.05	66.05	5	1	5	25	25	5	5000	25000	0.378	0	0	0	50
0	64.9	64.9	5	2	5	25	25	5	5000	25000	0.385	0	0	0	50
0	65.66	65.66	5	4	5	25	25	5	5000	25000	0.381	0	0	0	50
0	222.8	222.8	5	0	5	100	100	80	1000	80000	0.359	0	0	0	50
0	176.8	176.8	5	1	5	100	100	80	1000	80000	0.453	0	0	0	50
0	252.9	252.9	5	2	5	100	100	80	1000	80000	0.316	0	0	0	50
0	350.1	350.1	5	4	5	100	100	80	1000	80000	0.228	0	0	0	50
0	195.5	195.5	5	0	5	625	625	3125	100	312500	1.6	0	0	0	50
0	251.6	251.6	5	1	5	625	625	3125	100	312500	1.24	0	0	0	50
0	322.5	322.5	5	2	5	625	625	3125	100	312500	0.969	0	0	0	50
0	367.2	367.2	5	4	5	625	625	3125	100	312500	0.851	0	0	0	50
0	249	249	5	0	5	1000	1000	8000	50	400000	1.61	0	0	0	50
0	245.8	245.8	5	1	5	1000	1000	8000	50	400000	1.63	0	0	0	50
0	343.4	343.4	5	2	5	1000	1000	8000	50	400000	1.16	0	0	0	50
0	384	384	5	4	5	1000	1000	8000	50	400000	1.04	0	0	0	50
2	109.2	5.524	5	0	5	25	25	5	5000	1264.7	0.229	0	0	0	50
2	98.93	5.005	5	1	5	25	25	5	5000	1264.7	0.253	0	0	0	50
2	72.08	3.647	5	2	5	25	25	5	5000	1264.7	0.347	0	0	0	50
2	81.3	4.113	5	4	5	25	25	5	5000	1264.7	0.308	0	0	0	50
2	345.5	17.59	5	0	5	100	100	80	1000	4072.6	0.232	0	0	0	50
2	263.3	13.4	5	1	5	100	100	80	1000	4072.6	0.304	0	0	0	50
2	335.5	17.08	5	2	5	100	100	80	1000	4072.6	0.238	0	0	0	50
2	440.8	22.44	5	4	5	100	100	80	1000	4072.6	0.181	0	0	0	50
2	339.1	20.33	5	0	5	625	625	3125	100	18737.5	0.922	0	0	0	50
2	423.2	25.38	5	1	5	625	625	3125	100	18737.5	0.738	0	0	0	50
2	458.5	27.49	5	2	5	625	625	3125	100	18737.5	0.682	0	0	0	50
2	536.9	32.19	5	4	5	625	625	3125	100	18737.5	0.582	0	0	0	50
2	478.4	33.08	5	0	5	1000	1000	8000	50	27656	0.836	0	0	0	50
2	468.6	32.4	5	1	5	1000	1000	8000	50	27656	0.854	0	0	0	50
2	497.6	34.4	5	2	5	1000	1000	8000	50	27656	0.804	0	0	0	50
2	542.1	37.48	5	4	5	1000	1000	8000	50	27656	0.738	0	0	0	50
3	100.9	5.104	5	0	5	25	25	5	5000	1264.7	0.248	0	0	0	50
3	71.25	3.604	5	1	5	25	25	5	5000	1264.7	0.351	0	0	0	50
3	71.06	3.595	5	2	5	25	25	5	5000	1264.7	0.352	0	0	0	50
3	83.18	4.208	5	4	5	25	25	5	5000	1264.7	0.301	0	0	0	50
3	344.3	17.53	5	0	5	100	100	80	1000	4072.6	0.232	0	0	0	50
3	232.1	11.82	5	1	5	100	100	80	1000	4072.6	0.345	0	0	0	50
3	465	23.67	5	2	5	100	100	80	1000	4072.6	0.172	0	0	0	50
3	374.6	19.07	5	4	5	100	100	80	1000	4072.6	0.214	0	0	0	50
3	432.3	25.92	5	0	5	625	625	3125	100	18737.5	0.723	0	0	0	50
3	420.1	25.19	5	1	5	625	625	3125	100	18737.5	0.744	0	0	0	50
3	469.7	28.16	5	2	5	625	625	3125	100	18737.5	0.665	0	0	0	50
3	547.1	32.81	5	4	5	625	625	3125	100	18737.5	0.571	0	0	0	50
3	478.8	33.1	5	0	5	1000	1000	8000	50	27656	0.835	0	0	0	50
3	464.4	32.11	5	1	5	1000	1000	8000	50	27656	0.861	0	0	0	50
3	522.2	36.1	5	2	5	1000	1000	8000	50	27656	0.766	0	0	0	50
3	582.9	40.3	5	4	5	1000	1000	8000	50	27656	0.686	0	0	0	50
