algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	44.58	44.58	5	0	5	25	25	5	5000	25000	0.561	0	0	5	50
0	42.58	42.58	5	1	5	25	25	5	5000	25000	0.587	0	0	5	50
0	36.06	36.06	5	2	5	25	25	5	5000	25000	0.693	0	0	5	50
0	50.22	50.22	5	0	5	100	100	80	1000	80000	1.59	0	0	5	50
0	49.35	49.35	5	1	5	100	100	80	1000	80000	1.62	0	0	5	50
0	81.55	81.55	5	2	5	100	100	80	1000	80000	0.981	0	0	5	50
0	52.68	52.68	5	0	5	625	625	3125	100	312500	5.93	0	0	5	50
0	52.49	52.49	5	1	5	625	625	3125	100	312500	5.95	0	0	5	50
0	94	94	5	2	5	625	625	3125	100	312500	3.32	0	0	5	50
0	52.08	52.08	5	0	5	1000	1000	8000	50	400000	7.68	0	0	5	50
0	51.76	51.76	5	1	5	1000	1000	8000	50	400000	7.73	0	0	5	50
0	90.86	90.86	5	2	5	1000	1000	8000	50	400000	4.4	0	0	5	50
2	83.37	4.194	5	0	5	25	25	5	5000	1257.65	0.3	0	0	5	50
2	77.6	3.904	5	1	5	25	25	5	5000	1257.65	0.322	0	0	5	50
2	47.48	2.412	5	2	5	25	25	5	5000	1269.8	0.527	0	0	5	50
2	96.1	4.947	5	0	5	100	100	80	1000	4118.4	0.832	0	0	5	50
2	93.27	4.802	5	1	5	100	100	80	1000	4118.4	0.858	0	0	5	50
2	123.2	6.267	5	2	5	100	100	80	1000	4069.6	0.649	0	0	5	50
2	97.75	5.837	5	0	5	625	625	3125	100	18660	3.2	0	0	5	50
2	97.02	5.793	5	1	5	625	625	3125	100	18660	3.22	0	0	5	50
2	167.5	9.998	5	2	5	625	625	3125	100	18648.8	1.87	0	0	5	50
2	95.96	6.649	5	0	5	1000	1000	8000	50	27716	4.17	0	0	5	50
2	94.85	6.572	5	1	5	1000	1000	8000	50	27716	4.22	0	0	5	50
2	158.4	10.98	5	2	5	1000	1000	8000	50	27716	2.52	0	0	5	50
3	85.43	4.298	5	0	5	25	25	5	5000	1257.65	0.293	0	0	5	50
3	67.49	3.395	5	1	5	25	25	5	5000	1257.65	0.37	0	0	5	50
3	29.19	1.475	5	2	5	25	25	5	5000	1263.15	0.857	0	0	5	50
3	96.58	4.972	5	0	5	100	100	80	1000	4118.4	0.828	0	0	5	50
3	89.23	4.594	5	1	5	100	100	80	1000	4118.4	0.897	0	0	5	50
3	110.8	5.592	5	2	5	100	100	80	1000	4038.6	0.722	0	0	5	50
3	97.09	5.797	5	0	5	625	625	3125	100	18660	3.22	0	0	5	50
3	94.36	5.635	5	1	5	625	625	3125	100	18660	3.31	0	0	5	50
3	156.5	9.355	5	2	5	625	625	3125	100	18680	2	0	0	5	50
3	92.82	6.432	5	0	5	1000	1000	8000	50	27716	4.31	0	0	5	50
3	93.51	6.479	5	1	5	1000	1000	8000	50	27716	4.28	0	0	5	50
3	159.3	11.04	5	2	5	1000	1000	8000	50	27716	2.51	0	0	5	50
