algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	46.41	46.41	5	0	5	25	25	5	5000	25000	0.539	0	0	5	50
0	46.79	46.79	5	1	5	25	25	5	5000	25000	0.534	0	0	5	50
0	48.93	48.93	5	2	5	25	25	5	5000	25000	0.511	0	0	5	50
0	46.41	46.41	5	4	5	25	25	5	5000	25000	0.539	0	0	5	50
0	94.69	94.69	5	0	5	100	100	80	1000	80000	0.845	0	0	5	50
0	92.85	92.85	5	1	5	100	100	80	1000	80000	0.862	0	0	5	50
0	137.6	137.6	5	2	5	100	100	80	1000	80000	0.581	0	0	5	50
0	208.9	208.9	5	4	5	100	100	80	1000	80000	0.383	0	0	5	50
0	112.7	112.7	5	0	5	625	625	3125	100	312500	2.77	0	0	5	50
0	112	112	5	1	5	625	625	3125	100	312500	2.79	0	0	5	50
0	190.9	190.9	5	2	5	625	625	3125	100	312500	1.64	0	0	5	50
0	309.7	309.7	5	4	5	625	625	3125	100	312500	1.01	0	0	5	50
0	106.8	106.8	5	0	5	1000	1000	8000	50	400000	3.75	0	0	5	50
0	87.95	87.95	5	1	5	1000	1000	8000	50	400000	4.55	0	0	5	50
0	190.7	190.7	5	2	5	1000	1000	8000	50	400000	2.1	0	0	5	50
0	328.8	328.8	5	4	5	1000	1000	8000	50	400000	1.22	0	0	5	50
2	82.81	4.175	5	0	5	25	25	5	5000	1260.6	0.302	0	0	5	50
2	59.16	2.983	5	1	5	25	25	5	5000	1260.6	0.423	0	0	5	50
2	65.25	3.29	5	2	5	25	25	5	5000	1260.6	0.383	0	0	5	50
2	65.16	3.286	5	4	5	25	25	5	5000	1260.6	0.384	0	0	5	50
2	179.9	9.131	5	0	5	100	100	80	1000	4061.2	0.445	0	0	5	50
2	171.5	8.705	5	1	5	100	100	80	1000	4061.2	0.467	0	0	5	50
2	185.1	9.396	5	2	5	100	100	80	1000	4061.2	0.432	0	0	5	50
2	251.7	12.78	5	4	5	100	100	80	1000	4061.2	0.318	0	0	5	50
2	180.1	10.92	5	0	5	625	625	3125	100	18947.5	1.74	0	0	5	50
2	179.5	10.89	5	1	5	625	625	3125	100	18947.5	1.74	0	0	5	50
2	202.5	12.28	5	2	5	625	625	3125	100	18947.5	1.54	0	0	5	50
2	186.3	11.3	5	4	5	625	625	3125	100	18947.5	1.68	0	0	5	50
2	176.6	12.27	5	0	5	1000	1000	8000	50	27788	2.26	0	0	5	50
2	175	12.16	5	1	5	1000	1000	8000	50	27788	2.29	0	0	5	50
2	185.2	12.87	5	2	5	1000	1000	8000	50	27788	2.16	0	0	5	50
2	168.3	11.69	5	4	5	1000	1000	8000	50	27788	2.38	0	0	5	50
3	82.53	4.161	5	0	5	25	25	5	5000	1260.6	0.303	0	0	5	50
3	66.82	3.369	5	1	5	25	25	5	5000	1260.6	0.374	0	0	5	50
3	64.53	3.254	5	2	5	25	25	5	5000	1260.6	0.387	0	0	5	50
3	84.87	4.279	5	4	5	25	25	5	5000	1260.6	0.295	0	0	5	50
3	179.8	9.126	5	0	5	100	100	80	1000	4061.2	0.445	0	0	5	50
3	171.3	8.696	5	1	5	100	100	80	1000	4061.2	0.467	0	0	5	50
3	219.1	11.12	5	2	5	100	100	80	1000	4061.2	0.365	0	0	5	50
3	291.2	14.78	5	4	5	100	100	80	1000	4061.2	0.275	0	0	5	50
3	182.2	11.05	5	0	5	625	625	3125	100	18947.5	1.72	0	0	5	50
3	179.5	10.88	5	1	5	625	625	3125	100	18947.5	1.74	0	0	5	50
3	285	17.28	5	2	5	625	625	3125	100	18947.5	1.1	0	0	5	50
3	406.7	24.66	5	4	5	625	625	3125	100	18947.5	0.768	0	0	5	50
3	126.7	8.799	5	0	5	1000	1000	8000	50	27788	3.16	0	0	5	50
3	173.1	12.03	5	1	5	1000	1000	8000	50	27788	2.31	0	0	5	50
3	274.6	19.08	5	2	5	1000	1000	8000	50	27788	1.46	0	0	5	50
3	412.2	28.64	5	4	5	1000	1000	8000	50	27788	0.97	0	0	5	50
