algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	68.7	68.7	5	0	5	25	25	5	5000	25000	0.364	0	0	5	50
0	71.02	71.02	5	1	5	25	25	5	5000	25000	0.352	0	0	5	50
0	77.83	77.83	5	2	5	25	25	5	5000	25000	0.321	0	0	5	50
0	91.58	91.58	5	4	5	25	25	5	5000	25000	0.273	0	0	5	50
0	197.7	197.7	5	0	5	100	100	80	1000	80000	0.405	0	0	5	50
0	190	190	5	1	5	100	100	80	1000	80000	0.421	0	0	5	50
0	281.3	281.3	5	2	5	100	100	80	1000	80000	0.284	0	0	5	50
0	356.5	356.5	5	4	5	100	100	80	1000	80000	0.224	0	0	5	50
0	231.9	231.9	5	0	5	625	625	3125	100	312500	1.35	0	0	5	50
0	230.8	230.8	5	1	5	625	625	3125	100	312500	1.35	0	0	5	50
0	358.1	358.1	5	2	5	625	625	3125	100	312500	0.873	0	0	5	50
0	423.7	423.7	5	4	5	625	625	3125	100	312500	0.738	0	0	5	50
0	187.3	187.3	5	0	5	1000	1000	8000	50	400000	2.14	0	0	5	50
0	253.8	253.8	5	1	5	1000	1000	8000	50	400000	1.58	0	0	5	50
0	366	366	5	2	5	1000	1000	8000	50	400000	1.09	0	0	5	50
0	418.9	418.9	5	4	5	1000	1000	8000	50	400000	0.955	0	0	5	50
2	112.7	5.682	5	0	5	25	25	5	5000	1260.6	0.222	0	0	5	50
2	109.6	5.525	5	1	5	25	25	5	5000	1260.6	0.228	0	0	5	50
2	86.22	4.347	5	2	5	25	25	5	5000	1260.6	0.29	0	0	5	50
2	89.35	4.505	5	4	5	25	25	5	5000	1260.6	0.28	0	0	5	50
2	364.1	18.48	5	0	5	100	100	80	1000	4061.2	0.22	0	0	5	50
2	359.9	18.27	5	1	5	100	100	80	1000	4061.2	0.222	0	0	5	50
2	402.8	20.45	5	2	5	100	100	80	1000	4061.2	0.199	0	0	5	50
2	583.4	29.61	5	4	5	100	100	80	1000	4061.2	0.137	0	0	5	50
2	412.4	25	5	0	5	625	625	3125	100	18947.5	0.758	0	0	5	50
2	411.4	24.95	5	1	5	625	625	3125	100	18947.5	0.76	0	0	5	50
2	506.6	30.72	5	2	5	625	625	3125	100	18947.5	0.617	0	0	5	50
2	583.5	35.38	5	4	5	625	625	3125	100	18947.5	0.536	0	0	5	50
2	400.9	27.85	5	0	5	1000	1000	8000	50	27788	0.998	0	0	5	50
2	400.2	27.8	5	1	5	1000	1000	8000	50	27788	1	0	0	5	50
2	490.5	34.07	5	2	5	1000	1000	8000	50	27788	0.816	0	0	5	50
2	567.5	39.42	5	4	5	1000	1000	8000	50	27788	0.705	0	0	5	50
3	112.5	5.672	5	0	5	25	25	5	5000	1260.6	0.222	0	0	5	50
3	86.45	4.359	5	1	5	25	25	5	5000	1260.6	0.289	0	0	5	50
3	110.4	5.565	5	2	5	25	25	5	5000	1260.6	0.227	0	0	5	50
3	59.83	3.017	5	4	5	25	25	5	5000	1260.6	0.418	0	0	5	50
3	244.4	12.41	5	0	5	100	100	80	1000	4061.2	0.327	0	0	5	50
3	296.5	15.05	5	1	5	100	100	80	1000	4061.2	0.27	0	0	5	50
3	399.4	20.27	5	2	5	100	100	80	1000	4061.2	0.2	0	0	5	50
3	600.8	30.5	5	4	5	100	100	80	1000	4061.2	0.133	0	0	5	50
3	357.4	21.67	5	0	5	625	625	3125	100	18947.5	0.874	0	0	5	50
3	403.7	24.48	5	1	5	625	625	3125	100	18947.5	0.774	0	0	5	50
3	522.3	31.67	5	2	5	625	625	3125	100	18947.5	0.598	0	0	5	50
3	612.7	37.15	5	4	5	625	625	3125	100	18947.5	0.51	0	0	5	50
3	400.1	27.8	5	0	5	1000	1000	8000	50	27788	1	0	0	5	50
3	399.4	27.75	5	1	5	1000	1000	8000	50	27788	1	0	0	5	50
3	486.6	33.81	5	2	5	1000	1000	8000	50	27788	0.822	0	0	5	50
3	595.3	41.36	5	4	5	1000	1000	8000	50	27788	0.672	0	0	5	50
