algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	73.12	73.12	5	0	5	25	25	5	5000	25000	0.342	0	0	0	0
0	94.96	94.96	5	1	5	25	25	5	5000	25000	0.263	0	0	0	0
0	79.48	79.48	5	2	5	25	25	5	5000	25000	0.315	0	0	0	0
0	75.03	75.03	5	4	5	25	25	5	5000	25000	0.333	0	0	0	0
0	203.3	203.3	5	0	5	100	100	80	1000	80000	0.393	0	0	0	0
0	235.4	235.4	5	1	5	100	100	80	1000	80000	0.34	0	0	0	0
0	307.6	307.6	5	2	5	100	100	80	1000	80000	0.26	0	0	0	0
0	436.8	436.8	5	4	5	100	100	80	1000	80000	0.183	0	0	0	0
0	366.7	366.7	5	0	5	625	625	3125	100	312500	0.852	0	0	0	0
0	366.7	366.7	5	1	5	625	625	3125	100	312500	0.852	0	0	0	0
0	626	626	5	2	5	625	625	3125	100	312500	0.499	0	0	0	0
0	674	674	5	4	5	625	625	3125	100	312500	0.464	0	0	0	0
0	383.1	383.1	5	0	5	1000	1000	8000	50	400000	1.04	0	0	0	0
0	383.8	383.8	5	1	5	1000	1000	8000	50	400000	1.04	0	0	0	0
0	674.8	674.8	5	2	5	1000	1000	8000	50	400000	0.593	0	0	0	0
0	794.4	794.4	5	4	5	1000	1000	8000	50	400000	0.504	0	0	0	0
2	121.6	6.13	5	0	5	25	25	5	5000	1260.6	0.206	0	0	0	0
2	118.4	5.971	5	1	5	25	25	5	5000	1260.6	0.211	0	0	0	0
2	88.03	4.439	5	2	5	25	25	5	5000	1260.6	0.284	0	0	0	0
2	96.92	4.887	5	4	5	25	25	5	5000	1260.6	0.258	0	0	0	0
2	458.3	23.26	5	0	5	100	100	80	1000	4061.2	0.175	0	0	0	0
2	358.8	18.21	5	1	5	100	100	80	1000	4061.2	0.223	0	0	0	0
2	474.3	24.08	5	2	5	100	100	80	1000	4061.2	0.169	0	0	0	0
2	740.5	37.59	5	4	5	100	100	80	1000	4061.2	0.108	0	0	0	0
2	936.4	56.77	5	0	5	625	625	3125	100	18947.5	0.334	0	0	0	0
2	934.5	56.66	5	1	5	625	625	3125	100	18947.5	0.334	0	0	0	0
2	1113	67.48	5	2	5	625	625	3125	100	18947.5	0.281	0	0	0	0
2	1462	88.67	5	4	5	625	625	3125	100	18947.5	0.214	0	0	0	0
2	1000	69.48	5	0	5	1000	1000	8000	50	27788	0.4	0	0	0	0
2	994.7	69.1	5	1	5	1000	1000	8000	50	27788	0.402	0	0	0	0
2	1171	81.38	5	2	5	1000	1000	8000	50	27788	0.341	0	0	0	0
2	1448	100.6	5	4	5	1000	1000	8000	50	27788	0.276	0	0	0	0
3	113.5	5.722	5	0	5	25	25	5	5000	1260.6	0.22	0	0	0	0
3	82.89	4.18	5	1	5	25	25	5	5000	1260.6	0.302	0	0	0	0
3	85.46	4.309	5	2	5	25	25	5	5000	1260.6	0.293	0	0	0	0
3	66.02	3.329	5	4	5	25	25	5	5000	1260.6	0.379	0	0	0	0
3	326.1	16.56	5	0	5	100	100	80	1000	4061.2	0.245	0	0	0	0
3	445.3	22.61	5	1	5	100	100	80	1000	4061.2	0.18	0	0	0	0
3	474.4	24.08	5	2	5	100	100	80	1000	4061.2	0.169	0	0	0	0
3	600.1	30.46	5	4	5	100	100	80	1000	4061.2	0.133	0	0	0	0
3	902.5	54.72	5	0	5	625	625	3125	100	18947.5	0.346	0	0	0	0
3	928.8	56.32	5	1	5	625	625	3125	100	18947.5	0.336	0	0	0	0
3	1198	72.65	5	2	5	625	625	3125	100	18947.5	0.261	0	0	0	0
3	1600	96.99	5	4	5	625	625	3125	100	18947.5	0.195	0	0	0	0
3	821.5	57.07	5	0	5	1000	1000	8000	50	27788	0.487	0	0	0	0
3	992.6	68.95	5	1	5	1000	1000	8000	50	27788	0.403	0	0	0	0
3	1262	87.64	5	2	5	1000	1000	8000	50	27788	0.317	0	0	0	0
3	1589	110.4	5	4	5	1000	1000	8000	50	27788	0.252	0	0	0	0
