algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate
0	82.56	82.56	5	0	5	25	25	5	5000	25000	0.303	0	0	0	50
0	93.48	93.48	5	1	5	25	25	5	5000	25000	0.267	0	0	0	50
0	83.78	83.78	5	2	5	25	25	5	5000	25000	0.298	0	0	0	50
0	90.25	90.25	5	4	5	25	25	5	5000	25000	0.277	0	0	0	50
0	212.8	212.8	5	0	5	100	100	80	1000	80000	0.376	0	0	0	50
0	226.1	226.1	5	1	5	100	100	80	1000	80000	0.354	0	0	0	50
0	321.5	321.5	5	2	5	100	100	80	1000	80000	0.249	0	0	0	50
0	475.4	475.4	5	4	5	100	100	80	1000	80000	0.168	0	0	0	50
0	313.7	313.7	5	0	5	625	625	3125	100	312500	0.996	0	0	0	50
0	423.4	423.4	5	1	5	625	625	3125	100	312500	0.738	0	0	0	50
0	598.9	598.9	5	2	5	625	625	3125	100	312500	0.522	0	0	0	50
0	656.7	656.7	5	4	5	625	625	3125	100	312500	0.476	0	0	0	50
0	386.2	386.2	5	0	5	1000	1000	8000	50	400000	1.04	0	0	0	50
0	384.6	384.6	5	1	5	1000	1000	8000	50	400000	1.04	0	0	0	50
0	548.7	548.7	5	2	5	1000	1000	8000	50	400000	0.729	0	0	0	50
0	658.8	658.8	5	4	5	1000	1000	8000	50	400000	0.607	0	0	0	50
2	118.3	5.966	5	0	5	25	25	5	5000	1260.6	0.211	0	0	0	50
2	91.83	4.63	5	1	5	25	25	5	5000	1260.6	0.272	0	0	0	50
2	95.42	4.811	5	2	5	25	25	5	5000	1260.6	0.262	0	0	0	50
2	74.79	3.771	5	4	5	25	25	5	5000	1260.6	0.334	0	0	0	50
2	304.1	15.44	5	0	5	100	100	80	1000	4061.2	0.263	0	0	0	50
2	285.7	14.5	5	1	5	100	100	80	1000	4061.2	0.28	0	0	0	50
2	455.6	23.13	5	2	5	100	100	80	1000	4061.2	0.176	0	0	0	50
2	691.1	35.08	5	4	5	100	100	80	1000	4061.2	0.116	0	0	0	50
2	636.6	38.6	5	0	5	625	625	3125	100	18947.5	0.491	0	0	0	50
2	533.4	32.34	5	1	5	625	625	3125	100	18947.5	0.586	0	0	0	50
2	793.9	48.13	5	2	5	625	625	3125	100	18947.5	0.394	0	0	0	50
2	1137	68.97	5	4	5	625	625	3125	100	18947.5	0.275	0	0	0	50
2	500.4	34.76	5	0	5	1000	1000	8000	50	27788	0.799	0	0	0	50
2	648.9	45.08	5	1	5	1000	1000	8000	50	27788	0.616	0	0	0	50
2	824.5	57.28	5	2	5	1000	1000	8000	50	27788	0.485	0	0	0	50
2	1089	75.62	5	4	5	1000	1000	8000	50	27788	0.367	0	0	0	50
3	118.4	5.968	5	0	5	25	25	5	5000	1260.6	0.211	0	0	0	50
3	114.3	5.762	5	1	5	25	25	5	5000	1260.6	0.219	0	0	0	50
3	88.88	4.482	5	2	5	25	25	5	5000	1260.6	0.281	0	0	0	50
3	117.3	5.916	5	4	5	25	25	5	5000	1260.6	0.213	0	0	0	50
3	393.9	20	5	0	5	100	100	80	1000	4061.2	0.203	0	0	0	50
3	281.8	14.31	5	1	5	100	100	80	1000	4061.2	0.284	0	0	0	50
3	451.5	22.92	5	2	5	100	100	80	1000	4061.2	0.177	0	0	0	50
3	410.1	20.82	5	4	5	100	100	80	1000	4061.2	0.195	0	0	0	50
3	685.7	41.57	5	0	5	625	625	3125	100	18947.5	0.456	0	0	0	50
3	678	41.11	5	1	5	625	625	3125	100	18947.5	0.461	0	0	0	50
3	945.6	57.33	5	2	5	625	625	3125	100	18947.5	0.33	0	0	0	50
3	1235	74.88	5	4	5	625	625	3125	100	18947.5	0.253	0	0	0	50
3	652.3	45.32	5	0	5	1000	1000	8000	50	27788	0.613	0	0	0	50
3	648.2	45.03	5	1	5	1000	1000	8000	50	27788	0.617	0	0	0	50
3	892.5	62	5	2	5	1000	1000	8000	50	27788	0.448	0	0	0	50
3	1151	79.94	5	4	5	1000	1000	8000	50	27788	0.348	0	0	0	50
