algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	70.02	70.02	5	0	5	25	25	5	5000	25000	0.357	0	0	5	50	recv
0	72.19	72.19	5	1	5	25	25	5	5000	25000	0.346	0	0	5	50	recv
0	79.6	79.6	5	2	5	25	25	5	5000	25000	0.314	0	0	5	50	recv
0	72.05	72.05	5	4	5	25	25	5	5000	25000	0.347	0	0	5	50	recv
0	214.2	214.2	5	0	5	100	100	80	1000	80000	0.373	0	0	5	50	recv
0	197.4	197.4	5	1	5	100	100	80	1000	80000	0.405	0	0	5	50	recv
0	273	273	5	2	5	100	100	80	1000	80000	0.293	0	0	5	50	recv
0	299	299	5	4	5	100	100	80	1000	80000	0.268	0	0	5	50	recv
0	174.4	174.4	5	0	5	625	625	3125	100	312500	1.79	0	0	5	50	recv
0	209.7	209.7	5	1	5	625	625	3125	100	312500	1.49	0	0	5	50	recv
0	257.4	257.4	5	2	5	625	625	3125	100	312500	1.21	0	0	5	50	recv
0	327.1	327.1	5	4	5	625	625	3125	100	312500	0.956	0	0	5	50	recv
0	155	155	5	0	5	1000	1000	8000	50	400000	2.58	0	0	5	50	recv
0	210.9	210.9	5	1	5	1000	1000	8000	50	400000	1.9	0	0	5	50	recv
0	302.6	302.6	5	2	5	1000	1000	8000	50	400000	1.32	0	0	5	50	recv
0	338.8	338.8	5	4	5	1000	1000	8000	50	400000	1.18	0	0	5	50	recv
2	89.93	4.535	5	0	5	25	25	5	5000	1260.6	0.278	0	0	5	50	recv
2	74.36	3.75	5	1	5	25	25	5	5000	1260.6	0.336	0	0	5	50	recv
2	77.34	3.9	5	2	5	25	25	5	5000	1260.6	0.323	0	0	5	50	recv
2	55.75	2.811	5	4	5	25	25	5	5000	1260.6	0.448	0	0	5	50	recv
2	337.2	17.12	5	0	5	100	100	80	1000	4061.2	0.237	0	0	5	50	recv
2	274.4	13.93	5	1	5	100	100	80	1000	4061.2	0.292	0	0	5	50	recv
2	337.2	17.12	5	2	5	100	100	80	1000	4061.2	0.237	0	0	5	50	recv
2	407.7	20.7	5	4	5	100	100	80	1000	4061.2	0.196	0	0	5	50	recv
2	362.1	21.96	5	0	5	625	625	3125	100	18947.5	0.863	0	0	5	50	recv
2	292.7	17.75	5	1	5	625	625	3125	100	18947.5	1.07	0	0	5	50	recv
2	312.8	18.97	5	2	5	625	625	3125	100	18947.5	0.999	0	0	5	50	recv
2	368.5	22.34	5	4	5	625	625	3125	100	18947.5	0.848	0	0	5	50	recv
2	350	24.31	5	0	5	1000	1000	8000	50	27788	1.14	0	0	5	50	recv
2	348.8	24.23	5	1	5	1000	1000	8000	50	27788	1.15	0	0	5	50	recv
2	289.1	20.08	5	2	5	1000	1000	8000	50	27788	1.38	0	0	5	50	recv
2	346.6	24.08	5	4	5	1000	1000	8000	50	27788	1.15	0	0	5	50	recv
3	113.8	5.74	5	0	5	25	25	5	5000	1260.6	0.22	0	0	5	50	recv
3	85.47	4.31	5	1	5	25	25	5	5000	1260.6	0.292	0	0	5	50	recv
