algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	62.42	62.42	5	0	5	25	25	5	5000	25000	0.401	0	0	5	50	recv
0	60.78	60.78	5	1	5	25	25	5	5000	25000	0.411	0	0	5	50	recv
0	44.71	44.71	5	2	5	25	25	5	5000	25000	0.559	0	0	5	50	recv
0	75.64	75.64	5	0	5	100	100	80	1000	80000	1.06	0	0	5	50	recv
0	74.73	74.73	5	1	5	100	100	80	1000	80000	1.07	0	0	5	50	recv
0	123	123	5	2	5	100	100	80	1000	80000	0.65	0	0	5	50	recv
0	68.46	68.46	5	0	5	625	625	3125	100	312500	4.56	0	0	5	50	recv
0	69.29	69.29	5	1	5	625	625	3125	100	312500	4.51	0	0	5	50	recv
0	124.3	124.3	5	2	5	625	625	3125	100	312500	2.51	0	0	5	50	recv
0	69.84	69.84	5	0	5	1000	1000	8000	50	400000	5.73	0	0	5	50	recv
0	69.82	69.82	5	1	5	1000	1000	8000	50	400000	5.73	0	0	5	50	recv
0	123	123	5	2	5	1000	1000	8000	50	400000	3.25	0	0	5	50	recv
2	123.3	6.187	5	0	5	25	25	5	5000	1254.6	0.203	0	0	5	50	recv
2	122.5	6.147	5	1	5	25	25	5	5000	1254.6	0.204	0	0	5	50	recv
2	56.24	2.822	5	2	5	25	25	5	5000	1254.6	0.445	0	0	5	50	recv
2	139.8	7.123	5	0	5	100	100	80	1000	4075.2	0.572	0	0	5	50	recv
2	137.7	7.016	5	1	5	100	100	80	1000	4075.2	0.581	0	0	5	50	recv
2	186.6	9.508	5	2	5	100	100	80	1000	4075.2	0.429	0	0	5	50	recv
2	119.6	7.093	5	0	5	625	625	3125	100	18533.8	2.61	0	0	5	50	recv
2	119.5	7.087	5	1	5	625	625	3125	100	18533.8	2.62	0	0	5	50	recv
2	187.4	11.12	5	2	5	625	625	3125	100	18533.8	1.67	0	0	5	50	recv
2	91.99	6.396	5	0	5	1000	1000	8000	50	27814	4.35	0	0	5	50	recv
2	92.03	6.399	5	1	5	1000	1000	8000	50	27814	4.35	0	0	5	50	recv
2	148.9	10.35	5	2	5	1000	1000	8000	50	27814	2.69	0	0	5	50	recv
3	118.6	5.953	5	0	5	25	25	5	5000	1254.6	0.211	0	0	5	50	recv
3	111.9	5.617	5	1	5	25	25	5	5000	1254.6	0.223	0	0	5	50	recv
3	53.13	2.666	5	2	5	25	25	5	5000	1254.6	0.471	0	0	5	50	recv
3	139.6	7.111	5	0	5	100	100	80	1000	4075.2	0.573	0	0	5	50	recv
3	132.8	6.764	5	1	5	100	100	80	1000	4075.2	0.602	0	0	5	50	recv
3	186.4	9.497	5	2	5	100	100	80	1000	4075.2	0.429	0	0	5	50	recv
3	119.7	7.099	5	0	5	625	625	3125	100	18533.8	2.61	0	0	5	50	recv
3	116.3	6.898	5	1	5	625	625	3125	100	18533.8	2.69	0	0	5	50	recv
3	201.2	11.93	5	2	5	625	625	3125	100	18533.8	1.55	0	0	5	50	recv
3	92.2	6.411	5	0	5	1000	1000	8000	50	27814	4.34	0	0	5	50	recv
3	91.84	6.386	5	1	5	1000	1000	8000	50	27814	4.36	0	0	5	50	recv
3	156.9	10.91	5	2	5	1000	1000	8000	50	27814	2.55	0	0	5	50	recv
0	78.88	78.88	5	0	5	25	25	5	5000	25000	0.317	0	0	0	50	recv
0	76.49	76.49	5	1	5	25	25	5	5000	25000	0.327	0	0	0	50	recv
0	51.69	51.69	5	2	5	25	25	5	5000	25000	0.484	0	0	0	50	recv
0	101.6	101.6	5	0	5	100	100	80	1000	80000	0.787	0	0	0	50	recv
0	100.8	100.8	5	1	5	100	100	80	1000	80000	0.794	0	0	0	50	recv
0	164	164	5	2	5	100	100	80	1000	80000	0.488	0	0	0	50	recv
0	91.13	91.13	5	0	5	625	625	3125	100	312500	3.43	0	0	0	50	recv
0	91.09	91.09	5	1	5	625	625	3125	100	312500	3.43	0	0	0	50	recv
0	173.9	173.9	5	2	5	625	625	3125	100	312500	1.8	0	0	0	50	recv
0	90.9	90.9	5	0	5	1000	1000	8000	50	400000	4.4	0	0	0	50	recv
0	90.91	90.91	5	1	5	1000	1000	8000	50	400000	4.4	0	0	0	50	recv
0	169.3	169.3	5	2	5	1000	1000	8000	50	400000	2.36	0	0	0	50	recv
2	226	11.34	5	0	5	25	25	5	5000	1254.6	0.111	0	0	0	50	recv
2	206.7	10.37	5	1	5	25	25	5	5000	1254.6	0.121	0	0	0	50	recv
2	66.89	3.357	5	2	5	25	25	5	5000	1254.6	0.374	0	0	0	50	recv
2	302.2	15.4	5	0	5	100	100	80	1000	4075.2	0.265	0	0	0	50	recv
2	295.4	15.05	5	1	5	100	100	80	1000	4075.2	0.271	0	0	0	50	recv
2	331.2	16.87	5	2	5	100	100	80	1000	4075.2	0.242	0	0	0	50	recv
2	204.8	12.15	5	0	5	625	625	3125	100	18533.8	1.53	0	0	0	50	recv
2	203.9	12.1	5	1	5	625	625	3125	100	18533.8	1.53	0	0	0	50	recv
2	296.3	17.57	5	2	5	625	625	3125	100	18533.8	1.05	0	0	0	50	recv
2	132.6	9.218	5	0	5	1000	1000	8000	50	27814	3.02	0	0	0	50	recv
2	132.1	9.188	5	1	5	1000	1000	8000	50	27814	3.03	0	0	0	50	recv
2	211.1	14.68	5	2	5	1000	1000	8000	50	27814	1.89	0	0	0	50	recv
3	225.8	11.33	5	0	5	25	25	5	5000	1254.6	0.111	0	0	0	50	recv
3	182.3	9.149	5	1	5	25	25	5	5000	1254.6	0.137	0	0	0	50	recv
3	61.68	3.095	5	2	5	25	25	5	5000	1254.6	0.405	0	0	0	50	recv
3	302	15.39	5	0	5	100	100	80	1000	4075.2	0.265	0	0	0	50	recv
3	272.3	13.87	5	1	5	100	100	80	1000	4075.2	0.294	0	0	0	50	recv
3	324.5	16.53	5	2	5	100	100	80	1000	4075.2	0.247	0	0	0	50	recv
3	204.9	12.15	5	0	5	625	625	3125	100	18533.8	1.53	0	0	0	50	recv
3	193.2	11.46	5	1	5	625	625	3125	100	18533.8	1.62	0	0	0	50	recv
3	335.9	19.92	5	2	5	625	625	3125	100	18533.8	0.93	0	0	0	50	recv
3	132.5	9.214	5	0	5	1000	1000	8000	50	27814	3.02	0	0	0	50	recv
3	131.5	9.145	5	1	5	1000	1000	8000	50	27814	3.04	0	0	0	50	recv
3	227.2	15.8	5	2	5	1000	1000	8000	50	27814	1.76	0	0	0	50	recv
0	91.57	91.57	5	0	5	25	25	5	5000	25000	0.273	0	0	0	0	recv
0	88.2	88.2	5	1	5	25	25	5	5000	25000	0.283	0	0	0	0	recv
0	54.8	54.8	5	2	5	25	25	5	5000	25000	0.456	0	0	0	0	recv
0	124	124	5	0	5	100	100	80	1000	80000	0.645	0	0	0	0	recv
0	122.8	122.8	5	1	5	100	100	80	1000	80000	0.652	0	0	0	0	recv
0	194.3	194.3	5	2	5	100	100	80	1000	80000	0.412	0	0	0	0	recv
0	113	113	5	0	5	625	625	3125	100	312500	2.77	0	0	0	0	recv
0	113.1	113.1	5	1	5	625	625	3125	100	312500	2.76	0	0	0	0	recv
0	213.9	213.9	5	2	5	625	625	3125	100	312500	1.46	0	0	0	0	recv
0	117.6	117.6	5	0	5	1000	1000	8000	50	400000	3.4	0	0	0	0	recv
0	117.5	117.5	5	1	5	1000	1000	8000	50	400000	3.4	0	0	0	0	recv
0	220.4	220.4	5	2	5	1000	1000	8000	50	400000	1.82	0	0	0	0	recv
2	346.4	17.38	5	0	5	25	25	5	5000	1254.6	0.0722	0	0	0	0	recv
2	326.6	16.39	5	1	5	25	25	5	5000	1254.6	0.0765	0	0	0	0	recv
2	70.16	3.521	5	2	5	25	25	5	5000	1254.6	0.356	0	0	0	0	recv
