algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	63.71	63.71	5	0	5	25	25	5	5000	25000	0.392	0	0	5	50	conn
0	61.78	61.78	5	1	5	25	25	5	5000	25000	0.405	0	0	5	50	conn
0	44.65	44.65	5	2	5	25	25	5	5000	25000	0.56	0	0	5	50	conn
0	69.93	69.93	5	0	5	100	100	80	1000	80000	1.14	0	0	5	50	conn
0	69.64	69.64	5	1	5	100	100	80	1000	80000	1.15	0	0	5	50	conn
0	110.9	110.9	5	2	5	100	100	80	1000	80000	0.721	0	0	5	50	conn
0	67.2	67.2	5	0	5	625	625	3125	100	312500	4.65	0	0	5	50	conn
0	67.05	67.05	5	1	5	625	625	3125	100	312500	4.66	0	0	5	50	conn
0	105.3	105.3	5	2	5	625	625	3125	100	312500	2.97	0	0	5	50	conn
0	68.77	68.77	5	0	5	1000	1000	8000	50	400000	5.82	0	0	5	50	conn
0	68.86	68.86	5	1	5	1000	1000	8000	50	400000	5.81	0	0	5	50	conn
0	105.1	105.1	5	2	5	1000	1000	8000	50	400000	3.81	0	0	5	50	conn
2	131.8	6.612	5	0	5	25	25	5	5000	1254.6	0.19	0	0	5	50	conn
2	130.7	6.558	5	1	5	25	25	5	5000	1254.6	0.191	0	0	5	50	conn
2	57.55	2.888	5	2	5	25	25	5	5000	1254.6	0.434	0	0	5	50	conn
2	148.8	7.582	5	0	5	100	100	80	1000	4075.2	0.538	0	0	5	50	conn
2	147.4	7.507	5	1	5	100	100	80	1000	4075.2	0.543	0	0	5	50	conn
2	191.9	9.778	5	2	5	100	100	80	1000	4075.2	0.417	0	0	5	50	conn
2	115.1	6.827	5	0	5	625	625	3125	100	18533.8	2.71	0	0	5	50	conn
2	114.5	6.791	5	1	5	625	625	3125	100	18533.8	2.73	0	0	5	50	conn
2	165.7	9.828	5	2	5	625	625	3125	100	18533.8	1.89	0	0	5	50	conn
2	97.9	6.808	5	0	5	1000	1000	8000	50	27814	4.09	0	0	5	50	conn
2	97.59	6.786	5	1	5	1000	1000	8000	50	27814	4.1	0	0	5	50	conn
2	144.7	10.06	5	2	5	1000	1000	8000	50	27814	2.76	0	0	5	50	conn
