algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	61.16	61.16	5	0	5	25	25	5	5000	25000	0.409	0	0	5	50	send
0	59.09	59.09	5	1	5	25	25	5	5000	25000	0.423	0	0	5	50	send
0	43.87	43.87	5	2	5	25	25	5	5000	25000	0.57	0	0	5	50	send
0	51.72	51.72	5	0	5	100	100	80	1000	80000	1.55	0	0	5	50	send
0	51.45	51.45	5	1	5	100	100	80	1000	80000	1.55	0	0	5	50	send
0	77.73	77.73	5	2	5	100	100	80	1000	80000	1.03	0	0	5	50	send
0	47.92	47.92	5	0	5	625	625	3125	100	312500	6.52	0	0	5	50	send
0	41.16	41.16	5	1	5	625	625	3125	100	312500	7.59	0	0	5	50	send
0	71.52	71.52	5	2	5	625	625	3125	100	312500	4.37	0	0	5	50	send
0	16.79	16.79	5	0	5	1000	1000	8000	50	400000	23.8	0	0	5	50	send
0	16.89	16.89	5	1	5	1000	1000	8000	50	400000	23.7	0	0	5	50	send
0	26.17	26.17	5	2	5	1000	1000	8000	50	400000	15.3	0	0	5	50	send
2	138.6	6.957	5	0	5	25	25	5	5000	1254.6	0.18	0	0	5	50	send
2	131.2	6.586	5	1	5	25	25	5	5000	1254.6	0.19	0	0	5	50	send
2	55.35	2.778	5	2	5	25	25	5	5000	1254.6	0.452	0	0	5	50	send
2	150.8	7.681	5	0	5	100	100	80	1000	4075.2	0.531	0	0	5	50	send
2	149.5	7.613	5	1	5	100	100	80	1000	4075.2	0.535	0	0	5	50	send
2	190.1	9.685	5	2	5	100	100	80	1000	4075.2	0.421	0	0	5	50	send
2	151.5	8.983	5	0	5	625	625	3125	100	18533.8	2.06	0	0	5	50	send
2	152	9.013	5	1	5	625	625	3125	100	18533.8	2.06	0	0	5	50	send
2	210.1	12.46	5	2	5	625	625	3125	100	18533.8	1.49	0	0	5	50	send
2	93.29	6.487	5	0	5	1000	1000	8000	50	27814	4.29	0	0	5	50	send
2	93.35	6.491	5	1	5	1000	1000	8000	50	27814	4.28	0	0	5	50	send
2	146.6	10.19	5	2	5	1000	1000	8000	50	27814	2.73	0	0	5	50	send
3	138.6	6.957	5	0	5	25	25	5	5000	1254.6	0.18	0	0	5	50	send
3	121	6.073	5	1	5	25	25	5	5000	1254.6	0.207	0	0	5	50	send
3	53.29	2.674	5	2	5	25	25	5	5000	1254.6	0.469	0	0	5	50	send
3	151.1	7.696	5	0	5	100	100	80	1000	4075.2	0.53	0	0	5	50	send
3	144.5	7.361	5	1	5	100	100	80	1000	4075.2	0.554	0	0	5	50	send
3	171.3	8.727	5	2	5	100	100	80	1000	4075.2	0.467	0	0	5	50	send
3	151.8	9.001	5	0	5	625	625	3125	100	18533.8	2.06	0	0	5	50	send
3	139	8.243	5	1	5	625	625	3125	100	18533.8	2.25	0	0	5	50	send
3	226.6	13.44	5	2	5	625	625	3125	100	18533.8	1.38	0	0	5	50	send
