algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	161.5	161.5	5	0	5	25	25	5	5000	25000	0.155	0	0	5	50	recv
0	155.5	155.5	5	1	5	25	25	5	5000	25000	0.161	0	0	5	50	recv
0	91.47	91.47	5	2	5	25	25	5	5000	25000	0.273	0	0	5	50	recv
0	269.5	269.5	5	0	5	100	100	80	1000	80000	0.297	0	0	5	50	recv
0	267.8	267.8	5	1	5	100	100	80	1000	80000	0.299	0	0	5	50	recv
0	399.6	399.6	5	2	5	100	100	80	1000	80000	0.2	0	0	5	50	recv
0	186	186	5	0	5	625	625	3125	100	312500	1.68	0	0	5	50	recv
0	186.3	186.3	5	1	5	625	625	3125	100	312500	1.68	0	0	5	50	recv
0	274.9	274.9	5	2	5	625	625	3125	100	312500	1.14	0	0	5	50	recv
0	188.8	188.8	5	0	5	1000	1000	8000	50	400000	2.12	0	0	5	50	recv
0	188.9	188.9	5	1	5	1000	1000	8000	50	400000	2.12	0	0	5	50	recv
0	280.6	280.6	5	2	5	1000	1000	8000	50	400000	1.43	0	0	5	50	recv
2	276.8	27.59	5	0	5	25	25	5	5000	2491.6	0.0903	0	0	5	50	recv
2	256.4	25.55	5	1	5	25	25	5	5000	2491.6	0.0975	0	0	5	50	recv
2	108.9	10.85	5	2	5	25	25	5	5000	2491.6	0.23	0	0	5	50	recv
2	403	40.88	5	0	5	100	100	80	1000	8115.6	0.199	0	0	5	50	recv
2	396.2	40.19	5	1	5	100	100	80	1000	8115.6	0.202	0	0	5	50	recv
2	395	40.07	5	2	5	100	100	80	1000	8115.6	0.203	0	0	5	50	recv
2	266.8	29.17	5	0	5	625	625	3125	100	34163.8	1.17	0	0	5	50	recv
2	266.4	29.13	5	1	5	625	625	3125	100	34163.8	1.17	0	0	5	50	recv
2	333.6	36.47	5	2	5	625	625	3125	100	34163.8	0.937	0	0	5	50	recv
2	260.1	30.49	5	0	5	1000	1000	8000	50	46890	1.54	0	0	5	50	recv
2	259.7	30.45	5	1	5	1000	1000	8000	50	46890	1.54	0	0	5	50	recv
2	334.5	39.21	5	2	5	1000	1000	8000	50	46890	1.2	0	0	5	50	recv
3	277.1	27.62	5	0	5	25	25	5	5000	2491.6	0.0902	0	0	5	50	recv
3	228.7	22.8	5	1	5	25	25	5	5000	2491.6	0.109	0	0	5	50	recv
3	111.5	11.11	5	2	5	25	25	5	5000	2491.6	0.224	0	0	5	50	recv
3	402	40.78	5	0	5	100	100	80	1000	8115.6	0.199	0	0	5	50	recv
3	373.2	37.86	5	1	5	100	100	80	1000	8115.6	0.214	0	0	5	50	recv
3	498.3	50.55	5	2	5	100	100	80	1000	8115.6	0.161	0	0	5	50	recv
3	266.6	29.15	5	0	5	625	625	3125	100	34163.8	1.17	0	0	5	50	recv
3	243.2	26.58	5	1	5	625	625	3125	100	34163.8	1.29	0	0	5	50	recv
3	361.1	39.48	5	2	5	625	625	3125	100	34163.8	0.865	0	0	5	50	recv
3	259.7	30.44	5	0	5	1000	1000	8000	50	46890	1.54	0	0	5	50	recv
3	239.1	28.03	5	1	5	1000	1000	8000	50	46890	1.67	0	0	5	50	recv
3	349.3	40.95	5	2	5	1000	1000	8000	50	46890	1.15	0	0	5	50	recv
