algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	147.5	147.5	5	0	5	25	25	5	5000	25000	0.17	0	0	5	50	send
0	142.9	142.9	5	1	5	25	25	5	5000	25000	0.175	0	0	5	50	send
0	87.76	87.76	5	2	5	25	25	5	5000	25000	0.285	0	0	5	50	send
0	200.8	200.8	5	0	5	100	100	80	1000	80000	0.398	0	0	5	50	send
0	200.7	200.7	5	1	5	100	100	80	1000	80000	0.399	0	0	5	50	send
0	287.8	287.8	5	2	5	100	100	80	1000	80000	0.278	0	0	5	50	send
0	94.77	94.77	5	0	5	625	625	3125	100	312500	3.3	0	0	5	50	send
0	94.77	94.77	5	1	5	625	625	3125	100	312500	3.3	0	0	5	50	send
0	151.9	151.9	5	2	5	625	625	3125	100	312500	2.06	0	0	5	50	send
0	87.38	87.38	5	0	5	1000	1000	8000	50	400000	4.58	0	0	5	50	send
0	87.41	87.41	5	1	5	1000	1000	8000	50	400000	4.58	0	0	5	50	send
0	150.1	150.1	5	2	5	1000	1000	8000	50	400000	2.66	0	0	5	50	send
2	285.9	28.5	5	0	5	25	25	5	5000	2491.6	0.0874	0	0	5	50	send
2	265	26.41	5	1	5	25	25	5	5000	2491.6	0.0944	0	0	5	50	send
2	109.1	10.87	5	2	5	25	25	5	5000	2491.6	0.229	0	0	5	50	send
2	404.2	41	5	0	5	100	100	80	1000	8115.6	0.198	0	0	5	50	send
2	398.2	40.4	5	1	5	100	100	80	1000	8115.6	0.201	0	0	5	50	send
2	360.3	36.55	5	2	5	100	100	80	1000	8115.6	0.222	0	0	5	50	send
2	387.4	42.35	5	0	5	625	625	3125	100	34163.8	0.807	0	0	5	50	send
2	386.7	42.27	5	1	5	625	625	3125	100	34163.8	0.808	0	0	5	50	send
2	320.5	35.04	5	2	5	625	625	3125	100	34163.8	0.975	0	0	5	50	send
2	379.3	44.47	5	0	5	1000	1000	8000	50	46890	1.05	0	0	5	50	send
2	378.9	44.42	5	1	5	1000	1000	8000	50	46890	1.06	0	0	5	50	send
2	402	47.13	5	2	5	1000	1000	8000	50	46890	0.995	0	0	5	50	send
3	287.5	28.65	5	0	5	25	25	5	5000	2491.6	0.087	0	0	5	50	send
3	236.5	23.57	5	1	5	25	25	5	5000	2491.6	0.106	0	0	5	50	send
3	111.1	11.07	5	2	5	25	25	5	5000	2491.6	0.225	0	0	5	50	send
3	402.8	40.87	5	0	5	100	100	80	1000	8115.6	0.199	0	0	5	50	send
3	377	38.24	5	1	5	100	100	80	1000	8115.6	0.212	0	0	5	50	send
3	435.2	44.15	5	2	5	100	100	80	1000	8115.6	0.184	0	0	5	50	send
3	387.4	42.36	5	0	5	625	625	3125	100	34163.8	0.807	0	0	5	50	send
3	372.3	40.71	5	1	5	625	625	3125	100	34163.8	0.839	0	0	5	50	send
3	516.3	56.44	5	2	5	625	625	3125	100	34163.8	0.605	0	0	5	50	send
3	379.2	44.45	5	0	5	1000	1000	8000	50	46890	1.05	0	0	5	50	send
3	365.9	42.89	5	1	5	1000	1000	8000	50	46890	1.09	0	0	5	50	send
3	513.2	60.15	5	2	5	1000	1000	8000	50	46890	0.779	0	0	5	50	send
