algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
0	146.2	146.2	5	0	5	25	25	5	5000	25000	0.171	0	0	5	50	send
0	140.9	140.9	5	1	5	25	25	5	5000	25000	0.177	0	0	5	50	send
0	87.84	87.84	5	2	5	25	25	5	5000	25000	0.285	0	0	5	50	send
0	139.7	139.7	5	0	5	100	100	80	1000	80000	0.573	0	0	5	50	send
0	137.9	137.9	5	1	5	100	100	80	1000	80000	0.58	0	0	5	50	send
0	190	190	5	2	5	100	100	80	1000	80000	0.421	0	0	5	50	send
0	87.11	87.11	5	0	5	625	625	3125	100	312500	3.59	0	0	5	50	send
0	87.15	87.15	5	1	5	625	625	3125	100	312500	3.59	0	0	5	50	send
0	125.1	125.1	5	2	5	625	625	3125	100	312500	2.5	0	0	5	50	send
0	81.85	81.85	5	0	5	1000	1000	8000	50	400000	4.89	0	0	5	50	send
0	81.82	81.82	5	1	5	1000	1000	8000	50	400000	4.89	0	0	5	50	send
0	122.7	122.7	5	2	5	1000	1000	8000	50	400000	3.26	0	0	5	50	send
2	293.3	29.24	5	0	5	25	25	5	5000	2491.6	0.0852	0	0	5	50	send
2	268.1	26.72	5	1	5	25	25	5	5000	2491.6	0.0933	0	0	5	50	send
2	108.5	10.81	5	2	5	25	25	5	5000	2491.6	0.23	0	0	5	50	send
2	402.7	40.85	5	0	5	100	100	80	1000	8115.6	0.199	0	0	5	50	send
2	396.3	40.21	5	1	5	100	100	80	1000	8115.6	0.202	0	0	5	50	send
2	352.5	35.76	5	2	5	100	100	80	1000	8115.6	0.227	0	0	5	50	send
2	350.6	38.33	5	0	5	625	625	3125	100	34163.8	0.891	0	0	5	50	send
2	346.1	37.84	5	1	5	625	625	3125	100	34163.8	0.903	0	0	5	50	send
2	291	31.81	5	2	5	625	625	3125	100	34163.8	1.07	0	0	5	50	send
2	338.2	39.65	5	0	5	1000	1000	8000	50	46890	1.18	0	0	5	50	send
2	341.1	39.99	5	1	5	1000	1000	8000	50	46890	1.17	0	0	5	50	send
2	348.8	40.89	5	2	5	1000	1000	8000	50	46890	1.15	0	0	5	50	send
3	292.1	29.11	5	0	5	25	25	5	5000	2491.6	0.0856	0	0	5	50	send
3	236.2	23.54	5	1	5	25	25	5	5000	2491.6	0.106	0	0	5	50	send
3	112.2	11.18	5	2	5	25	25	5	5000	2491.6	0.223	0	0	5	50	send
3	402.5	40.83	5	0	5	100	100	80	1000	8115.6	0.199	0	0	5	50	send
3	375.1	38.05	5	1	5	100	100	80	1000	8115.6	0.213	0	0	5	50	send
3	423.6	42.97	5	2	5	100	100	80	1000	8115.6	0.189	0	0	5	50	send
3	347.7	38.01	5	0	5	625	625	3125	100	34163.8	0.899	0	0	5	50	send
3	334.7	36.6	5	1	5	625	625	3125	100	34163.8	0.934	0	0	5	50	send
3	445.6	48.71	5	2	5	625	625	3125	100	34163.8	0.701	0	0	5	50	send
3	340	39.86	5	0	5	1000	1000	8000	50	46890	1.18	0	0	5	50	send
3	331.5	38.86	5	1	5	1000	1000	8000	50	46890	1.21	0	0	5	50	send
3	441.9	51.8	5	2	5	1000	1000	8000	50	46890	0.905	0	0	5	50	send
