algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	wt_in
3	289.3	28.88	5	0	5	25	25	5	10000	4991.85	0.173	0	0	5	50	send
3	235.8	23.54	5	1	5	25	25	5	10000	4991.85	0.212	0	0	5	50	send
3	110.6	11.05	5	2	5	25	25	5	10000	4991.85	0.452	0	0	5	50	send
3	374.9	37.71	5	0	5	100	100	80	5000	40237.4	1.07	0	0	5	50	send
3	358.1	36.02	5	1	5	100	100	80	5000	40237.4	1.12	0	0	5	50	send
3	406.5	40.89	5	2	5	100	100	80	5000	40237.4	0.984	0	0	5	50	send
3	417	41.94	5	0	5	625	625	3125	1000	314363	7.49	0	0	5	50	send
3	403.3	40.57	5	1	5	625	625	3125	1000	314363	7.75	0	0	5	50	send
3	541.2	54.44	5	2	5	625	625	3125	1000	314363	5.77	0	0	5	50	send
3	419.4	42.9	5	0	5	1000	1000	8000	500	409176	9.54	0	0	5	50	send
3	407.5	41.68	5	1	5	1000	1000	8000	500	409176	9.82	0	0	5	50	send
3	548.5	56.11	5	2	5	1000	1000	8000	500	409176	7.29	0	0	5	50	send
3	288.4	28.79	5	0	5	25	25	5	10000	4991.85	0.173	0	0	5	50	send
3	233.5	23.31	5	1	5	25	25	5	10000	4991.85	0.214	0	0	5	50	send
3	110.3	11.02	5	2	5	25	25	5	10000	4991.85	0.453	0	0	5	50	send
3	375.8	37.8	5	0	5	100	100	80	5000	40237.4	1.06	0	0	5	50	send
3	358	36.01	5	1	5	100	100	80	5000	40237.4	1.12	0	0	5	50	send
3	405.2	40.76	5	2	5	100	100	80	5000	40237.4	0.987	0	0	5	50	send
3	417.1	41.96	5	0	5	625	625	3125	1000	314363	7.49	0	0	5	50	send
3	403.3	40.57	5	1	5	625	625	3125	1000	314363	7.75	0	0	5	50	send
3	540.6	54.39	5	2	5	625	625	3125	1000	314363	5.78	0	0	5	50	send
3	419.3	42.9	5	0	5	1000	1000	8000	500	409176	9.54	0	0	5	50	send
3	407.6	41.69	5	1	5	1000	1000	8000	500	409176	9.81	0	0	5	50	send
3	548.3	56.09	5	2	5	1000	1000	8000	500	409176	7.29	0	0	5	50	send
