algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	78.93	78.93	5	0	5	25	25	5	5000	25000	0.317	0	0	0	0	recv
0	94.43	94.43	5	1	5	25	25	5	5000	25000	0.265	0	0	0	0	recv
0	79.69	79.69	5	2	5	25	25	5	5000	25000	0.314	0	0	0	0	recv
0	59.56	59.56	5	4	5	25	25	5	5000	25000	0.42	0	0	0	0	recv
0	259.3	259.3	5	0	5	100	100	80	1000	80000	0.309	0	0	0	0	recv
0	203.2	203.2	5	1	5	100	100	80	1000	80000	0.394	0	0	0	0	recv
0	332.2	332.2	5	2	5	100	100	80	1000	80000	0.241	0	0	0	0	recv
0	390.6	390.6	5	4	5	100	100	80	1000	80000	0.205	0	0	0	0	recv
0	237.4	237.4	5	0	5	625	625	3125	100	312500	1.32	0	0	0	0	recv
0	237.6	237.6	5	1	5	625	625	3125	100	312500	1.31	0	0	0	0	recv
0	294.5	294.5	5	2	5	625	625	3125	100	312500	1.06	0	0	0	0	recv
0	292.9	292.9	5	4	5	625	625	3125	100	312500	1.07	0	0	0	0	recv
0	186.6	186.6	5	0	5	1000	1000	8000	50	400000	2.14	0	0	0	0	recv
0	250.9	250.9	5	1	5	1000	1000	8000	50	400000	1.59	0	0	0	0	recv
0	311	311	5	2	5	1000	1000	8000	50	400000	1.29	0	0	0	0	recv
0	301.8	301.8	5	4	5	1000	1000	8000	50	400000	1.33	0	0	0	0	recv
2	105.8	5.334	5	0	5	25	25	5	5000	1260.6	0.236	0	0	0	0	recv
2	90.08	4.542	5	1	5	25	25	5	5000	1260.6	0.278	0	0	0	0	recv
2	96.7	4.876	5	2	5	25	25	5	5000	1260.6	0.259	0	0	0	0	recv
2	103.2	5.204	5	4	5	25	25	5	5000	1260.6	0.242	0	0	0	0	recv
2	349.2	17.72	5	0	5	100	100	80	1000	4061.2	0.229	0	0	0	0	recv
2	301.2	15.29	5	1	5	100	100	80	1000	4061.2	0.266	0	0	0	0	recv
2	419.4	21.29	5	2	5	100	100	80	1000	4061.2	0.191	0	0	0	0	recv
2	508.4	25.81	5	4	5	100	100	80	1000	4061.2	0.157	0	0	0	0	recv
2	540.1	32.75	5	0	5	625	625	3125	100	18947.5	0.579	0	0	0	0	recv
2	641.3	38.88	5	1	5	625	625	3125	100	18947.5	0.487	0	0	0	0	recv
2	470.9	28.55	5	2	5	625	625	3125	100	18947.5	0.664	0	0	0	0	recv
2	586.9	35.59	5	4	5	625	625	3125	100	18947.5	0.532	0	0	0	0	recv
2	645.3	44.83	5	0	5	1000	1000	8000	50	27788	0.62	0	0	0	0	recv
2	642.1	44.61	5	1	5	1000	1000	8000	50	27788	0.623	0	0	0	0	recv
2	420.4	29.21	5	2	5	1000	1000	8000	50	27788	0.951	0	0	0	0	recv
2	524.4	36.43	5	4	5	1000	1000	8000	50	27788	0.763	0	0	0	0	recv
3	123.2	6.21	5	0	5	25	25	5	5000	1260.6	0.203	0	0	0	0	recv
3	90	4.538	5	1	5	25	25	5	5000	1260.6	0.278	0	0	0	0	recv
3	89.79	4.528	5	2	5	25	25	5	5000	1260.6	0.278	0	0	0	0	recv
3	90.59	4.568	5	4	5	25	25	5	5000	1260.6	0.276	0	0	0	0	recv
3	391.5	19.87	5	0	5	100	100	80	1000	4061.2	0.204	0	0	0	0	recv
3	312.9	15.88	5	1	5	100	100	80	1000	4061.2	0.256	0	0	0	0	recv
3	421.7	21.41	5	2	5	100	100	80	1000	4061.2	0.19	0	0	0	0	recv
3	564.1	28.64	5	4	5	100	100	80	1000	4061.2	0.142	0	0	0	0	recv
3	642.4	38.95	5	0	5	625	625	3125	100	18947.5	0.486	0	0	0	0	recv
3	422.8	25.63	5	1	5	625	625	3125	100	18947.5	0.739	0	0	0	0	recv
3	599.4	36.34	5	2	5	625	625	3125	100	18947.5	0.521	0	0	0	0	recv
3	908.4	55.08	5	4	5	625	625	3125	100	18947.5	0.344	0	0	0	0	recv
3	646.6	44.92	5	0	5	1000	1000	8000	50	27788	0.619	0	0	0	0	recv
3	429.1	29.81	5	1	5	1000	1000	8000	50	27788	0.932	0	0	0	0	recv
3	604.6	42	5	2	5	1000	1000	8000	50	27788	0.662	0	0	0	0	recv
3	924.8	64.25	5	4	5	1000	1000	8000	50	27788	0.433	0	0	0	0	recv
0	77.18	77.18	5	0	5	25	25	5	5000	25000	0.324	0	0	5	50	recv
0	76.85	76.85	5	1	5	25	25	5	5000	25000	0.325	0	0	5	50	recv
0	69.41	69.41	5	2	5	25	25	5	5000	25000	0.36	0	0	5	50	recv
0	60.44	60.44	5	4	5	25	25	5	5000	25000	0.414	0	0	5	50	recv
0	203.8	203.8	5	0	5	100	100	80	1000	80000	0.393	0	0	5	50	recv
0	223.7	223.7	5	1	5	100	100	80	1000	80000	0.358	0	0	5	50	recv
0	257.8	257.8	5	2	5	100	100	80	1000	80000	0.31	0	0	5	50	recv
0	339.7	339.7	5	4	5	100	100	80	1000	80000	0.235	0	0	5	50	recv
0	172.2	172.2	5	0	5	625	625	3125	100	312500	1.82	0	0	5	50	recv
0	171.9	171.9	5	1	5	625	625	3125	100	312500	1.82	0	0	5	50	recv
0	211.4	211.4	5	2	5	625	625	3125	100	312500	1.48	0	0	5	50	recv
0	211.8	211.8	5	4	5	625	625	3125	100	312500	1.48	0	0	5	50	recv
0	175.5	175.5	5	0	5	1000	1000	8000	50	400000	2.28	0	0	5	50	recv
0	175.5	175.5	5	1	5	1000	1000	8000	50	400000	2.28	0	0	5	50	recv
0	217.1	217.1	5	2	5	1000	1000	8000	50	400000	1.84	0	0	5	50	recv
0	216.5	216.5	5	4	5	1000	1000	8000	50	400000	1.85	0	0	5	50	recv
2	114.2	5.756	5	0	5	25	25	5	5000	1260.6	0.219	0	0	5	50	recv
2	111.7	5.632	5	1	5	25	25	5	5000	1260.6	0.224	0	0	5	50	recv
2	87	4.387	5	2	5	25	25	5	5000	1260.6	0.287	0	0	5	50	recv
2	80.78	4.073	5	4	5	25	25	5	5000	1260.6	0.309	0	0	5	50	recv
2	269.5	13.68	5	0	5	100	100	80	1000	4061.2	0.297	0	0	5	50	recv
2	258.1	13.1	5	1	5	100	100	80	1000	4061.2	0.31	0	0	5	50	recv
2	286.6	14.55	5	2	5	100	100	80	1000	4061.2	0.279	0	0	5	50	recv
2	466.6	23.69	5	4	5	100	100	80	1000	4061.2	0.171	0	0	5	50	recv
2	263.5	15.97	5	0	5	625	625	3125	100	18947.5	1.19	0	0	5	50	recv
2	309.7	18.78	5	1	5	625	625	3125	100	18947.5	1.01	0	0	5	50	recv
2	286.9	17.39	5	2	5	625	625	3125	100	18947.5	1.09	0	0	5	50	recv
2	328.1	19.9	5	4	5	625	625	3125	100	18947.5	0.952	0	0	5	50	recv
2	306.3	21.28	5	0	5	1000	1000	8000	50	27788	1.31	0	0	5	50	recv
2	305.8	21.24	5	1	5	1000	1000	8000	50	27788	1.31	0	0	5	50	recv
2	267.4	18.58	5	2	5	1000	1000	8000	50	27788	1.5	0	0	5	50	recv
2	337.5	23.45	5	4	5	1000	1000	8000	50	27788	1.19	0	0	5	50	recv
3	113.2	5.71	5	0	5	25	25	5	5000	1260.6	0.221	0	0	5	50	recv
3	89.71	4.524	5	1	5	25	25	5	5000	1260.6	0.279	0	0	5	50	recv
3	79.69	4.018	5	2	5	25	25	5	5000	1260.6	0.314	0	0	5	50	recv
3	69.62	3.511	5	4	5	25	25	5	5000	1260.6	0.359	0	0	5	50	recv
3	354.5	18	5	0	5	100	100	80	1000	4061.2	0.226	0	0	5	50	recv
3	344.1	17.47	5	1	5	100	100	80	1000	4061.2	0.232	0	0	5	50	recv
3	295.2	14.99	5	2	5	100	100	80	1000	4061.2	0.271	0	0	5	50	recv
3	377.8	19.18	5	4	5	100	100	80	1000	4061.2	0.212	0	0	5	50	recv
3	310.8	18.84	5	0	5	625	625	3125	100	18947.5	1.01	0	0	5	50	recv
3	250.4	15.18	5	1	5	625	625	3125	100	18947.5	1.25	0	0	5	50	recv
3	335.9	20.36	5	2	5	625	625	3125	100	18947.5	0.93	0	0	5	50	recv
3	422.3	25.6	5	4	5	625	625	3125	100	18947.5	0.74	0	0	5	50	recv
3	306.7	21.31	5	0	5	1000	1000	8000	50	27788	1.3	0	0	5	50	recv
3	247.2	17.18	5	1	5	1000	1000	8000	50	27788	1.62	0	0	5	50	recv
3	334.9	23.26	5	2	5	1000	1000	8000	50	27788	1.19	0	0	5	50	recv
3	411.3	28.57	5	4	5	1000	1000	8000	50	27788	0.973	0	0	5	50	recv
