algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	74.78	74.78	5	0	5	25	25	5	5000	25000	0.334	0	0	0	0	send
0	76.52	76.52	5	1	5	25	25	5	5000	25000	0.327	0	0	0	0	send
0	79.98	79.98	5	2	5	25	25	5	5000	25000	0.313	0	0	0	0	send
0	61.46	61.46	5	4	5	25	25	5	5000	25000	0.407	0	0	0	0	send
0	185.5	185.5	5	0	5	100	100	80	1000	80000	0.431	0	0	0	0	send
0	182.3	182.3	5	1	5	100	100	80	1000	80000	0.439	0	0	0	0	send
0	272.5	272.5	5	2	5	100	100	80	1000	80000	0.294	0	0	0	0	send
0	346.1	346.1	5	4	5	100	100	80	1000	80000	0.231	0	0	0	0	send
0	90.46	90.46	5	0	5	625	625	3125	100	312500	3.45	0	0	0	0	send
0	90.4	90.4	5	1	5	625	625	3125	100	312500	3.46	0	0	0	0	send
0	131.1	131.1	5	2	5	625	625	3125	100	312500	2.38	0	0	0	0	send
0	164.4	164.4	5	4	5	625	625	3125	100	312500	1.9	0	0	0	0	send
0	88.09	88.09	5	0	5	1000	1000	8000	50	400000	4.54	0	0	0	0	send
0	88.25	88.25	5	1	5	1000	1000	8000	50	400000	4.53	0	0	0	0	send
0	127.8	127.8	5	2	5	1000	1000	8000	50	400000	3.13	0	0	0	0	send
0	183.9	183.9	5	4	5	1000	1000	8000	50	400000	2.18	0	0	0	0	send
2	122.7	6.189	5	0	5	25	25	5	5000	1260.6	0.204	0	0	0	0	send
2	121.6	6.132	5	1	5	25	25	5	5000	1260.6	0.206	0	0	0	0	send
2	99.1	4.997	5	2	5	25	25	5	5000	1260.6	0.252	0	0	0	0	send
2	76.67	3.866	5	4	5	25	25	5	5000	1260.6	0.326	0	0	0	0	send
2	332.7	16.89	5	0	5	100	100	80	1000	4061.2	0.24	0	0	0	0	send
2	468.6	23.79	5	1	5	100	100	80	1000	4061.2	0.171	0	0	0	0	send
2	463.2	23.51	5	2	5	100	100	80	1000	4061.2	0.173	0	0	0	0	send
2	480.6	24.4	5	4	5	100	100	80	1000	4061.2	0.166	0	0	0	0	send
2	1625	98.5	5	0	5	625	625	3125	100	18947.5	0.192	0	0	0	0	send
2	1456	88.27	5	1	5	625	625	3125	100	18947.5	0.215	0	0	0	0	send
2	723	43.84	5	2	5	625	625	3125	100	18947.5	0.432	0	0	0	0	send
2	889.3	53.92	5	4	5	625	625	3125	100	18947.5	0.351	0	0	0	0	send
2	1866	129.6	5	0	5	1000	1000	8000	50	27788	0.214	0	0	0	0	send
2	1853	128.7	5	1	5	1000	1000	8000	50	27788	0.216	0	0	0	0	send
2	654.3	45.46	5	2	5	1000	1000	8000	50	27788	0.611	0	0	0	0	send
