algo	eMcon	Mcon	snd_act	procs	layers	units	cons	Kwts	cycles	Kcn_tot	secs	nibble	fstprjn	srarate	dwtrate	cn_in
0	79.43	79.43	5	0	5	25	25	5	5000	25000	0.315	0	0	0	0	send
0	90.31	90.31	5	1	5	25	25	5	5000	25000	0.277	0	0	0	0	send
0	78.59	78.59	5	2	5	25	25	5	5000	25000	0.318	0	0	0	0	send
0	88.63	88.63	5	4	5	25	25	5	5000	25000	0.282	0	0	0	0	send
0	157	157	5	0	5	100	100	80	1000	80000	0.51	0	0	0	0	send
0	146	146	5	1	5	100	100	80	1000	80000	0.548	0	0	0	0	send
0	240.3	240.3	5	2	5	100	100	80	1000	80000	0.333	0	0	0	0	send
0	250.6	250.6	5	4	5	100	100	80	1000	80000	0.319	0	0	0	0	send
0	84.33	84.33	5	0	5	625	625	3125	100	312500	3.71	0	0	0	0	send
0	84.56	84.56	5	1	5	625	625	3125	100	312500	3.7	0	0	0	0	send
0	119.3	119.3	5	2	5	625	625	3125	100	312500	2.62	0	0	0	0	send
0	156.5	156.5	5	4	5	625	625	3125	100	312500	2	0	0	0	0	send
0	83.6	83.6	5	0	5	1000	1000	8000	50	400000	4.78	0	0	0	0	send
0	83.5	83.5	5	1	5	1000	1000	8000	50	400000	4.79	0	0	0	0	send
0	117.2	117.2	5	2	5	1000	1000	8000	50	400000	3.41	0	0	0	0	send
0	137.8	137.8	5	4	5	1000	1000	8000	50	400000	2.9	0	0	0	0	send
2	98.13	4.948	5	0	5	25	25	5	5000	1260.6	0.255	0	0	0	0	send
2	97.43	4.913	5	1	5	25	25	5	5000	1260.6	0.257	0	0	0	0	send
2	89.22	4.499	5	2	5	25	25	5	5000	1260.6	0.28	0	0	0	0	send
2	96.82	4.882	5	4	5	25	25	5	5000	1260.6	0.258	0	0	0	0	send
2	467.7	23.74	5	0	5	100	100	80	1000	4061.2	0.171	0	0	0	0	send
2	312.1	15.84	5	1	5	100	100	80	1000	4061.2	0.256	0	0	0	0	send
2	457.1	23.2	5	2	5	100	100	80	1000	4061.2	0.175	0	0	0	0	send
2	533.8	27.1	5	4	5	100	100	80	1000	4061.2	0.15	0	0	0	0	send
2	1459	88.44	5	0	5	625	625	3125	100	18947.5	0.214	0	0	0	0	send
2	1550	93.95	5	1	5	625	625	3125	100	18947.5	0.202	0	0	0	0	send
2	738.7	44.79	5	2	5	625	625	3125	100	18947.5	0.423	0	0	0	0	send
2	893.9	54.2	5	4	5	625	625	3125	100	18947.5	0.35	0	0	0	0	send
2	1288	89.49	5	0	5	1000	1000	8000	50	27788	0.311	0	0	0	0	send
2	1275	88.58	5	1	5	1000	1000	8000	50	27788	0.314	0	0	0	0	send
2	587.8	40.84	5	2	5	1000	1000	8000	50	27788	0.68	0	0	0	0	send
2	809.4	56.23	5	4	5	1000	1000	8000	50	27788	0.494	0	0	0	0	send
3	106.9	5.389	5	0	5	25	25	5	5000	1260.6	0.234	0	0	0	0	send
3	78.77	3.972	5	1	5	25	25	5	5000	1260.6	0.317	0	0	0	0	send
3	81.23	4.096	5	2	5	25	25	5	5000	1260.6	0.308	0	0	0	0	send
3	57.96	2.922	5	4	5	25	25	5	5000	1260.6	0.431	0	0	0	0	send
3	316.5	16.07	5	0	5	100	100	80	1000	4061.2	0.253	0	0	0	0	send
3	375.6	19.07	5	1	5	100	100	80	1000	4061.2	0.213	0	0	0	0	send
3	444.1	22.55	5	2	5	100	100	80	1000	4061.2	0.18	0	0	0	0	send
3	675.1	34.27	5	4	5	100	100	80	1000	4061.2	0.118	0	0	0	0	send
3	1570	95.17	5	0	5	625	625	3125	100	18947.5	0.199	0	0	0	0	send
3	1455	88.19	5	1	5	625	625	3125	100	18947.5	0.215	0	0	0	0	send
3	1820	110.4	5	2	5	625	625	3125	100	18947.5	0.172	0	0	0	0	send
3	2594	157.3	5	4	5	625	625	3125	100	18947.5	0.12	0	0	0	0	send
3	1782	123.8	5	0	5	1000	1000	8000	50	27788	0.224	0	0	0	0	send
3	1727	120	5	1	5	1000	1000	8000	50	27788	0.232	0	0	0	0	send
3	2096	145.6	5	2	5	1000	1000	8000	50	27788	0.191	0	0	0	0	send
3	2752	191.2	5	4	5	1000	1000	8000	50	27788	0.145	0	0	0	0	send
0	71.32	71.32	5	0	5	25	25	5	5000	25000	0.351	0	0	5	50	send
0	84.59	84.59	5	1	5	25	25	5	5000	25000	0.296	0	0	5	50	send
0	67.35	67.35	5	2	5	25	25	5	5000	25000	0.371	0	0	5	50	send
