_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	0	6.6524	25	0	32.28	0	0
_D:	0	1	5.63468	25	0	34.16	0	0
_D:	0	2	4.7844	25	0	31.52	0	0
_D:	0	3	4.11899	25	0	36.08	0	0
_D:	0	4	3.76577	25	0	29.24	0	0
_D:	0	5	3.00485	25	0	30.08	0	0
_D:	0	6	2.15921	25	0	30.32	0	0
_D:	0	7	2.09591	25	0	29.44	0	0
_D:	0	8	2.1557	23	0	31.24	0	0
_D:	0	9	1.33056	23	0	30.32	0	0
_D:	0	10	0.935294	19	0	28.44	0	0
_D:	0	11	0.557908	15	0	31.28	0	0
_D:	0	12	0.713049	12	0	31.76	0	0
_D:	0	13	1.04319	14	0	27.52	0	0
_D:	0	14	1.06335	16	0	28	0	0
_D:	0	15	0.263774	7	0	25.28	0	0
_D:	0	16	0.207456	4	0	25.52	0	0
_D:	0	17	0.0506499	3	0	25.08	0	0
_D:	0	18	0.0284603	1	0	26.16	0	0
_D:	0	19	0	0	0	27.56	0	0
_D:	1	0	6.17796	25	0	28.84	0	0
_D:	1	1	5.01864	25	0	32.24	0	0
_D:	1	2	4.41129	25	0	30.36	0	0
_D:	1	3	3.97507	25	0	31.16	0	0
_D:	1	4	3.29337	25	0	29.6	0	0
_D:	1	5	2.74068	25	0	29.16	0	0
_D:	1	6	2.33601	25	0	30.6	0	0
_D:	1	7	1.59133	25	0	29.84	0	0
_D:	1	8	2.33404	22	0	29.64	0	0
_D:	1	9	1.72159	21	0	28.44	0	0
_D:	1	10	0.935773	20	0	26.52	0	0
_D:	1	11	0.714576	18	0	27.84	0	0
_D:	1	12	1.38139	18	0	27.36	0	0
_D:	1	13	0.773274	18	0	26.28	0	0
_D:	1	14	0.933769	17	0	29.64	0	0
_D:	1	15	0.790491	16	0	26.68	0	0
_D:	1	16	0.540182	11	0	28	0	0
_D:	1	17	0.251925	11	0	25.2	0	0
_D:	1	18	0.244471	7	0	28.4	0	0
_D:	1	19	0.262453	5	0	24.84	0	0
_D:	1	20	0.110862	7	0	26.96	0	0
_D:	1	21	0.0614288	4	0	27	0	0
_D:	1	22	0.226829	3	0	26.48	0	0
_D:	1	23	0.111124	3	0	28.28	0	0
_D:	1	24	0.0347124	3	0	28.64	0	0
_D:	1	25	0	0	0	26.72	0	0
_D:	2	0	6.5651	25	0	29.48	0	0
_D:	2	1	5.59501	25	0	29.68	0	0
_D:	2	2	4.29207	25	0	34.12	0	0
_D:	2	3	3.99225	25	0	31.08	0	0
_D:	2	4	3.13536	25	0	35.6	0	0
_D:	2	5	2.95878	25	0	34	0	0
_D:	2	6	2.0699	25	0	30.56	0	0
_D:	2	7	1.5665	23	0	32.96	0	0
_D:	2	8	1.55641	20	0	30.08	0	0
_D:	2	9	0.844187	19	0	30.04	0	0
_D:	2	10	0.590793	16	0	29.2	0	0
_D:	2	11	0.349576	11	0	29.8	0	0
_D:	2	12	0.45689	11	0	28.64	0	0
_D:	2	13	0.779538	10	0	29.4	0	0
_D:	2	14	0.717683	12	0	31.48	0	0
_D:	2	15	0.725947	11	0	26.96	0	0
_D:	2	16	0.0913899	5	0	25.36	0	0
_D:	2	17	0.054802	3	0	27.12	0	0
_D:	2	18	0.014773	1	0	27	0	0
_D:	2	19	0.109851	3	0	26.4	0	0
_D:	2	20	0.0339317	2	0	26.4	0	0
_D:	2	21	0.0129004	1	0	26.08	0	0
_D:	2	22	0	0	0	26.56	0	0
_D:	3	0	6.41077	25	0	30.48	0	0
_D:	3	1	5.95834	25	0	29.12	0	0
_D:	3	2	4.5402	25	0	36.2	0	0
_D:	3	3	3.60181	25	0	33.56	0	0
_D:	3	4	3.42101	25	0	33.16	0	0
_D:	3	5	3.49968	25	0	35.48	0	0
_D:	3	6	2.56899	25	0	30	0	0
_D:	3	7	2.88919	25	0	32.4	0	0
_D:	3	8	2.03812	21	0	28.72	0	0
_D:	3	9	1.25136	21	0	30.12	0	0
_D:	3	10	0.77025	19	0	31.8	0	0
_D:	3	11	0.853531	19	0	30.24	0	0
_D:	3	12	0.378347	14	0	31.4	0	0
_D:	3	13	0.266871	12	0	30.68	0	0
_D:	3	14	0.423963	8	0	30.56	0	0
_D:	3	15	0.168857	6	0	30.56	0	0
_D:	3	16	0.318413	8	0	27.92	0	0
_D:	3	17	0.259841	6	0	27.96	0	0
_D:	3	18	0.048641	2	0	28.24	0	0
_D:	3	19	0.872116	6	0	26.96	0	0
_D:	3	20	1.14775	8	0	26	0	0
_D:	3	21	0.814893	4	0	28.12	0	0
_D:	3	22	0.0293667	1	0	26.56	0	0
