_H:	$name	|red	|green	|blue	$hexcolor
_D:	"snow"	255	250	250	"#fffafa"
_D:	"ghost_white"	248	248	255	"#f8f8ff"
_D:	"GhostWhite"	248	248	255	"#f8f8ff"
_D:	"white_smoke"	245	245	245	"#f5f5f5"
_D:	"WhiteSmoke"	245	245	245	"#f5f5f5"
_D:	"gainsboro"	220	220	220	"#dcdcdc"
_D:	"floral_white"	255	250	240	"#fffaf0"
_D:	"FloralWhite"	255	250	240	"#fffaf0"
_D:	"old_lace"	253	245	230	"#fdf5e6"
_D:	"OldLace"	253	245	230	"#fdf5e6"
_D:	"linen"	250	240	230	"#faf0e6"
_D:	"antique_white"	250	235	215	"#faebd7"
_D:	"AntiqueWhite"	250	235	215	"#faebd7"
_D:	"papaya_whip"	255	239	213	"#ffefd5"
_D:	"PapayaWhip"	255	239	213	"#ffefd5"
_D:	"blanched_almond"	255	235	205	"#ffebcd"
_D:	"BlanchedAlmond"	255	235	205	"#ffebcd"
_D:	"bisque"	255	228	196	"#ffe4c4"
_D:	"peach_puff"	255	218	185	"#ffdab9"
_D:	"PeachPuff"	255	218	185	"#ffdab9"
_D:	"navajo_white"	255	222	173	"#ffdead"
_D:	"NavajoWhite"	255	222	173	"#ffdead"
_D:	"moccasin"	255	228	181	"#ffe4b5"
_D:	"cornsilk"	255	248	220	"#fff8dc"
_D:	"ivory"	255	255	240	"#fffff0"
_D:	"lemon_chiffon"	255	250	205	"#fffacd"
_D:	"LemonChiffon"	255	250	205	"#fffacd"
_D:	"seashell"	255	245	238	"#fff5ee"
_D:	"honeydew"	240	255	240	"#f0fff0"
_D:	"mint_cream"	245	255	250	"#f5fffa"
_D:	"MintCream"	245	255	250	"#f5fffa"
_D:	"azure"	240	255	255	"#f0ffff"
_D:	"alice_blue"	240	248	255	"#f0f8ff"
_D:	"AliceBlue"	240	248	255	"#f0f8ff"
_D:	"lavender"	230	230	250	"#e6e6fa"
_D:	"lavender_blush"	255	240	245	"#fff0f5"
_D:	"LavenderBlush"	255	240	245	"#fff0f5"
_D:	"misty_rose"	255	228	225	"#ffe4e1"
_D:	"MistyRose"	255	228	225	"#ffe4e1"
_D:	"white"	255	255	255	"#ffffff"
_D:	"black"	0	0	0	"#000000"
_D:	"dark_slate_gray"	47	79	79	"#2f4f4f"
_D:	"DarkSlateGray"	47	79	79	"#2f4f4f"
_D:	"dark_slate_grey"	47	79	79	"#2f4f4f"
_D:	"DarkSlateGrey"	47	79	79	"#2f4f4f"
_D:	"dim_gray"	105	105	105	"#696969"
_D:	"DimGray"	105	105	105	"#696969"
_D:	"dim_grey"	105	105	105	"#696969"
_D:	"DimGrey"	105	105	105	"#696969"
_D:	"slate_gray"	112	128	144	"#708090"
_D:	"SlateGray"	112	128	144	"#708090"
_D:	"slate_grey"	112	128	144	"#708090"
_D:	"SlateGrey"	112	128	144	"#708090"
_D:	"light_slate_gray"	119	136	153	"#778899"
_D:	"LightSlateGray"	119	136	153	"#778899"
_D:	"light_slate_grey"	119	136	153	"#778899"
_D:	"LightSlateGrey"	119	136	153	"#778899"
_D:	"gray"	190	190	190	"#bebebe"
_D:	"grey"	190	190	190	"#bebebe"
_D:	"x11_gray"	190	190	190	"#bebebe"
_D:	"X11Gray"	190	190	190	"#bebebe"
_D:	"x11_grey"	190	190	190	"#bebebe"
_D:	"X11Grey"	190	190	190	"#bebebe"
_D:	"web_gray"	128	128	128	"#808080"
_D:	"WebGray"	128	128	128	"#808080"
_D:	"web_grey"	128	128	128	"#808080"
_D:	"WebGrey"	128	128	128	"#808080"
_D:	"light_grey"	211	211	211	"#d3d3d3"
_D:	"LightGrey"	211	211	211	"#d3d3d3"
_D:	"light_gray"	211	211	211	"#d3d3d3"
_D:	"LightGray"	211	211	211	"#d3d3d3"
_D:	"midnight_blue"	25	25	112	"#191970"
_D:	"MidnightBlue"	25	25	112	"#191970"
_D:	"navy"	0	0	128	"#000080"
_D:	"navy_blue"	0	0	128	"#000080"
_D:	"NavyBlue"	0	0	128	"#000080"
_D:	"cornflower_blue"	100	149	237	"#6495ed"
_D:	"CornflowerBlue"	100	149	237	"#6495ed"
_D:	"dark_slate_blue"	72	61	139	"#483d8b"
_D:	"DarkSlateBlue"	72	61	139	"#483d8b"
_D:	"slate_blue"	106	90	205	"#6a5acd"
_D:	"SlateBlue"	106	90	205	"#6a5acd"
_D:	"medium_slate_blue"	123	104	238	"#7b68ee"
_D:	"MediumSlateBlue"	123	104	238	"#7b68ee"
_D:	"light_slate_blue"	132	112	255	"#8470ff"
_D:	"LightSlateBlue"	132	112	255	"#8470ff"
_D:	"medium_blue"	0	0	205	"#0000cd"
_D:	"MediumBlue"	0	0	205	"#0000cd"
_D:	"royal_blue"	65	105	225	"#4169e1"
_D:	"RoyalBlue"	65	105	225	"#4169e1"
_D:	"blue"	0	0	255	"#0000ff"
_D:	"dodger_blue"	30	144	255	"#1e90ff"
_D:	"DodgerBlue"	30	144	255	"#1e90ff"
_D:	"deep_sky_blue"	0	191	255	"#00bfff"
_D:	"DeepSkyBlue"	0	191	255	"#00bfff"
_D:	"sky_blue"	135	206	235	"#87ceeb"
_D:	"SkyBlue"	135	206	235	"#87ceeb"
_D:	"light_sky_blue"	135	206	250	"#87cefa"
_D:	"LightSkyBlue"	135	206	250	"#87cefa"
_D:	"steel_blue"	70	130	180	"#4682b4"
_D:	"SteelBlue"	70	130	180	"#4682b4"
_D:	"light_steel_blue"	176	196	222	"#b0c4de"
_D:	"LightSteelBlue"	176	196	222	"#b0c4de"
_D:	"light_blue"	173	216	230	"#add8e6"
_D:	"LightBlue"	173	216	230	"#add8e6"
_D:	"powder_blue"	176	224	230	"#b0e0e6"
_D:	"PowderBlue"	176	224	230	"#b0e0e6"
_D:	"pale_turquoise"	175	238	238	"#afeeee"
_D:	"PaleTurquoise"	175	238	238	"#afeeee"
_D:	"dark_turquoise"	0	206	209	"#00ced1"
_D:	"DarkTurquoise"	0	206	209	"#00ced1"
_D:	"medium_turquoise"	72	209	204	"#48d1cc"
_D:	"MediumTurquoise"	72	209	204	"#48d1cc"
_D:	"turquoise"	64	224	208	"#40e0d0"
_D:	"cyan"	0	255	255	"#00ffff"
_D:	"aqua"	0	255	255	"#00ffff"
_D:	"light_cyan"	224	255	255	"#e0ffff"
_D:	"LightCyan"	224	255	255	"#e0ffff"
_D:	"cadet_blue"	95	158	160	"#5f9ea0"
_D:	"CadetBlue"	95	158	160	"#5f9ea0"
_D:	"medium_aquamarine"	102	205	170	"#66cdaa"
_D:	"MediumAquamarine"	102	205	170	"#66cdaa"
_D:	"aquamarine"	127	255	212	"#7fffd4"
_D:	"dark_green"	0	100	0	"#006400"
_D:	"DarkGreen"	0	100	0	"#006400"
_D:	"dark_olive_green"	85	107	47	"#556b2f"
_D:	"DarkOliveGreen"	85	107	47	"#556b2f"
_D:	"dark_sea_green"	143	188	143	"#8fbc8f"
_D:	"DarkSeaGreen"	143	188	143	"#8fbc8f"
_D:	"sea_green"	46	139	87	"#2e8b57"
_D:	"SeaGreen"	46	139	87	"#2e8b57"
_D:	"medium_sea_green"	60	179	113	"#3cb371"
_D:	"MediumSeaGreen"	60	179	113	"#3cb371"
_D:	"light_sea_green"	32	178	170	"#20b2aa"
_D:	"LightSeaGreen"	32	178	170	"#20b2aa"
_D:	"pale_green"	152	251	152	"#98fb98"
_D:	"PaleGreen"	152	251	152	"#98fb98"
_D:	"spring_green"	0	255	127	"#00ff7f"
_D:	"SpringGreen"	0	255	127	"#00ff7f"
_D:	"lawn_green"	124	252	0	"#7cfc00"
_D:	"LawnGreen"	124	252	0	"#7cfc00"
_D:	"green"	0	255	0	"#00ff00"
_D:	"lime"	0	255	0	"#00ff00"
_D:	"x11_green"	0	255	0	"#00ff00"
_D:	"X11Green"	0	255	0	"#00ff00"
_D:	"web_green"	0	128	0	"#008000"
_D:	"WebGreen"	0	128	0	"#008000"
_D:	"chartreuse"	127	255	0	"#7fff00"
_D:	"medium_spring_green"	0	250	154	"#00fa9a"
_D:	"MediumSpringGreen"	0	250	154	"#00fa9a"
_D:	"green_yellow"	173	255	47	"#adff2f"
_D:	"GreenYellow"	173	255	47	"#adff2f"
_D:	"lime_green"	50	205	50	"#32cd32"
_D:	"LimeGreen"	50	205	50	"#32cd32"
_D:	"yellow_green"	154	205	50	"#9acd32"
_D:	"YellowGreen"	154	205	50	"#9acd32"
_D:	"forest_green"	34	139	34	"#228b22"
_D:	"ForestGreen"	34	139	34	"#228b22"
_D:	"olive_drab"	107	142	35	"#6b8e23"
_D:	"OliveDrab"	107	142	35	"#6b8e23"
_D:	"dark_khaki"	189	183	107	"#bdb76b"
_D:	"DarkKhaki"	189	183	107	"#bdb76b"
_D:	"khaki"	240	230	140	"#f0e68c"
_D:	"pale_goldenrod"	238	232	170	"#eee8aa"
_D:	"PaleGoldenrod"	238	232	170	"#eee8aa"
_D:	"light_goldenrod_yellow"	250	250	210	"#fafad2"
_D:	"LightGoldenrodYellow"	250	250	210	"#fafad2"
_D:	"light_yellow"	255	255	224	"#ffffe0"
_D:	"LightYellow"	255	255	224	"#ffffe0"
_D:	"yellow"	255	255	0	"#ffff00"
_D:	"gold"	255	215	0	"#ffd700"
_D:	"light_goldenrod"	238	221	130	"#eedd82"
_D:	"LightGoldenrod"	238	221	130	"#eedd82"
_D:	"goldenrod"	218	165	32	"#daa520"
_D:	"dark_goldenrod"	184	134	11	"#b8860b"
_D:	"DarkGoldenrod"	184	134	11	"#b8860b"
_D:	"rosy_brown"	188	143	143	"#bc8f8f"
_D:	"RosyBrown"	188	143	143	"#bc8f8f"
_D:	"indian_red"	205	92	92	"#cd5c5c"
_D:	"IndianRed"	205	92	92	"#cd5c5c"
_D:	"saddle_brown"	139	69	19	"#8b4513"
_D:	"SaddleBrown"	139	69	19	"#8b4513"
_D:	"sienna"	160	82	45	"#a0522d"
_D:	"peru"	205	133	63	"#cd853f"
_D:	"burlywood"	222	184	135	"#deb887"
_D:	"beige"	245	245	220	"#f5f5dc"
_D:	"wheat"	245	222	179	"#f5deb3"
_D:	"sandy_brown"	244	164	96	"#f4a460"
_D:	"SandyBrown"	244	164	96	"#f4a460"
_D:	"tan"	210	180	140	"#d2b48c"
_D:	"chocolate"	210	105	30	"#d2691e"
_D:	"firebrick"	178	34	34	"#b22222"
_D:	"brown"	165	42	42	"#a52a2a"
_D:	"dark_salmon"	233	150	122	"#e9967a"
_D:	"DarkSalmon"	233	150	122	"#e9967a"
_D:	"salmon"	250	128	114	"#fa8072"
_D:	"light_salmon"	255	160	122	"#ffa07a"
_D:	"LightSalmon"	255	160	122	"#ffa07a"
_D:	"orange"	255	165	0	"#ffa500"
_D:	"dark_orange"	255	140	0	"#ff8c00"
_D:	"DarkOrange"	255	140	0	"#ff8c00"
_D:	"coral"	255	127	80	"#ff7f50"
_D:	"light_coral"	240	128	128	"#f08080"
_D:	"LightCoral"	240	128	128	"#f08080"
_D:	"tomato"	255	99	71	"#ff6347"
_D:	"orange_red"	255	69	0	"#ff4500"
_D:	"OrangeRed"	255	69	0	"#ff4500"
_D:	"red"	255	0	0	"#ff0000"
_D:	"hot_pink"	255	105	180	"#ff69b4"
_D:	"HotPink"	255	105	180	"#ff69b4"
_D:	"deep_pink"	255	20	147	"#ff1493"
_D:	"DeepPink"	255	20	147	"#ff1493"
_D:	"pink"	255	192	203	"#ffc0cb"
_D:	"light_pink"	255	182	193	"#ffb6c1"
_D:	"LightPink"	255	182	193	"#ffb6c1"
_D:	"pale_violet_red"	219	112	147	"#db7093"
_D:	"PaleVioletRed"	219	112	147	"#db7093"
_D:	"maroon"	176	48	96	"#b03060"
_D:	"x11_maroon"	176	48	96	"#b03060"
_D:	"X11Maroon"	176	48	96	"#b03060"
_D:	"web_maroon"	128	0	0	"#800000"
_D:	"WebMaroon"	128	0	0	"#800000"
_D:	"medium_violet_red"	199	21	133	"#c71585"
_D:	"MediumVioletRed"	199	21	133	"#c71585"
_D:	"violet_red"	208	32	144	"#d02090"
_D:	"VioletRed"	208	32	144	"#d02090"
_D:	"magenta"	255	0	255	"#ff00ff"
_D:	"fuchsia"	255	0	255	"#ff00ff"
_D:	"violet"	238	130	238	"#ee82ee"
_D:	"plum"	221	160	221	"#dda0dd"
_D:	"orchid"	218	112	214	"#da70d6"
_D:	"medium_orchid"	186	85	211	"#ba55d3"
_D:	"MediumOrchid"	186	85	211	"#ba55d3"
_D:	"dark_orchid"	153	50	204	"#9932cc"
_D:	"DarkOrchid"	153	50	204	"#9932cc"
_D:	"dark_violet"	148	0	211	"#9400d3"
_D:	"DarkViolet"	148	0	211	"#9400d3"
_D:	"blue_violet"	138	43	226	"#8a2be2"
_D:	"BlueViolet"	138	43	226	"#8a2be2"
_D:	"purple"	160	32	240	"#a020f0"
_D:	"x11_purple"	160	32	240	"#a020f0"
_D:	"X11Purple"	160	32	240	"#a020f0"
_D:	"web_purple"	128	0	128	"#800080"
_D:	"WebPurple"	128	0	128	"#800080"
_D:	"medium_purple"	147	112	219	"#9370db"
_D:	"MediumPurple"	147	112	219	"#9370db"
_D:	"thistle"	216	191	216	"#d8bfd8"
_D:	"snow1"	255	250	250	"#fffafa"
_D:	"snow2"	238	233	233	"#eee9e9"
_D:	"snow3"	205	201	201	"#cdc9c9"
_D:	"snow4"	139	137	137	"#8b8989"
_D:	"seashell1"	255	245	238	"#fff5ee"
_D:	"seashell2"	238	229	222	"#eee5de"
_D:	"seashell3"	205	197	191	"#cdc5bf"
_D:	"seashell4"	139	134	130	"#8b8682"
_D:	"AntiqueWhite1"	255	239	219	"#ffefdb"
_D:	"AntiqueWhite2"	238	223	204	"#eedfcc"
_D:	"AntiqueWhite3"	205	192	176	"#cdc0b0"
_D:	"AntiqueWhite4"	139	131	120	"#8b8378"
_D:	"bisque1"	255	228	196	"#ffe4c4"
_D:	"bisque2"	238	213	183	"#eed5b7"
_D:	"bisque3"	205	183	158	"#cdb79e"
_D:	"bisque4"	139	125	107	"#8b7d6b"
_D:	"PeachPuff1"	255	218	185	"#ffdab9"
_D:	"PeachPuff2"	238	203	173	"#eecbad"
_D:	"PeachPuff3"	205	175	149	"#cdaf95"
_D:	"PeachPuff4"	139	119	101	"#8b7765"
_D:	"NavajoWhite1"	255	222	173	"#ffdead"
_D:	"NavajoWhite2"	238	207	161	"#eecfa1"
_D:	"NavajoWhite3"	205	179	139	"#cdb38b"
_D:	"NavajoWhite4"	139	121	94	"#8b795e"
_D:	"LemonChiffon1"	255	250	205	"#fffacd"
_D:	"LemonChiffon2"	238	233	191	"#eee9bf"
_D:	"LemonChiffon3"	205	201	165	"#cdc9a5"
_D:	"LemonChiffon4"	139	137	112	"#8b8970"
_D:	"cornsilk1"	255	248	220	"#fff8dc"
_D:	"cornsilk2"	238	232	205	"#eee8cd"
_D:	"cornsilk3"	205	200	177	"#cdc8b1"
_D:	"cornsilk4"	139	136	120	"#8b8878"
_D:	"ivory1"	255	255	240	"#fffff0"
_D:	"ivory2"	238	238	224	"#eeeee0"
_D:	"ivory3"	205	205	193	"#cdcdc1"
_D:	"ivory4"	139	139	131	"#8b8b83"
_D:	"honeydew1"	240	255	240	"#f0fff0"
_D:	"honeydew2"	224	238	224	"#e0eee0"
_D:	"honeydew3"	193	205	193	"#c1cdc1"
_D:	"honeydew4"	131	139	131	"#838b83"
_D:	"LavenderBlush1"	255	240	245	"#fff0f5"
_D:	"LavenderBlush2"	238	224	229	"#eee0e5"
_D:	"LavenderBlush3"	205	193	197	"#cdc1c5"
_D:	"LavenderBlush4"	139	131	134	"#8b8386"
_D:	"MistyRose1"	255	228	225	"#ffe4e1"
_D:	"MistyRose2"	238	213	210	"#eed5d2"
_D:	"MistyRose3"	205	183	181	"#cdb7b5"
_D:	"MistyRose4"	139	125	123	"#8b7d7b"
_D:	"azure1"	240	255	255	"#f0ffff"
_D:	"azure2"	224	238	238	"#e0eeee"
_D:	"azure3"	193	205	205	"#c1cdcd"
_D:	"azure4"	131	139	139	"#838b8b"
_D:	"SlateBlue1"	131	111	255	"#836fff"
_D:	"SlateBlue2"	122	103	238	"#7a67ee"
_D:	"SlateBlue3"	105	89	205	"#6959cd"
_D:	"SlateBlue4"	71	60	139	"#473c8b"
_D:	"RoyalBlue1"	72	118	255	"#4876ff"
_D:	"RoyalBlue2"	67	110	238	"#436eee"
_D:	"RoyalBlue3"	58	95	205	"#3a5fcd"
_D:	"RoyalBlue4"	39	64	139	"#27408b"
_D:	"blue1"	0	0	255	"#0000ff"
_D:	"blue2"	0	0	238	"#0000ee"
_D:	"blue3"	0	0	205	"#0000cd"
_D:	"blue4"	0	0	139	"#00008b"
_D:	"DodgerBlue1"	30	144	255	"#1e90ff"
_D:	"DodgerBlue2"	28	134	238	"#1c86ee"
_D:	"DodgerBlue3"	24	116	205	"#1874cd"
_D:	"DodgerBlue4"	16	78	139	"#104e8b"
_D:	"SteelBlue1"	99	184	255	"#63b8ff"
_D:	"SteelBlue2"	92	172	238	"#5cacee"
_D:	"SteelBlue3"	79	148	205	"#4f94cd"
_D:	"SteelBlue4"	54	100	139	"#36648b"
_D:	"DeepSkyBlue1"	0	191	255	"#00bfff"
_D:	"DeepSkyBlue2"	0	178	238	"#00b2ee"
_D:	"DeepSkyBlue3"	0	154	205	"#009acd"
_D:	"DeepSkyBlue4"	0	104	139	"#00688b"
_D:	"SkyBlue1"	135	206	255	"#87ceff"
