_H:	$phone	%phone_data[1:0]<1:15>	%phone_data[1:1]	%phone_data[1:2]	%phone_data[1:3]	%phone_data[1:4]	%phone_data[1:5]	%phone_data[1:6]	%phone_data[1:7]	%phone_data[1:8]	%phone_data[1:9]	%phone_data[1:10]	%phone_data[1:11]	%phone_data[1:12]	%phone_data[1:13]	%phone_data[1:14]	%duration	%transition	%qssa	%qssb
_D:	"#"	0	0	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	0.01	0.1	72	20	26	26
_D:	"#'"	0	0	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	0.01	0.1	72	20	26	26
_D:	"^"	0	0	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	0.01	0.1	100	40	30	30
_D:	"^'"	0	0	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	0.01	0.1	100	40	30	30
_D:	"a"	0	60	0	0	5.5	2500	500	0.65	0.65	0.65	1.31	1.23	1.31	1.67	0.1	77	27.8	25.9	25.9
_D:	"a'"	0	60	0	0	5.5	2500	500	0.65	0.65	0.65	1.31	1.23	1.31	1.67	0.1	132.4	27.8	53.6	53.6
_D:	"aa"	0	60	0	0	5.5	2500	500	0.65	0.84	1.15	1.31	1.59	1.59	2.61	0.1	84	27.8	29.4	29.4
_D:	"aa'"	0	60	0	0	5.5	2500	500	0.65	0.84	1.15	1.31	1.59	1.59	2.61	0.1	122	27.8	48.4	48.4
_D:	"ah"	0	60	0	0	5.5	2500	500	0.65	0.45	0.94	1.1	1.52	1.46	2.45	0.1	65.4	27.8	20.1	20.1
_D:	"ah'"	0	60	0	0	5.5	2500	500	0.65	0.45	0.94	1.1	1.52	1.46	2.45	0.1	118.5	27.8	46.6	46.6
_D:	"an"	0	60	0	0	5.5	2500	500	0.52	0.45	0.79	1.49	1.67	1.02	1.59	1.5	106.8	27.8	40.8	40.8
_D:	"an'"	0	60	0	0	5.5	2500	500	0.52	0.45	0.79	1.49	1.67	1.02	1.59	1.5	181.6	27.8	78.2	78.2
_D:	"ar"	0	60	0	0	5.5	2500	500	0.52	0.45	0.79	1.49	1.67	1.02	1.59	0.1	106.8	27.8	40.8	40.8
_D:	"ar'"	0	60	0	0	5.5	2500	500	0.52	0.45	0.79	1.49	1.67	1.02	1.59	0.1	181.6	27.8	78.2	78.2
_D:	"aw"	0	60	0	0	5.5	2500	500	1.1	0.94	0.42	1.49	1.67	1.78	1.05	0.1	114	27.8	44.4	44.4
_D:	"aw'"	0	60	0	0	5.5	2500	500	1.1	0.94	0.42	1.49	1.67	1.78	1.05	0.1	194	27.8	84.4	84.4
_D:	"b"	-2	43.5	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	61	24	30.5	30.5
_D:	"b'"	-2	43.5	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	70.8	24	35.4	35.4
_D:	"bx"	-2	43.5	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	74	21.5	37	37
_D:	"bx'"	-2	43.5	0	0	7	2000	700	0.89	0.76	1.28	1.8	0.99	0.84	0.1	0.1	94	21.5	47	47
_D:	"ch"	-2	0	0	0	5.6	2500	2600	1.36	1.74	1.87	0.94	0	0.79	0.79	0.1	118.6	24.2	59.3	59.3
_D:	"ch'"	-2	0	0	0	5.6	2500	2600	1.36	1.74	1.87	0.94	0	0.79	0.79	0.1	118.8	62	59.4	59.4
_D:	"d"	-2	43.5	0	0	6.7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.3	0.1	45.6	28	22.8	22.8
_D:	"d'"	-2	43.5	0	0	6.7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	73.2	28	36.6	36.6
_D:	"dh"	-1	54	0	0.25	6	4400	4500	1.2	1.5	1.35	1.2	1.2	0.4	1	0.1	41.4	44	20.7	20.7
_D:	"dh'"	-1	54	0	0.25	6	4400	4500	1.2	1.5	1.35	1.2	1.2	0.4	1	0.1	41.4	44	20.7	20.7
_D:	"dx"	-2	43.5	0	0	6.7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	51.6	28.5	25.8	25.8
_D:	"dx'"	-2	43.5	0	0	6.7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	65.4	28.5	32.7	32.7
_D:	"e"	0	60	0	0	5.5	2500	500	0.68	1.12	1.695	1.385	1.07	1.045	2.06	0.1	61	27.8	17.9	17.9
_D:	"e'"	0	60	0	0	5.5	2500	500	0.68	1.12	1.695	1.385	1.07	1.045	2.06	0.1	77.6	27.8	26.2	26.2
_D:	"ee"	0	60	0	0	5.5	2500	500	1.67	1.905	1.985	0.81	0.495	0.73	1.485	0.1	82.4	27.8	28.6	28.6
_D:	"ee'"	0	60	0	0	5.5	2500	500	1.67	1.905	1.985	0.81	0.495	0.73	1.485	0.1	141.8	27.8	58.3	58.3
_D:	"er"	0	60	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	0.1	132.2	27.8	53.5	53.5
_D:	"er'"	0	60	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	0.1	167.6	27.8	71.2	71.2
_D:	"f"	-1	0	0	0.5	7	3300	1000	0.89	0.99	0.81	0.76	0.89	0.84	0.5	0.1	70	40	35	35
_D:	"f'"	-1	0	0	0.5	7	3300	1000	0.89	0.99	0.81	0.76	0.89	0.84	0.5	0.1	98	40	49	49
_D:	"g"	-2	43.5	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	53.4	22	26.7	26.7
_D:	"g'"	-2	43.5	0	0	4.7	2000	2000	1.7	1.3	0.99	0.1	1.07	0.73	1.49	0.1	68.2	22	34.1	34.1
